# filmdec_pos totalHits=277008 recordsEcrits=46790
eid,slot,bitCursor,x,y,z
1073742360,536,1110,33.9183,6.3119,-1.5790
1073742352,528,82,-4.0589,14.3010,-1.2180
1073742353,529,205,34.1256,1.1156,0.3016
1073742356,532,344,26.8148,-7.3181,-0.9158
1073742357,533,868,25.2808,9.2992,-1.5622
1073742358,534,1024,25.2532,-15.8768,-0.8990
1073742360,536,1149,33.9183,6.3119,-1.5790
1073742361,537,1294,19.1171,5.0893,0.2008
1073742360,536,1149,33.9044,6.3536,-1.5790
1073742352,528,76,-4.0589,14.3010,-1.2180
1073742353,529,197,34.1118,1.0739,0.2848
1073742356,532,336,26.8148,-7.3042,-0.9158
1073742357,533,860,25.2532,9.2992,-1.5622
1073742358,534,1028,25.2532,-15.8351,-0.8990
1073742360,536,1203,33.9044,6.3536,-1.5790
1073742361,537,1311,19.1724,5.0615,0.2260
1073742360,536,1203,33.8768,6.3953,-1.5790
1073742353,529,76,34.1118,1.0183,0.2680
1073742356,532,215,26.8148,-7.2764,-0.9074
1073742357,533,739,25.2117,9.3130,-1.5706
1073742358,534,901,25.2670,-15.7934,-0.8990
1073742360,536,1057,33.8768,6.3953,-1.5790
1073742361,537,1190,19.2277,5.0337,0.2428
1073742360,536,1057,33.8630,6.4370,-1.5790
1073742352,528,76,-4.0589,14.3010,-1.2180
1073742353,529,197,34.0979,0.9767,0.2428
1073742356,532,336,26.8148,-7.2625,-0.9074
1073742357,533,860,25.1841,9.3130,-1.5874
1073742358,534,1040,25.2670,-15.7517,-0.8990
1073742360,536,1228,33.8630,6.4370,-1.5790
1073742361,537,1361,19.2968,5.0059,0.2596
1073742360,536,1228,33.8353,6.4787,-1.5790
1073742352,528,140,-4.0589,14.3010,-1.2180
1073742353,529,261,34.0979,0.9350,0.2176
1073742356,532,400,26.8148,-7.2486,-0.8990
1073742357,533,924,25.1426,9.3130,-1.6042
1073742358,534,1086,25.2670,-15.7100,-0.8990
1073742360,536,1246,33.8353,6.4787,-1.5790
1073742361,537,1379,19.3521,4.9920,0.2764
1073742360,536,1246,33.8077,6.5204,-1.5790
1073742353,529,76,34.0841,0.8794,0.2092
1073742356,532,215,26.8148,-7.2208,-0.8990
1073742357,533,739,25.1012,9.3130,-1.6294
1073742358,534,901,25.2808,-15.6683,-0.8990
1073742360,536,1057,33.8077,6.5204,-1.5790
1073742361,537,1190,19.4074,4.9781,0.2932
1073742360,536,1057,33.7801,6.5759,-1.5790
1073742352,528,76,-4.0589,14.3010,-1.2180
1073742353,529,209,34.0703,0.8377,0.2092
1073742356,532,355,26.8148,-7.2069,-0.8990
1073742357,533,879,25.0597,9.3130,-1.6546
1073742358,534,1047,25.2808,-15.6267,-0.8990
1073742360,536,1228,33.7801,6.5759,-1.5790
1073742361,537,1361,19.4764,4.9642,0.2932
1073742360,536,1228,33.7524,6.6176,-1.5790
1073742353,529,82,34.0703,0.7960,0.2092
1073742356,532,250,26.8148,-7.1930,-0.8906
1073742357,533,749,25.0321,9.3130,-1.6882
1073742358,534,917,25.2946,-15.5711,-0.8990
1073742360,536,1098,33.7524,6.6176,-1.5790
1073742361,537,1225,19.5317,4.9503,0.3016
1073742360,536,1098,33.7248,6.6454,-1.5790
1073742352,528,76,-4.0589,14.3010,-1.2180
1073742353,529,197,34.0565,0.7543,0.2092
1073742356,532,342,26.8148,-7.1791,-0.8906
1073742357,533,484,24.9768,9.3130,-1.7133
1073742358,534,652,25.2946,-15.5155,-0.8990
1073742360,536,833,33.7248,6.6454,-1.5790
1073742361,537,966,19.5870,4.9364,0.3100
1073742360,536,833,33.6971,6.7010,-1.5790
1073742352,528,100,-4.0589,14.3010,-1.2180
1073742353,529,221,34.0565,0.6988,0.2092
1073742356,532,354,26.8148,-7.1374,-0.8822
1073742357,533,522,24.9353,9.3130,-1.7553
1073742358,534,690,25.2946,-15.4738,-0.8990
1073742360,536,871,33.6971,6.7010,-1.5790
1073742361,537,1004,19.6423,4.9364,0.3100
1073742360,536,871,33.6695,6.7427,-1.5790
1073742352,528,76,-4.0589,14.3010,-1.2180
1073742353,529,197,34.0426,0.6571,0.2092
1073742356,532,324,26.8286,-7.0819,-0.8738
1073742357,533,457,24.8939,9.3130,-1.7973
1073742358,534,625,25.3085,-15.4183,-0.8990
1073742360,536,812,33.6695,6.7427,-1.5790
