# filmdec_pos_rosetta records=54799
eid,slot,bitCursor,x,y,z,sighex
1073742336,512,258,0.0000,0.0000,0.0000,9c0d81db000000000000000000000700
1073742337,513,290,0.0000,0.0000,0.0000,cd601d4b9c0dca5b0000000000000000
1073742338,514,258,0.0000,0.0000,0.0000,9c0d805b000000000000000000000200
1073742337,513,2603,-4.3215,17.1076,-1.2180,2e66b01d629402013ef82033ef800000
1073742339,515,315,0.0000,0.0000,0.0000,bffca7677d0ea5ce06ffed8000000000
1073742340,516,258,0.0000,0.0000,0.0000,9c0dc3db000000000000000000000560
1073742341,517,258,0.0000,0.0000,0.0000,9c0dc2db000000000000000000001160
1073742340,516,2625,-3.7410,16.7046,-1.2180,504b8c85c0100d7df04067df040a7df0
1073742342,518,315,0.0000,0.0000,0.0000,53c51226b00ea5ce06de2d8000000000
1073742341,517,3590,-3.6581,16.1072,-1.2180,52604035f7c101d7df040a7df040e7df
1073742343,519,258,0.0000,0.0000,0.0000,9c0dfe5b000000000000000000000480
1073742342,518,3038,-4.0589,15.5375,-1.2180,d603b152a25d042e00806bef8203afbe
1073742337,513,70,-4.3215,17.1076,-1.2180,201afbe080ebef8205afbe081ebef820
1073742340,516,70,-3.7410,16.7046,-1.2180,201afbe080ebef8205afbe081ebef820
1073742341,517,70,-3.6581,16.1072,-1.2180,10322019029e28913581f40806bef820
1073742342,518,160,-4.0589,15.5375,-1.2180,3581f40806bef8203afbe0816bef8207
1073742337,513,70,-4.3215,17.1076,-1.2180,201afbe080ebef8205afbe081ebef820
1073742340,516,70,-3.7410,16.7046,-1.2180,201afbe080ebef8205afbe081ebef820
1073742341,517,70,-3.6581,16.1072,-1.2180,10322019029e28913581380806bef820
1073742342,518,160,-4.0589,15.5375,-1.2180,3581380806bef8203afbe0816bef8207
1073742341,517,70,-3.6581,16.1072,-1.2180,10322019029e289135817c0806bef820
1073742342,518,160,-4.0589,15.5375,-1.2180,35817c0806bef8203afbe0816bef8207
1073742336,512,76,43.6060,8.3960,0.5031,e64106fcc941d1251b3bafffffffff8f
1073742336,512,76,43.6060,8.3960,0.5031,e64106fcc941d1251b3bafffffffff8f
1073742336,512,76,43.6060,8.3960,0.5031,28dd0efce941d1251b444fffffffff8f
1073742336,512,76,43.5922,8.3960,0.5031,28dd0efce941d1251b444fffffffff8f
1073742336,512,76,43.5922,8.3960,0.5031,2c4f147d088151800b2054ad1c66b001
1073742341,517,203,-3.6581,16.1072,-1.2180,83040bfa110323001640a78a244d6001
1073742342,518,330,-4.0589,15.5375,-1.2180,31783df4250744946d333ffffffffe3f
1073742336,512,76,43.5922,8.4099,0.5031,2c4f147d088151800b2054ad1c66b001
1073742336,512,772,43.5922,8.4099,0.5031,9b197d288151800b2054b51c66b00180
1073742341,517,899,-3.6581,16.1072,-1.2180,b8157a510323001640a79a23cd60017a
1073742342,518,1026,-4.0589,15.5375,-1.2180,f84df4a50744946d553ffffffffe3f58
1073742336,512,772,43.5784,8.4099,0.5031,9b197d288151800b2054b51c66b00180
1073742336,512,76,43.5784,8.4099,0.5031,2fc11dfd488151800b2054b51c66b001
1073742341,517,203,-3.6443,16.1072,-1.2180,80b8177a910323001640a79a23cd6000
