type_id,instances,obj_group,obj_gid,hlmt_gid,mode_gid,coll_gid,phmo_gid,mode_module,min_x,min_y,min_z,max_x,max_y,max_z,dx,dy,dz,geom,note
-1533673853,95,scen,1586706424,-1199889934,-145585476,-1569496339,-776350219,ds/globals/common-rtx-new.module,-0.237982,-0.224092,0.002584,0.321575,0.224102,0.036615,0.559557,0.448194,0.034030,ok,
-1966135157,63,bloc,-1197005380,-1435213027,730585374,-1188994682,-104982773,ds/globals/common-rtx-new.module,-0.200000,-0.200000,-0.200000,0.200000,0.200000,0.200000,0.400000,0.400000,0.400000,ok,
914504198,42,bloc,-802198454,1802916995,-465240810,-401918216,1062019193,globals/forge/forge_objects-rtx-new.module,-0.100000,-0.100000,-0.099999,0.100000,0.100000,0.100000,0.200000,0.200000,0.199999,ok,
1223404046,30,bloc,-1626273773,-1053002330,62167482,-83168827,373898392,ds/globals/common-rtx-new.module,-0.303398,-0.377912,-0.001489,0.461170,0.377867,1.041355,0.764568,0.755779,1.042844,ok,
-877512201,22,mach,-1834086248,-1799231869,-1588386740,1978003357,-2143560458,ds/globals/common-rtx-new.module,-0.278628,-0.255721,-0.003929,0.255853,0.251829,0.035345,0.534481,0.507551,0.039274,ok,
-361555940,15,scen,131563313,1674836906,-2033804405,-742742337,-622978790,ds/globals/common-rtx-new.module,-0.322367,-0.312291,-0.000323,0.374273,0.312291,0.467928,0.696640,0.624583,0.468251,ok,
1649659840,15,scen,859935422,-2072239708,1810597797,0,-1775156637,ds/globals/common-rtx-new.module,-0.013000,-0.103069,-0.201868,0.054860,0.103242,0.199999,0.067860,0.206311,0.401866,ok,via foki
215286960,14,bloc,1266061993,-325827497,-2002920996,-395676569,1623054030,ds/globals/common-rtx-new.module,-0.000500,-0.000500,-0.000500,0.000500,0.000500,0.000500,0.001000,0.001000,0.001000,modele_vide,via foki
1020883125,12,bloc,-1103543249,-1133858794,703942674,1832239062,1009440305,ds/globals/common-rtx-new.module,-0.305804,-0.305805,-0.253249,0.305805,0.305884,0.559021,0.611609,0.611688,0.812270,ok,
-1476457415,10,bloc,27553254,986171197,226602787,-944854480,1516720981,ds/globals/common-rtx-new.module,-0.000500,-0.000500,-0.000500,0.000500,0.000500,0.000500,0.001000,0.001000,0.001000,modele_vide,
-1902667258,9,bloc,1095891621,2041547471,-1135935084,-1922583169,114367043,ds/globals/common-rtx-new.module,-0.000500,-0.000500,-0.000500,0.000500,0.000500,0.000500,0.001000,0.001000,0.001000,modele_vide,
-41036279,8,bloc,22825925,-951157143,1068567457,1916718306,1236156799,ds/globals/common-rtx-new.module,-0.399995,-0.511525,-0.000003,0.399993,0.511487,0.800145,0.799988,1.023012,0.800149,ok,
-1855279381,8,bloc,-274450384,2041547471,-1135935084,-1922583169,114367043,ds/globals/common-rtx-new.module,-0.000500,-0.000500,-0.000500,0.000500,0.000500,0.000500,0.001000,0.001000,0.001000,modele_vide,
-236639849,7,bloc,-1202565930,-2003132960,858296764,2074033625,264427642,ds/globals/common-rtx-new.module,-0.152546,-0.281320,-0.000271,0.152546,0.281320,0.218100,0.305092,0.562640,0.218371,ok,
-1361077008,7,bloc,1266061993,-325827497,-2002920996,-395676569,1623054030,ds/globals/common-rtx-new.module,-0.000500,-0.000500,-0.000500,0.000500,0.000500,0.000500,0.001000,0.001000,0.001000,modele_vide,via foki
1980827929,6,scen,-334768557,-750913422,-87764756,207644417,2124597901,ds/globals/common-rtx-new.module,-0.333499,-0.029427,-0.065235,0.000389,0.042420,0.183635,0.333888,0.071847,0.248870,ok,via foki
1006238451,6,bloc,1936739766,480494937,1919219994,-80228874,219642860,ds/globals/common-rtx-new.module,-0.000500,-0.000500,-0.000500,0.000500,0.000500,0.000500,0.001000,0.001000,0.001000,modele_vide,via foki
-697548738,6,bloc,2129040946,1666685372,-1158750934,1117745698,1279357599,ds/globals/common-rtx-new.module,-0.253499,-0.159919,-0.000757,0.252404,0.159920,0.452978,0.505903,0.319839,0.453735,ok,
-124242750,6,bloc,-1326943726,1854995230,-1339996949,-185311526,340107053,ds/globals/common-rtx-new.module,0.021160,-0.215201,-0.020088,0.462188,0.337942,0.344766,0.441027,0.553143,0.364854,ok,
-381729683,6,bloc,-1602091002,-1462874486,891579028,482401066,1047846937,ds/globals/common-rtx-new.module,-0.165623,-0.163774,-0.015131,0.173990,0.164531,0.402064,0.339612,0.328305,0.417194,ok,
-1376852264,5,mach,-151025845,-1862059216,-598552479,-705066684,-250148053,ds/globals/common-rtx-new.module,-0.124332,-0.167706,-0.000873,0.190807,0.167706,0.053056,0.315140,0.335412,0.053929,ok,via foki
-1239931096,5,bloc,916022254,2041547471,-1135935084,-1922583169,114367043,ds/globals/common-rtx-new.module,-0.000500,-0.000500,-0.000500,0.000500,0.000500,0.000500,0.001000,0.001000,0.001000,modele_vide,
1747684183,4,bloc,1936739766,480494937,1919219994,-80228874,219642860,ds/globals/common-rtx-new.module,-0.000500,-0.000500,-0.000500,0.000500,0.000500,0.000500,0.001000,0.001000,0.001000,modele_vide,via foki
95146865,4,scen,1430634471,-1606262155,-74341585,-1065000651,1763034728,ds/globals/common-rtx-new.module,-0.282921,-0.400330,-0.000342,0.281474,0.398706,0.795620,0.564395,0.799035,0.795961,ok,
-467576609,4,mach,1492497583,-1919130619,-328404572,1592137823,1128965442,ds/globals/common-rtx-new.module,-0.163999,-0.164001,-0.000843,0.164001,0.164001,0.058517,0.328000,0.328003,0.059360,ok,via foki
1882451900,4,weap,-370671751,-1783480603,1770546000,-1074955070,-1515155057,ds/globals/common-rtx-new.module,-0.065355,-0.065386,-0.000924,0.065241,0.065386,0.260810,0.130596,0.130772,0.261734,ok,
417278190,4,bloc,-487194450,1585975927,295633787,-705288308,-803356447,ds/globals/common-rtx-new.module,-0.417101,-0.313563,-0.000480,0.416174,0.312532,0.802174,0.833275,0.626096,0.802654,ok,
-853110847,4,bloc,1703638315,588392798,-309289837,94568985,-289985727,ds/globals/common-rtx-new.module,-0.306898,0.067831,-0.040820,0.261314,0.495429,0.298084,0.568212,0.427598,0.338904,ok,
-118718946,4,bloc,1266061993,-325827497,-2002920996,-395676569,1623054030,ds/globals/common-rtx-new.module,-0.000500,-0.000500,-0.000500,0.000500,0.000500,0.000500,0.001000,0.001000,0.001000,modele_vide,via foki
1598006887,4,mach,356179899,2024196937,371621025,1419941618,-1254963457,ds/globals/common-rtx-new.module,-0.224125,-0.418420,-0.009088,0.223956,0.418402,0.421511,0.448081,0.836823,0.430599,ok,via foki
-1430101324,3,mach,-260723094,1887150084,248129518,1355003720,-1686137304,ds/globals/common-rtx-new.module,-0.111321,-0.111743,-0.002453,0.111972,0.113445,0.074787,0.223292,0.225188,0.077240,ok,
