type_id,obj_group,obj_gid,dx,dy,dz,note
-1533673853,scen,1586706424,0.559557,0.448194,0.034030,
-722308271,bloc,322364127,0.147670,0.147670,0.117762,
1759788903,bloc,728854100,0.100000,0.100000,0.100000,
796754322,bloc,-956296840,1.600000,1.647476,0.411869,
631526139,bloc,1556176172,9.454737,7.198566,2.322652,
-1804795714,bloc,1201756674,0.100000,0.800000,0.150000,
1134333856,bloc,1692711827,0.100000,0.400069,2.200000,
1525567567,bloc,1658094951,0.301889,3.201583,0.601181,
-319219211,bloc,1000994781,0.800000,0.800000,0.400000,
-1008738809,bloc,1257395156,0.101058,0.204199,1.800038,
2119916132,bloc,-619238231,1.600000,1.600000,0.400000,
1807709491,bloc,1184730828,0.673365,0.500920,0.065961,
1047093426,bloc,476763768,0.409270,1.600000,2.242760,
-494552,bloc,271433690,0.200000,0.800000,0.800000,
-696190206,scen,81161,0.400000,0.400000,0.396060,
-1233554098,bloc,-1369611980,0.100393,1.600073,2.200062,
-1174468547,bloc,480966920,1.474401,0.824643,0.099625,
-1153367051,bloc,-1988131484,1.806538,1.755131,0.663619,
-103790086,bloc,-745932611,0.485402,0.079037,0.399624,
-1571456834,bloc,1236658385,0.800995,0.800729,2.208708,
1649659840,scen,859935422,0.067860,0.206311,0.401866,via foki
-1294229133,bloc,1112520809,0.200000,0.200000,1.800000,
-361555940,scen,131563313,0.696640,0.624583,0.468251,
-1835432896,bloc,-224145941,2.251925,2.124192,1.534811,
471557513,bloc,-1017207336,1.600000,1.600000,0.400000,
-1966135157,bloc,-1197005380,0.400000,0.400000,0.400000,
-1854092857,bloc,1141991039,0.754757,0.751783,1.004683,
2026571769,bloc,-1646773975,0.509276,0.400362,0.463257,
-1534056042,bloc,2007334856,0.041938,1.199679,0.401007,
-2079069766,bloc,1266061993,0.001000,0.001000,0.001000,via foki
322212374,bloc,-1402594471,0.203263,1.605939,1.803377,
1530590479,bloc,-56325911,10.838209,7.206517,2.368798,
176825834,bloc,-364458558,0.073348,0.246631,0.462934,
-1554062464,bloc,-554395570,1.600000,0.876173,0.438086,
208003835,bloc,855204964,4.266544,3.805079,0.646556,
-877512201,mach,-1834086248,0.534481,0.507551,0.039274,
626024360,bloc,1148388526,0.650830,1.552480,0.683734,
795814220,bloc,-437150743,2.262775,0.741566,0.103672,
-82414544,bloc,1827852981,1.664520,1.672392,0.226521,
1100028612,bloc,-1752362266,0.300000,0.100000,0.100000,
2047061831,bloc,890117425,2.881143,2.884987,0.450874,
-465209448,bloc,-674086600,2.195642,2.492135,16.790428,
1873654711,bloc,2115913448,4.833642,1.604829,0.801839,
1074286548,bloc,-367465924,0.094218,3.003518,0.099941,
1157242225,bloc,688409411,0.120967,0.547572,0.437004,
-149079534,bloc,-1318251637,0.232310,0.222748,0.201221,
-949264406,bloc,-1847702218,0.200000,0.200000,0.800000,
-1527884563,bloc,1266061993,0.001000,0.001000,0.001000,via foki
385405457,bloc,-1640726459,0.200570,0.311884,0.163372,
-1679135067,bloc,-999892639,0.923404,0.804287,0.315120,
2125606605,bloc,1349644039,1.276952,0.801363,0.620677,
-319095573,bloc,-798585676,2.243011,2.446696,8.988171,
1806717236,bloc,271433690,0.200000,0.800000,0.800000,
