carte,objectifs,avec_forme,sans_forme,roles_sans_forme
944396dd-5661-4a16-b1d8-a6053f762c55_fo13_frost.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
944396dd-5661-4a16-b1d8-a6053f762c55_map.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
absolution_fo09_academy.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
absolution_map.mvar,17,6,11,flag_delivery:2|flag_spawn:2|oddball_spawn:7
aquarius_-_ranked_ctf_aquarius.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
aquarius_-_ranked_map.mvar,17,10,7,flag_delivery:2|flag_spawn:3|oddball_spawn:2
aquarius_ctf_aquarius.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
aquarius_map.mvar,19,10,9,flag_delivery:2|flag_spawn:3|oddball_spawn:4
argyle_map.mvar,9,3,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
banished_narrows_fo05_desert.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
banished_narrows_map.mvar,8,3,5,flag_delivery:2|flag_spawn:2|oddball_spawn:1
bazaar_ctf_bazaar.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
bazaar_map.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
behemoth_map.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
behemoth_va_behemoth.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
breaker_ctf_breaker.mvar,26,7,19,flag_delivery:2|flag_spawn:7|stockpile_socket:10
breaker_heavies_ctf_breaker.mvar,21,2,19,flag_delivery:2|flag_spawn:7|stockpile_socket:10
breaker_heavies_map.mvar,22,7,15,flag_delivery:2|flag_spawn:7|stockpile_socket:6
breaker_map.mvar,20,7,13,flag_delivery:2|flag_spawn:8|oddball_spawn:3
catalyst_catalyst.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
catalyst_map.mvar,19,10,9,flag_delivery:2|flag_spawn:3|oddball_spawn:4
chasm_chasm.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
chasm_map.mvar,19,10,9,flag_delivery:2|flag_spawn:3|oddball_spawn:4
cliffhanger_map.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
cliffhanger_ridgeline.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
cliffside_fo05_desert.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
cliffside_map.mvar,9,3,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
cole_protocol_fo09_academy.mvar,22,5,17,flag_delivery:3|flag_spawn:3|oddball_spawn:1|stockpile_socket:10
command_fo09_academy.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
command_map.mvar,25,9,16,flag_delivery:2|flag_spawn:7|oddball_spawn:1|stockpile_socket:6
corpo_fo11_blank.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
corpo_map.mvar,4,0,4,flag_delivery:2|flag_spawn:2
credence_fo11_blank.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
credence_map.mvar,22,9,13,flag_delivery:2|flag_spawn:7|oddball_spawn:4
critical_dewpoint_fo11_blank.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
critical_dewpoint_map.mvar,6,0,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
curfew_map.mvar,13,5,8,flag_delivery:2|flag_spawn:2|oddball_spawn:4
dawnbreaker_fo05_desert.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
dawnbreaker_map.mvar,21,9,12,flag_delivery:2|flag_spawn:7|oddball_spawn:3
deadlock_btb_drydock.mvar,26,7,19,flag_delivery:2|flag_spawn:7|stockpile_socket:10
deadlock_heavies_btb_drydock.mvar,21,2,19,flag_delivery:2|flag_spawn:7|stockpile_socket:10
deadlock_heavies_map.mvar,22,7,15,flag_delivery:2|flag_spawn:7|stockpile_socket:6
deadlock_map.mvar,29,11,18,flag_delivery:2|flag_spawn:7|oddball_spawn:3|stockpile_socket:6
detachment_map.mvar,9,3,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
disciple_fo11_blank.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
disciple_map.mvar,9,4,5,flag_spawn:2|oddball_spawn:3
domicile_fo05_desert.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
domicile_map.mvar,8,3,5,flag_delivery:2|flag_spawn:2|oddball_spawn:1
dredge_fo06_deepsea.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
dredge_map.mvar,8,3,5,flag_delivery:2|flag_spawn:2|oddball_spawn:1
dynasty_fo08_wetland.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
dynasty_map.mvar,8,3,5,flag_delivery:2|flag_spawn:2|oddball_spawn:1
ecotone_fo11_blank.mvar,22,5,17,flag_delivery:3|flag_spawn:3|oddball_spawn:1|stockpile_socket:10
ecotone_map.mvar,4,3,1,oddball_spawn:1
elevation_fo11_blank.mvar,22,5,17,flag_delivery:3|flag_spawn:3|oddball_spawn:1|stockpile_socket:10
elevation_map.mvar,15,8,7,flag_delivery:3|flag_spawn:3|oddball_spawn:1
empyrean_fo11_blank.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
empyrean_map.mvar,9,3,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
flood_gulch_fo05_desert.mvar,22,5,17,flag_delivery:3|flag_spawn:3|oddball_spawn:1|stockpile_socket:10
flood_gulch_map.mvar,20,9,11,flag_delivery:2|flag_spawn:6|oddball_spawn:3
forbidden_ctf_forbidden.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
forbidden_map.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
forest_-_ranked_forest.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
forest_-_ranked_map.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
forest_forest.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
forest_map.mvar,19,10,9,flag_delivery:2|flag_spawn:3|oddball_spawn:4
fortitude_fo05_desert.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
fortitude_heavies_fo05_desert.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
fortitude_heavies_map.mvar,8,0,8,flag_delivery:2|flag_spawn:6
fortitude_map.mvar,23,9,14,flag_delivery:2|flag_spawn:6|stockpile_socket:6
fortress_fo09_academy.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
fortress_map.mvar,24,10,14,flag_delivery:2|flag_spawn:8|oddball_spawn:4
fragmentation_btb_fragmentation.mvar,29,10,19,flag_delivery:2|flag_spawn:7|stockpile_socket:10
fragmentation_heavies_btb_fragmentation.mvar,24,5,19,flag_delivery:2|flag_spawn:7|stockpile_socket:10
fragmentation_heavies_map.mvar,24,5,19,flag_delivery:2|flag_spawn:7|stockpile_socket:10
fragmentation_map.mvar,30,12,18,flag_delivery:2|flag_spawn:7|oddball_spawn:3|stockpile_socket:6
goliath_fo11_blank.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
goliath_map.mvar,8,3,5,flag_delivery:2|flag_spawn:2|oddball_spawn:1
high_ground_fo08_wetland.mvar,22,5,17,flag_delivery:3|flag_spawn:3|oddball_spawn:1|stockpile_socket:10
high_ground_map.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
highpower_btb_highpower.mvar,26,7,19,flag_delivery:2|flag_spawn:7|stockpile_socket:10
