4 Representation Name distincts sur les emplacements

=== Representation Name -1351408675 ? 117 socles sur 20 cartes ===
  carte                                  x        y        z        cadence   famille de degat     pose
  argyle_map                             9.0      -2.0     50.6     120 s     banished_kinetic     au sol
  argyle_map                             -8.9     2.0      50.6     120 s     banished_kinetic     au sol
  cliffhanger_map                        18.7     -23.3    -0.9     120 s     banished_plasma      au sol
  cliffhanger_map                        5.3      29.0     -1.5     120 s     banished_plasma      AU MUR
  cliffhanger_map                        22.2     -18.5    -3.1     120 s     banished_plasma      au sol
  cliffhanger_map                        21.9     27.5     -3.2     120 s     banished_plasma      au sol
  cliffhanger_ridgeline                  18.7     -23.3    -0.9     120 s     banished_plasma      au sol
  cliffhanger_ridgeline                  5.3      29.0     -1.5     120 s     banished_plasma      AU MUR
  cliffhanger_ridgeline                  22.2     -18.5    -3.1     120 s     banished_plasma      au sol
  cliffhanger_ridgeline                  21.9     27.5     -3.2     120 s     banished_plasma      au sol
  cliffside_map                          13.2     1.9      80.0     60 s      banished_kinetic     au sol
  cliffside_map                          12.9     2.2      80.0     60 s      banished_kinetic     au sol
  dawnbreaker_map                        23.2     -20.8    91.6     30 s      banished_kinetic     au sol
  dawnbreaker_map                        -34.1    -18.5    91.0     30 s      banished_kinetic     au sol
  fragmentation_btb_fragmentation        71.6     -41.9    6.5      120 s     banished_plasma      au sol
  fragmentation_btb_fragmentation        70.6     -44.3    6.5      120 s     banished_plasma      au sol
  fragmentation_btb_fragmentation        30.6     27.1     6.5      120 s     banished_plasma      au sol
  fragmentation_btb_fragmentation        31.5     29.2     6.5      120 s     banished_plasma      au sol
  fragmentation_btb_fragmentation        85.4     -45.5    6.5      120 s     banished_plasma      au sol
  fragmentation_btb_fragmentation        16.8     30.4     6.5      120 s     banished_plasma      au sol
  fragmentation_btb_fragmentation        47.7     -29.8    5.6      120 s     banished_plasma      au sol
  fragmentation_btb_fragmentation        52.8     15.0     5.5      120 s     banished_plasma      au sol
  fragmentation_heavies_btb_fragmentation 71.6     -41.9    6.5      120 s     banished_plasma      au sol
  fragmentation_heavies_btb_fragmentation 70.6     -44.3    6.5      120 s     banished_plasma      au sol
