type_id,obj_group,obj_gid,dx,dy,dz,note
-2109845990,weap,1220648237,0.331650,0.043765,0.114739,
-2088317090,weap,-1239820214,0.338598,0.042752,0.125852,
-2043464716,weap,810045094,0.302317,0.030932,0.100471,
-1929959275,weap,-1254910594,0.290003,0.088428,0.176070,
-1854501518,weap,717865727,0.367128,0.089034,0.132611,
-1781377232,weap,-2078620187,0.244297,0.110360,0.787875,
-1657469818,weap,-1600823650,0.253940,0.119981,0.133741,
-1336095237,eqip,-894772048,0.058870,0.060572,0.064951,
-1280545205,weap,723002581,0.327134,0.044223,0.106979,
-1233334378,weap,34197,0.331650,0.043765,0.114739,via foki
-1022221022,weap,-40348340,0.377702,0.055480,0.118761,
-844955619,weap,4151332,0.538542,0.217774,0.211178,
-758540775,weap,1026603349,0.668016,0.190318,0.229596,
-621870361,bloc,-1371196331,0.499179,0.618669,0.494726,
-567609013,weap,-2067977747,0.213049,0.034940,0.108767,
-275634364,weap,1987950957,0.329715,0.039997,0.161283,
-113703634,eqip,-1129595325,0.061500,0.061500,0.086335,
361417665,weap,-200795889,0.149873,0.040534,0.093897,
461807395,weap,-621702201,0.439856,0.055442,0.121954,
475600440,eqip,257365759,0.308691,0.100045,0.100045,
646710049,weap,-2137556059,0.280327,0.059544,0.173739,
703721342,weap,9910,0.554391,0.139300,0.217160,
732390052,weap,1341363070,0.493430,0.048145,0.226605,
752040516,weap,587483057,0.351047,0.037853,0.102556,
854311379,weap,-1819825991,0.522770,0.145644,0.189120,
879311247,weap,-1022523449,0.362150,0.041442,0.129041,
1129610856,weap,-1017894586,0.118250,0.031570,0.095622,
1455634076,eqip,-1428551693,0.064662,0.059071,0.123585,
1627178319,bloc,-1371196331,0.499179,0.618669,0.494726,
1921262680,weap,1629207268,0.572232,0.080994,0.181110,
2126055360,weap,1907034668,0.499643,0.105329,0.164967,
2144269878,weap,169448124,0.543698,0.071879,0.147004,
-2082062547,weap,-1819825991,0.522770,0.145644,0.189120,
-1967873753,weap,717865727,0.367128,0.089034,0.132611,
-1936070028,weap,-2078620187,0.244297,0.110360,0.787875,
-1306854903,weap,1987950957,0.329715,0.039997,0.161283,
-1084132659,weap,1341363070,0.493430,0.048145,0.226605,
-1025517006,weap,-1017894586,0.118250,0.031570,0.095622,
-865442976,weap,-621702201,0.439856,0.055442,0.121954,
-837095275,weap,-2137556059,0.280327,0.059544,0.173739,
-755427653,weap,1629207268,0.572232,0.080994,0.181110,
-665783067,weap,587483057,0.351047,0.037853,0.102556,
-594517571,weap,810045094,0.302317,0.030932,0.100471,
-502822372,weap,-1254910594,0.290003,0.088428,0.176070,
-79317215,weap,-2067977747,0.213049,0.034940,0.108767,
31589202,weap,-200795889,0.149873,0.040534,0.093897,
197290350,weap,-40348340,0.377702,0.055480,0.118761,
271068365,weap,-1239820214,0.338598,0.042752,0.125852,
886119887,weap,1907034668,0.499643,0.105329,0.164967,
918263689,weap,723002581,0.327134,0.044223,0.106979,
1014206850,weap,169448124,0.543698,0.071879,0.147004,
1610662873,weap,-1022523449,0.362150,0.041442,0.129041,
1636001508,weap,1220648237,0.331650,0.043765,0.114739,
1935162569,weap,-1600823650,0.253940,0.119981,0.133741,
-1494490196,bloc,-1371196331,0.499179,0.618669,0.494726,
-1062552774,weap,-370671751,0.130596,0.130772,0.261734,
795139849,weap,-1298016977,0.668016,0.190318,0.229596,
801517767,weap,-370671751,0.130596,0.130772,0.261734,
1009760614,weap,-2078620187,0.244297,0.110360,0.787875,
1486653438,weap,-370671751,0.130596,0.130772,0.261734,
1670996247,weap,1341363070,0.493430,0.048145,0.226605,
1882451900,weap,-370671751,0.130596,0.130772,0.261734,
840393731,weap,800201863,0.345812,0.036885,0.109241,
-2061897365,bloc,-1371196331,0.499179,0.618669,0.494726,
-2013147197,weap,1379616328,0.092888,0.096491,0.096813,
-1628159536,bloc,-1371196331,0.499179,0.618669,0.494726,
-1385459540,bloc,-1371196331,0.499179,0.618669,0.494726,
-1342546397,weap,1530156,0.072229,0.053127,0.066936,
-1136587198,weap,1737103770,0.072229,0.053127,0.066936,
1338904635,bloc,-1371196331,0.499179,0.618669,0.494726,
-267819784,weap,-2012225348,0.096043,0.093308,0.041875,
1504584152,weap,206927455,0.493430,0.048145,0.226605,
1569784078,weap,-1222234975,0.096043,0.093308,0.041875,
1965433030,weap,1791870029,0.345812,0.036885,0.109241,
-1279854613,weap,-1349741718,0.123386,0.124000,0.249635,
-1934210690,weap,-171756065,0.325679,0.070108,0.115581,
-904334223,weap,-1653952814,0.499643,0.089595,0.164967,
-721267272,weap,1072582607,0.092888,0.096491,0.096813,
-300253312,weap,-678341275,0.417646,0.136446,0.163870,
-1225339938,weap,1040646679,0.508792,0.082029,0.141898,
