type_id,nom_hash_signe,nom_craque,mot1_hex,groupe_tag
-2145450599,-2007631080,,1f7947cf,food
-2143765828,140671248,,00000000,food
-2142835366,-1721763881,,1f7947cf,food
-2137591871,-1214677742,,00000000,food
-2137189496,-1713733657,,597c7032,food
-2133343490,379484135,,00000000,food
-2133138017,453841798,,a261c76b,food
-2131516968,1751979520,,1f7947cf,food
-2128852445,-1964371921,,1f7947cf,food
-2128216670,977078511,,05a8e31e,food
-2127492930,-1792934437,,05a8e31e,food
-2121320675,1867605033,,00000000,food
-2120187886,1619866029,,723f7e06,food
-2117147007,-1974765025,,00000000,food
-2109845990,313138863,assault_rifle,00000000,food
-2107956927,-1548334130,,00000000,food
-2103759814,-1567697267,,1f7947cf,food
-2103386558,731849840,,00000000,food
-2103231105,-115805911,,1f7947cf,food
-2102390651,907465071,,1f7947cf,food
-2100852970,779244810,,00000000,food
-2099489993,1744882626,,1f7947cf,food
-2095885886,243888372,,1f7947cf,food
-2093265946,-1754594915,,00000000,food
-2092865719,-789428006,,1f7947cf,food
-2092727255,1083065635,,1f7947cf,food
-2092644165,-716040017,,00000000,food
-2089225903,-808519254,,00000000,food
-2088317090,-662361025,,00000000,food
-2083526830,60426987,,00000000,food
-2079373050,2059607239,,1f7947cf,food
-2079241668,-1892924126,,00000000,food
-2073603947,-1313625455,,00000000,food
-2072071754,-407770823,,1f7947cf,food
-2066994573,923266633,,597c7032,food
-2064649151,-1783329837,,1f7947cf,food
-2060255553,-59724965,,1f7947cf,food
-2059017012,-1242674485,,00000000,food
-2054540164,410150585,,00000000,food
-2049266511,-2034633180,,f7759c2a,food
-2048057069,1222454,,723f7e06,food
-2043464716,-1172435240,,00000000,food
-2039201014,-2010472092,,42c9679f,food
-2038184581,1546242969,,597c7032,food
-2034457539,1147715575,,1f7947cf,food
-2031940072,-492489844,,00000000,food
-2030814116,835686248,,1f7947cf,food
-2030691315,-498348131,,1f7947cf,food
-2029567811,1394276170,,00000000,food
-2028942153,-459628043,,00000000,food
-2028442082,1304313891,,a261c76b,food
-2028031834,-312401033,,00000000,food
-2018250099,1683415034,,42c9679f,food
-2016403127,-1365525976,,00000000,food
-2011335511,1930766141,,1f7947cf,food
-2005024110,-1686575139,,1f7947cf,food
-2004832577,-1921223923,,00000000,food
-1986275633,-841875826,,1f7947cf,food
-1983915860,211683483,,05a8e31e,food
-1983879711,881729412,,00000000,food
-1979502216,-884287660,,1f7947cf,food
-1978269215,581246710,,1f7947cf,food
-1977317657,597191280,,1f7947cf,food
-1976922283,-731878128,,00000000,food
-1974152881,46615063,,00000000,food
-1968272113,177910785,,1f7947cf,food
-1966393110,564706800,,00000000,food
-1965427973,1872148406,,00000000,food
-1963622591,-1027265383,,1f7947cf,food
-1956939664,-1430781383,,00000000,food
-1956014341,-1839023117,,1f7947cf,food
-1953520394,-469708633,,00000000,food
-1951376602,-2096508215,,00000000,food
-1946976191,1443090844,,00000000,food
-1942702118,1502342957,,00000000,food
-1937170314,15421965,,00000000,food
-1934472720,846533494,,00000000,food
-1931847197,-1815142636,,597c7032,food
-1930256747,-85894645,,00000000,food
-1929959275,2050745863,needler,00000000,food
-1927885221,1050901158,,05a8e31e,food
-1926837483,-682226596,,00000000,food
-1925589079,-1996120563,,00000000,food
-1924265246,35924213,,00000000,food
-1922196237,1038549336,,42c9679f,food
-1917774215,962020631,,00000000,food
-1913952371,-797143276,,1f7947cf,food
-1913644661,-1953356523,,00000000,food
-1909914527,-1337539316,,1f7947cf,food
-1886308403,1476415690,,619a3cc1,food
-1881784099,-880448094,,1f7947cf,food
-1878826386,1322096992,,00000000,food
-1877030675,-1496952931,,1f7947cf,food
-1872690466,-368961076,,1f7947cf,food
-1871341093,-1462579868,,00000000,food
-1863913332,-235098439,,00000000,food
-1862760598,973530660,,1f7947cf,food
-1855181776,380934487,,00000000,food
-1854501518,-956491153,,00000000,food
-1854092857,-456838937,,00000000,food
-1844206092,710687628,,1f7947cf,food
-1843159215,-1405693510,,1f7947cf,food
-1838788030,-1011520108,,1f7947cf,food
-1838502611,-1764569006,,1f7947cf,food
-1835432896,-1256092114,,1f7947cf,food
-1825803927,1028518636,shade_turret,81f1fc67,food
-1822179569,-1183712906,,00000000,food
-1819059511,-1111282612,,1f7947cf,food
-1814880870,482308345,,00000000,food
-1814670706,-1812787395,,86e79e50,food
-1809510764,31326200,,00000000,food
-1809350395,-644859598,,1f7947cf,food
-1807546999,-92500861,,1f7947cf,food
-1804795714,1652490747,,1f7947cf,food
-1804750612,1201671216,,00000000,food
-1802979854,89888210,,00000000,food
-1793949895,-153054458,,1f7947cf,food
-1789041313,668713430,,1f7947cf,food
-1788087682,-550757345,,00000000,food
-1787638182,420354058,,1f7947cf,food
-1786323650,-657209887,,723f7e06,food
-1781377232,-1394987972,gravity_hammer,00000000,food
-1779038656,1627663880,,00000000,food
-1778719387,-597610216,,1f7947cf,food
-1776078435,-832302852,,00000000,food
-1772266254,2029362209,,00000000,food
-1769603043,-1328690336,,597c7032,food
-1767551077,1547580900,,597c7032,food
-1765693041,1967341918,,1f7947cf,food
-1763052719,1923829234,,1f7947cf,food
-1755375476,-84789771,,00000000,food
-1753223075,601410472,,1f7947cf,food
-1751270658,-320099999,,00000000,food
-1751154772,1029649325,,00000000,food
-1743679416,-133690135,,1f7947cf,food
-1739694767,-1925074821,,00000000,food
-1734475997,1548646819,,1f7947cf,food
-1729719259,-1837512064,,00000000,food
-1729189629,554638121,,1f7947cf,food
-1722685555,-720511712,,00000000,food
-1718495603,419783896,banshee,00000000,food
-1717689578,1092858206,,619a3cc1,food
-1714906009,1674305415,,00000000,food
-1711743473,-818159217,,1f7947cf,food
-1709550829,-1601396213,,00000000,food
-1706843890,-151515219,,00000000,food
-1705963242,849866921,,1f7947cf,food
-1701791756,-1804484739,,f36b8634,food
-1699174246,-743613023,,723f7e06,food
-1697424621,-1768367325,,1f7947cf,food
-1693312870,1481800425,,a261c76b,food
-1693281964,136221534,,00000000,food
-1685497117,417752398,,00000000,food
-1682058038,546228327,,00000000,food
-1679082155,-1706232561,,00000000,food
-1678436540,-1377093129,,00000000,food
-1668138847,1611081191,,00000000,food
-1664225091,-301739076,,00000000,food
-1661170890,768614521,,00000000,food
-1658217552,-815396448,,f7759c2a,food
-1657469818,290276797,,00000000,food
-1656690369,-791111586,,00000000,food
-1653975283,1027822568,,86e79e50,food
-1647107999,955561440,,1f7947cf,food
-1646430977,1226816251,,1f7947cf,food
-1634935313,-13319795,,1f7947cf,food
-1633160588,1604555152,,1f7947cf,food
-1632544064,-609100237,,1f7947cf,food
-1629592054,381211490,,1f7947cf,food
-1624498794,-904227161,,00000000,food
-1624245739,840875055,,00000000,food
-1622254090,-1303273900,,00000000,food
-1621053953,1984525646,,f7759c2a,food
-1616181373,-1868329647,,00000000,food
-1610895870,1977604887,,00000000,food
-1610010625,-331615244,,1f7947cf,food
-1607963715,-631162043,,723f7e06,food
-1603607910,-1960411866,,1f7947cf,food
-1600190957,1502502221,,597c7032,food
-1599682496,786852756,,05a8e31e,food
-1598584170,207880909,,00000000,food
-1596006122,1283756586,,00000000,food
-1595945306,-200474384,,00000000,food
-1593911954,277934374,,1f7947cf,food
-1593549433,1064949902,,00000000,food
-1590149280,-551191256,,1f7947cf,food
-1589289669,272426397,,00000000,food
-1586619184,286474856,,00000000,food
-1581337304,2077444093,,00000000,food
-1580981655,967917626,,1f7947cf,food
-1578193710,-1104159399,,1f7947cf,food
-1576315425,153342634,,00000000,food
-1575790870,961840676,,05a8e31e,food
-1574092891,-2124214533,,00000000,food
-1571456834,719651449,,1f7947cf,food
-1570991682,278054703,,00000000,food
-1568226704,-2001312017,,42c9679f,food
-1566697228,-1081735028,,00000000,food
-1565231419,1772820680,,1f7947cf,food
-1560368478,1419644274,,00000000,food
-1559524585,2067461544,,00000000,food
-1554213874,-308587232,,619a3cc1,food
-1554062464,-1635759195,,1f7947cf,food
-1551314345,-143455854,,723f7e06,food
-1550592518,1083804154,,00000000,food
-1546771230,-628541010,,00000000,food
-1544981056,-2015642773,,1f7947cf,food
-1542987927,1095077043,,00000000,food
-1542724383,-300062295,,00000000,food
-1541345848,-1761626784,,00000000,food
-1538223866,-1375571705,,1f7947cf,food
-1536880685,-1701616928,,00000000,food
-1536841963,-1280796037,,f7759c2a,food
-1534056042,-316239166,,00000000,food
-1533712400,-1954715610,,1f7947cf,food
-1533673853,1057323132,,00000000,food
-1531765676,1931157721,,1f7947cf,food
-1531733007,197493659,,00000000,food
-1530110037,-50499167,,00000000,food
-1528748316,-1504111990,,61212ce8,food
-1525038282,1305321149,,00000000,food
-1524677849,1070074565,,00000000,food
-1522591343,-1978224645,,a261c76b,food
-1522057648,1677046694,,00000000,food
-1515106449,344254308,,1f7947cf,food
-1514901111,150227641,,597c7032,food
-1513962159,-1677138462,,1f7947cf,food
-1509539713,758369957,,00000000,food
-1508562546,1261694150,,1f7947cf,food
-1501399034,-1287605508,,1f7947cf,food
-1484112608,-1011926407,,f7759c2a,food
-1483221952,2073988879,,00000000,food
-1483049431,1514861450,,00000000,food
-1482624315,829142373,,1f7947cf,food
-1479214964,-2105143200,,1f7947cf,food
-1477909429,1120495519,default,bcbcbcbc,food
-1477845888,1660889884,,1f7947cf,food
-1477289360,-1990820606,,00000000,food
-1476457415,944179920,,42c9679f,food
-1475912321,1994554128,,1f7947cf,food
-1470488868,-1391484690,,00000000,food
-1467833334,2036671854,,1f7947cf,food
-1467259218,-110193691,,1f7947cf,food
-1463438133,-1367927726,,1f7947cf,food
-1461734734,-138946161,,1f7947cf,food
-1459663496,1478249241,,1f7947cf,food
-1457804681,1607176164,,00000000,food
-1455090107,16585905,,00000000,food
-1446228909,545109735,,1f7947cf,food
-1445440002,364658943,,1f7947cf,food
-1441483717,1564380368,,00000000,food
-1439422134,-1457087127,,86e79e50,food
-1436517628,1761215923,,00000000,food
-1433860927,1713249816,,1f7947cf,food
-1432879801,546198485,,00000000,food
-1430101324,1766551747,,69ca01eb,food
-1429124637,1665223193,,1f7947cf,food
-1428715228,1221277636,,1f7947cf,food
-1428538952,-1474934132,,00000000,food
-1425628693,-688781659,,00000000,food
-1424193718,-1774220454,,00000000,food
-1423679509,1536430071,,00000000,food
-1422631181,-921470467,,1f7947cf,food
-1422001974,-1551137324,,1f7947cf,food
-1418584172,-239745893,,f7759c2a,food
-1418057158,-2137661489,,86e79e50,food
-1412975978,1367901360,,00000000,food
-1409453888,-533411753,,1f7947cf,food
-1408077537,577074678,,00000000,food
-1406067562,1148246060,,00000000,food
-1404265577,2044598536,,00000000,food
-1400519942,-1174799713,,00000000,food
-1399929669,1496062699,,00000000,food
-1395561401,-793496442,,00000000,food
-1394894895,-1901974166,,00000000,food
-1390333281,1441487317,,00000000,food
-1389537363,-932027785,,00000000,food
-1389346743,145806694,,00000000,food
-1387856760,273408191,,1f7947cf,food
-1385032404,-1675405228,,00000000,food
-1382201964,-1312449530,,00000000,food
-1381857670,629118105,,05a8e31e,food
-1379991988,2055641739,,1f7947cf,food
-1379722909,397285878,,00000000,food
-1379449453,-864475287,,00000000,food
-1379184330,1875257194,,00000000,food
-1376852264,1886806382,,746e696f,food
-1376531898,97164788,,723f7e06,food
-1375229795,-375494055,,00000000,food
-1374859934,552343507,,00000000,food
-1373672453,-764011299,,1f7947cf,food
-1372913198,1453532131,,00000000,food
-1368584665,-1752167999,,00000000,food
-1362694062,-1773333388,,00000000,food
-1362288785,-1381451413,,1f7947cf,food
-1353587005,-1280964380,,1f7947cf,food
-1348516151,-34558245,,00000000,food
-1344747203,1504373692,,1f7947cf,food
-1343734916,-1355917741,,1f7947cf,food
-1342734883,-1602286447,,1f7947cf,food
-1336663490,947398875,,00000000,food
-1336095237,-1834087124,plasma_grenade,00000000,food
-1335452897,444187051,,1f7947cf,food
-1333589694,716483744,,00000000,food
-1332366101,-239319805,,1f7947cf,food
-1326245352,568286084,,00000000,food
-1319953585,1542264567,,00000000,food
-1310595169,-634083267,,597c7032,food
-1307733966,-2092673745,,1f7947cf,food
-1302623632,-2057762716,,1f7947cf,food
-1301727892,-1412445230,,1f7947cf,food
-1298029983,-1528037396,,1f7947cf,food
-1296527172,-72117303,,00000000,food
-1294229133,121283577,,1f7947cf,food
-1294066737,1908557834,,1f7947cf,food
-1293668882,1398754326,,1f7947cf,food
-1293145628,-1043115559,,1f7947cf,food
-1288037996,1580994220,,00000000,food
-1285736482,1961008485,,00000000,food
-1284262933,1255877023,,00000000,food
-1280545205,1754867886,,00000000,food
-1276771669,-1317638308,,05a8e31e,food
-1276185427,-1601596822,,00000000,food
-1270946132,387496927,,00000000,food
-1268715339,1193423799,,00000000,food
-1268230125,-1256695340,,1f7947cf,food
-1267055777,1886805827,,619a3cc1,food
-1266228946,-1511147727,,8ec83767,food
-1265563232,-1717374227,,00000000,food
-1263533763,-1130800249,,1f7947cf,food
-1262041651,-260869203,,1f7947cf,food
-1254749247,-756113178,,1f7947cf,food
-1254419856,-1672478621,,1f7947cf,food
-1246994527,-1369375120,,00000000,food
-1246665029,-2101214601,,b9864537,food
-1244774912,-2096756163,,1f7947cf,food
-1243139546,210125015,,00000000,food
-1241957150,1704813998,,00000000,food
-1238870389,-148194317,,00000000,food
-1233554098,1549340181,,1f7947cf,food
-1233115690,-1003278891,,00000000,food
-1231395959,-2086642236,,00000000,food
-1229268459,509622085,,1f7947cf,food
-1224354564,1549495406,,1f7947cf,food
-1220040446,135436097,,1f7947cf,food
-1217449053,1397342406,,1f7947cf,food
-1216174513,1770496299,,00000000,food
-1215005047,-1691611626,,1f7947cf,food
-1214088543,-2098532530,,1f7947cf,food
-1213571076,-902778569,,69ca01eb,food
-1210699271,482345135,,1f7947cf,food
-1206641528,-2016892765,,00000000,food
-1200356126,1494420556,,a261c76b,food
-1199840430,23997696,,1f7947cf,food
-1199633408,-1934143159,,619a3cc1,food
-1198654565,1761792747,,00000000,food
-1197972784,554527715,,1f7947cf,food
-1197297166,418532800,,723f7e06,food
-1195911236,302961370,,00000000,food
-1190828000,136717377,,00000000,food
-1189623763,-1146265033,,1f7947cf,food
-1185462116,1947199270,,1f7947cf,food
-1185205223,190011212,,00000000,food
-1177724310,-343049633,,1f7947cf,food
-1176452125,555051850,,00000000,food
-1176055843,-968047035,,00000000,food
-1174468547,-1315881718,,00000000,food
-1171188329,-1210189037,,1f7947cf,food
-1168178900,-60483853,,1f7947cf,food
-1167711532,210076268,,00000000,food
-1166604059,-1801867959,,00000000,food
-1162102626,-227568352,,1f7947cf,food
-1160144719,-781131677,,1f7947cf,food
-1155606257,-1786962484,,00000000,food
-1154017124,-2013973764,,00000000,food
-1153643042,700089272,,00000000,food
-1153367051,-324618109,,1f7947cf,food
-1143152298,-1312710881,,00000000,food
-1141819841,-240784504,,00000000,food
-1140309536,-1648371330,,00000000,food
-1139755994,-570881811,,1f7947cf,food
-1137520810,854897418,,1f7947cf,food
-1136624030,1606828026,,597c7032,food
-1135268937,1664018123,,1f7947cf,food
-1134149153,-1665121933,,00000000,food
-1125003349,121572582,,1f7947cf,food
-1116686113,-1472808928,,1f7947cf,food
-1108230827,-262312224,,1f7947cf,food
-1103034141,-116545816,,1f7947cf,food
-1094046084,-452835415,,619a3cc1,food
-1091998573,-42777968,,00000000,food
-1089971591,383686778,,00000000,food
-1085994458,1927726237,,42c9679f,food
-1079449719,-2047123422,,1f7947cf,food
-1078695494,1252898701,,1f7947cf,food
-1076944025,1133634971,,1f7947cf,food
-1076429309,-1117233822,,00000000,food
-1075386107,945278791,,1f7947cf,food
-1072185040,1976696843,,00000000,food
-1062039679,1409325718,,a261c76b,food
-1060199956,-2140204701,,00000000,food
-1058146113,-1592469551,,1f7947cf,food
-1045090467,763072194,,1f7947cf,food
-1042498405,824296858,,1f7947cf,food
-1039364538,-126695282,,00000000,food
-1038479746,-247401106,,1f7947cf,food
-1030104102,573515416,,86e79e50,food
-1026591636,1640215698,,1f7947cf,food
-1022221022,-976602164,,00000000,food
-1020495528,1667826643,,1f7947cf,food
-1019954754,-158327865,,00000000,food
-1019570325,-274405379,,00000000,food
-1015901077,1973029878,,00000000,food
-1014435458,977483821,,1f7947cf,food
-1013970864,-847326347,,00000000,food
-1008738809,365446020,,1f7947cf,food
-1000295201,-752123190,,00000000,food
-988921972,-1155580279,,1f7947cf,food
-984668480,-1034980683,,1f7947cf,food
-983151539,-1532701498,,1f7947cf,food
-979944560,1939034056,,1f7947cf,food
-973614490,1631613130,,619a3cc1,food
-972969038,-1621350491,,00000000,food
-966446051,-1252855023,,00000000,food
-962364181,-1463553417,,723f7e06,food
-960803919,-2050255853,,1f7947cf,food
-960331706,-1454374809,,00000000,food
-959850993,824562688,,1f7947cf,food
-958044517,1573617333,,00000000,food
-956199155,1369573967,,f7759c2a,food
-955729063,673063692,,1f7947cf,food
-954454012,1626433799,,00000000,food
-952468892,-297494798,,00000000,food
-947456082,1538183213,,1f7947cf,food
-945116642,1195597224,,00000000,food
-937500356,1010458957,,00000000,food
-936420252,596875868,,1f7947cf,food
-935312532,316620895,,597c7032,food
-932502069,54525510,,00000000,food
-925343768,1356428436,,1f7947cf,food
-924850999,276038973,,1f7947cf,food
-909978070,752630200,,00000000,food
-906277153,-766741915,,00000000,food
-906033151,1711509785,,00000000,food
-905049666,-1439554520,,1f7947cf,food
-899443081,344044088,,1f7947cf,food
-894078971,-427906972,,00000000,food
-887750500,1657976258,,00000000,food
-886969197,1608577909,,1f7947cf,food
-885874693,925159155,,1f7947cf,food
-884401872,-874619838,,00000000,food
-884163159,-1531676798,,f528902c,food
-878477843,-207642605,,05a8e31e,food
-878042986,1999000057,,1f7947cf,food
-877512201,-808646658,,42c9679f,food
-873480580,-926290068,,1f7947cf,food
