hash,nom_craque,instances,cartes,type_id_porteurs
528041935,forge,148841,78,-2142835366 -2133138017 -2131516968 -2130433618 -2128852445 -2116503592
1120495519,default,115909,154,-2144639762 -2143765828 -2133343490 -2133082748 -2131404914 -2121329010
0,,17295,101,-2121320675 -2117147007 -2116213658 -2100852970 -2093265946 -2079241668
1057323132,,12487,195,-1533673853
648268236,,7618,69,-722308271
1774846443,,6341,56,-2096137815 -2094645197 -2074292798 -2067003165 -1922196237 -1917962665
-420217844,,4275,11,-1958026184 -1884909892 -1702795949 -1623436998 -1372830718 -1311869063
1865024472,,3057,78,-696190206
-143287254,,2993,15,-2049266511 -1658217552 -1621053953 -1536841963 -1484112608 -1418584172
1520905513,,2820,65,-103790086
-1117979510,,2343,161,-361555940
625301978,,2237,60,-1966135157 266672194 1542250243 1735640563
524988262,,1858,118,176825834
-808646658,,1698,159,-877512201
94954270,,1632,6,-2128216670 -2127492930 -1983915860 -1927885221 -1599682496 -1575790870
-81686274,base_grime,1560,9,-2117585256 -2035523474 -1915496311 -1760023856 -1624713825 -1611266318
1911460274,,1250,15,-2087351715 -1627798358 -1161389031 148892029 683692973 906780026
-799850256,,1207,2,1806717236
-1514804654,,1109,47,-1737474781 -614133168 250230204 389427611 906930433
956835859,,892,29,1223404046
-320099999,,830,52,-1751270658
-2089414793,,813,48,-1718468643 -1504577813 -584216079 -512312831 533902327
660804189,,812,11,-565700411
1501327410,glacier,798,12,-2137189496 -2066994573 -2038184581 -1931847197 -1769603043 -1767551077
-1229236180,,790,36,381701570 914504198 1316554231
944179920,,782,145,-1476457415
729462028,,730,76,-621870361
1813759503,,721,39,-2019291984 -835704522 -772142774 -691424527 -690189383 -614278675
-437051236,banished,692,7,-329379567
1038316458,,680,160,1818458590
-1585315258,,632,29,-1727241262 -1643620849 -1116440378 -1074529856 161920811 1048384104
1707864345,,628,43,850884602
222826442,,623,38,-1342618612 -1299421876 703364958
-280725848,,582,61,43333489
1916763654,,573,5,-2120187886 -2048057069 -1699174246 -1551314345 -1376531898 -1197297166
1766551747,,547,157,-1430101324
-1270363794,,503,118,95146865
679996471,,459,51,-1902667258
-810498589,,457,33,-1302862255 -577894883 -194636126
-1309689798,,446,44,1025007144
-28002361,,440,48,286887277
1345872038,,438,80,-1239931096
-2110710921,,432,9,-2059622878 -2018479642 -1756352121 -1568459930 -1504288645 -1428118261
-547051997,,386,188,-508752201
-1365986376,,381,35,1760789812
-717546338,,374,35,-1284111474 672283073 711955974 2115624840
-1138267470,fo_ai_zone,370,28,1020883125
384210737,,337,28,-1868367315 -1578641907 -1168405682 -330181023
870073204,,334,21,-1796165553 -1446128328 -1018432779 1624681032
-1703228490,,325,24,-971980135 -585381882 -68300803 601549405 1697112643 1968330654
-95624705,,324,9,1653755539
-301924992,,312,23,-917970433 -397876968 1321973632 1713544252
-1307239887,,312,16,1246723723
-138919474,,275,4,449446869
1761873587,,263,163,848694842
