fichier,obj_index,type_id,role,shape,s1,s2,s3,s4,s5,s6,s7,s8,pos_x,pos_y,pos_z,fwd_x,fwd_y,fwd_z,up_x,up_y,up_z,team,labels
944396dd-5661-4a16-b1d8-a6053f762c55_fo13_frost.mvar,46,176825834,,3,0,0,0,0,6881280,2949120,327680,327680,178.0000,150.6000,50.5000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,0,
944396dd-5661-4a16-b1d8-a6053f762c55_fo13_frost.mvar,47,176825834,,3,0,0,0,0,6881280,2949120,327680,327680,178.0000,50.6000,50.5000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,0,
944396dd-5661-4a16-b1d8-a6053f762c55_fo13_frost.mvar,48,176825834,,3,0,0,0,0,6881280,2949120,327680,327680,178.0000,-50.6000,50.5000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,0,
944396dd-5661-4a16-b1d8-a6053f762c55_fo13_frost.mvar,49,176825834,,3,0,0,0,0,6881280,2949120,327680,327680,178.0000,-150.6000,50.5000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,0,
944396dd-5661-4a16-b1d8-a6053f762c55_fo13_frost.mvar,50,176825834,,3,0,0,0,0,6881280,2949120,327680,327680,-178.1000,-150.6000,50.5000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,0,
944396dd-5661-4a16-b1d8-a6053f762c55_fo13_frost.mvar,51,176825834,,3,0,0,0,0,6881280,2949120,327680,327680,-178.1000,-50.6000,50.5000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,0,
944396dd-5661-4a16-b1d8-a6053f762c55_fo13_frost.mvar,52,176825834,,3,0,0,0,0,6881280,2949120,327680,327680,-178.1000,50.6000,50.5000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,0,
944396dd-5661-4a16-b1d8-a6053f762c55_fo13_frost.mvar,53,176825834,,3,0,0,0,0,6881280,2949120,327680,327680,-178.1000,150.6000,50.5000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,0,
944396dd-5661-4a16-b1d8-a6053f762c55_fo13_frost.mvar,54,176825834,,3,0,0,0,0,6881280,2949120,327680,327680,150.0000,-178.1000,50.5000,-1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0,
944396dd-5661-4a16-b1d8-a6053f762c55_fo13_frost.mvar,55,176825834,,3,0,0,0,0,6881280,2949120,327680,327680,50.0000,-178.1000,50.5000,-1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0,
944396dd-5661-4a16-b1d8-a6053f762c55_fo13_frost.mvar,56,176825834,,3,0,0,0,0,6881280,2949120,327680,327680,-51.2000,-178.1000,50.5000,-1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0,
944396dd-5661-4a16-b1d8-a6053f762c55_fo13_frost.mvar,57,176825834,,3,0,0,0,0,6881280,2949120,327680,327680,-151.2000,-178.1000,50.5000,-1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0,
944396dd-5661-4a16-b1d8-a6053f762c55_fo13_frost.mvar,58,176825834,,3,0,0,0,0,6881280,2949120,327680,327680,-151.2000,178.0000,50.5000,-1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0,
944396dd-5661-4a16-b1d8-a6053f762c55_fo13_frost.mvar,59,176825834,,3,0,0,0,0,6881280,2949120,327680,327680,-51.2000,178.0000,50.5000,-1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0,
944396dd-5661-4a16-b1d8-a6053f762c55_fo13_frost.mvar,60,176825834,,3,0,0,0,0,6881280,2949120,327680,327680,50.0000,178.0000,50.5000,-1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0,
944396dd-5661-4a16-b1d8-a6053f762c55_fo13_frost.mvar,61,176825834,,3,0,0,0,0,6881280,2949120,327680,327680,150.0000,178.0000,50.5000,-1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0,
944396dd-5661-4a16-b1d8-a6053f762c55_fo13_frost.mvar,70,1818458590,strongholds_zone,2,0,0,0,0,65536,65536,131072,16384,-2.0000,-2.5000,50.5000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0,strongholds_zone|strongholds_include
944396dd-5661-4a16-b1d8-a6053f762c55_fo13_frost.mvar,71,1818458590,strongholds_zone,2,0,0,0,0,65536,65536,131072,16384,2.0000,-2.5000,50.5000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1,strongholds_zone|strongholds_include
944396dd-5661-4a16-b1d8-a6053f762c55_fo13_frost.mvar,72,1818458590,strongholds_zone,2,0,0,0,0,65536,65536,131072,16384,0.0000,-2.5000,50.5000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-1,strongholds_zone|strongholds_include
944396dd-5661-4a16-b1d8-a6053f762c55_fo13_frost.mvar,74,1818458590,stockpile_navpoint,3,0,0,0,0,65536,212992,65536,16384,-4.1000,-5.6000,50.5000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0,stockpile_navpoint|stockpile_include
944396dd-5661-4a16-b1d8-a6053f762c55_fo13_frost.mvar,75,1818458590,stockpile_navpoint,3,0,0,0,0,65536,212992,65536,16384,4.1000,-5.6000,50.5000,-1.00000,-0.00000,0.00000,0.00000,0.00000,1.00000,1,stockpile_navpoint|stockpile_include
944396dd-5661-4a16-b1d8-a6053f762c55_fo13_frost.mvar,95,-1476457415,,2,0,0,0,0,65536,65536,131072,16384,0.0000,4.5000,50.5000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-1,-767961569|2133978317
944396dd-5661-4a16-b1d8-a6053f762c55_fo13_frost.mvar,96,-1476457415,,2,0,0,0,0,65536,65536,131072,16384,-0.0000,6.5000,50.5000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-1,-767961569|2133978317
944396dd-5661-4a16-b1d8-a6053f762c55_fo13_frost.mvar,97,-1476457415,,2,0,0,0,0,65536,65536,131072,16384,-2.0000,4.5000,50.5000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-1,-767961569|2133978317
944396dd-5661-4a16-b1d8-a6053f762c55_fo13_frost.mvar,98,-1476457415,,2,0,0,0,0,65536,65536,131072,16384,2.0000,4.5000,50.5000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-1,-767961569|2133978317
944396dd-5661-4a16-b1d8-a6053f762c55_fo13_frost.mvar,99,-1476457415,,2,0,0,0,0,65536,65536,131072,16384,0.0000,2.5000,50.5000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-1,-767961569|2133978317
944396dd-5661-4a16-b1d8-a6053f762c55_map.mvar,38,43333489,,3,0,0,0,0,786432,1966080,425984,425984,0.0000,-0.0000,134.1500,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,-1,
944396dd-5661-4a16-b1d8-a6053f762c55_map.mvar,151,-722308271,,3,0,0,0,0,917635,917635,236584,236584,0.0879,13.3976,138.9125,-1.00000,0.00000,0.00000,0.00000,0.76607,0.64276,-1,
944396dd-5661-4a16-b1d8-a6053f762c55_map.mvar,1044,-696190206,,3,0,0,0,0,939588,1664259,589500,327680,-0.3048,30.2244,140.3473,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-1,
944396dd-5661-4a16-b1d8-a6053f762c55_map.mvar,1045,-696190206,,3,0,0,0,0,530440,1625962,589500,327680,7.9494,26.1706,140.3473,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-1,
944396dd-5661-4a16-b1d8-a6053f762c55_map.mvar,1047,-696190206,,3,0,0,0,0,710416,504458,391730,327680,8.8478,13.3692,140.3473,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-1,
944396dd-5661-4a16-b1d8-a6053f762c55_map.mvar,1067,-696190206,,3,0,0,0,0,738273,642375,102621,65536,0.1577,15.1220,139.3762,1.00000,0.00000,0.00000,0.00000,0.14781,0.98902,-1,
944396dd-5661-4a16-b1d8-a6053f762c55_map.mvar,1069,-696190206,,3,0,0,0,0,780048,306948,102621,65536,-0.1504,11.8967,137.7506,1.00000,0.00000,0.00000,0.00000,0.08716,0.99619,-1,
944396dd-5661-4a16-b1d8-a6053f762c55_map.mvar,1071,-696190206,,3,0,0,0,0,530440,504458,391730,327680,-8.7947,13.7666,140.3473,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-1,
944396dd-5661-4a16-b1d8-a6053f762c55_map.mvar,1086,-696190206,,3,0,0,0,0,530440,945371,391730,327680,-8.7947,25.4259,140.3473,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-1,
944396dd-5661-4a16-b1d8-a6053f762c55_map.mvar,1087,-696190206,,3,0,0,0,0,668007,1367344,391730,327680,0.0414,11.2729,145.4141,1.00000,0.00000,0.00000,0.00000,0.08714,0.99620,-1,
944396dd-5661-4a16-b1d8-a6053f762c55_map.mvar,1088,-696190206,,3,0,0,0,0,667243,807411,50920,327680,0.0088,5.6609,141.1846,1.00000,0.00000,0.00000,0.00000,0.08714,0.99620,-1,
