idx,type_id,x,y,z,up_x,up_y,up_z,fwd_x,fwd_y,fwd_z,yaw_deg,flags,byte_offset,byte_size
0,298581842,-8.32763,10.81291,-0.43807,0.00000,0.00000,1.00000,0.97840,0.20671,0.00000,11.93,1,226,90
1,1980827929,25.22280,-14.31495,0.15213,-0.00647,-0.03947,0.99920,-0.16155,-0.98605,-0.03999,-99.30,1,317,105
2,1980827929,23.77525,-16.46404,-0.41921,-0.01129,-0.07131,0.99739,-0.15603,-0.98511,-0.07220,-99.00,1,423,105
3,1980827929,-10.55800,39.01596,5.71916,-0.07941,0.07445,0.99406,0.72518,-0.67990,0.10885,-43.15,1,529,105
4,1980827929,19.90000,9.60000,-1.90000,0.00000,0.00000,1.00000,0.00000,-1.00000,0.00000,-90.00,1,635,85
5,1980827929,19.90000,7.30000,-1.90000,0.00000,0.00000,1.00000,0.00000,-1.00000,0.00000,-90.00,1,721,85
6,1980827929,-7.18692,35.94626,6.46393,0.04409,-0.04390,0.99806,0.70730,-0.70417,-0.06222,-44.87,1,807,105
7,-361555940,43.38889,9.29671,0.49999,-0.00005,0.00002,1.00000,-0.99606,-0.08866,-0.00005,-174.91,7,913,120
8,-361555940,43.67377,21.48767,0.50010,-0.00005,0.00002,1.00000,-0.99606,-0.08866,-0.00005,-174.91,7,1034,120
9,-361555940,35.74292,0.38528,0.20005,-0.00005,0.00002,1.00000,-0.76701,0.64163,-0.00006,140.09,7,1155,120
10,-361555940,25.72803,-21.78543,-0.79989,-0.00005,0.00002,1.00000,-0.08866,0.99606,-0.00003,95.09,7,1276,120
11,-361555940,-6.29999,-2.10000,-1.84871,-0.00005,0.00002,1.00000,0.99606,0.08866,0.00005,5.09,7,1397,120
12,-361555940,-7.10000,16.70000,-0.60000,-0.00005,0.00002,1.00000,0.76701,-0.64163,0.00006,-39.91,7,1518,120
13,-361555940,11.14861,28.54293,-2.11581,-0.00005,0.00002,1.00000,-0.35848,-0.93354,0.00000,-111.01,7,1639,120
14,-361555940,19.99600,9.49977,-2.46415,-0.00005,0.00002,1.00000,0.01336,-0.99991,0.00003,-89.23,7,1760,120
15,-361555940,30.39399,-2.69362,-1.94032,-0.00005,0.00002,1.00000,-0.85464,-0.51922,-0.00003,-148.72,7,1881,120
16,-361555940,16.04932,27.71677,-3.27836,-0.00005,0.00002,1.00000,0.81251,0.58295,0.00003,35.66,7,2003,131
17,-361555940,13.90000,28.40000,-3.26937,-0.00005,0.00002,1.00000,-0.36651,0.93041,-0.00004,111.50,7,2136,131
18,-361555940,-6.99585,17.48152,-0.65696,-0.00005,0.00002,1.00000,0.91707,-0.39874,0.00006,-23.50,7,2269,131
19,-361555940,-7.61787,16.55249,-0.65696,-0.00005,0.00002,1.00000,0.48778,-0.87297,0.00005,-60.81,7,2402,131
20,-361555940,8.42813,2.63702,-1.94946,-0.00005,0.00002,1.00000,0.27237,0.96219,-0.00001,74.19,7,2535,131
21,-361555940,28.90000,-3.30000,-1.97869,-0.00005,0.00002,1.00000,-0.51735,-0.85577,-0.00001,-121.15,7,2668,131
22,1006238451,-3.70000,16.40000,-1.22110,0.00000,0.00000,1.00000,0.98734,0.15863,0.00000,9.13,1,2800,109
23,1747684183,43.80000,9.30000,0.50000,0.00000,-0.00000,1.00000,-1.00000,0.00000,0.00000,180.00,1,2910,116
24,1747684183,-7.97638,-2.13955,-1.84965,0.00000,0.00000,1.00000,0.89297,0.45012,0.00000,26.75,1,3027,101
25,1747684183,38.60000,16.20000,0.53666,0.00000,-0.00000,1.00000,-1.00000,0.00000,0.00000,180.00,1,3129,116
26,1747684183,44.00000,23.00000,0.53666,0.00000,-0.00000,1.00000,-1.00000,0.00000,0.00000,180.00,1,3246,116
27,1006238451,-6.24959,13.35704,-1.22110,0.00000,0.00000,1.00000,0.15863,-0.98734,0.00000,-80.87,1,3363,101
28,1006238451,-6.68460,16.28301,-0.66758,0.00000,0.00000,1.00000,0.81032,-0.58599,0.00000,-35.87,1,3465,101
29,1006238451,19.88562,3.71485,-2.53747,0.00000,0.00000,1.00000,0.03070,0.99953,0.00000,88.24,1,3567,101
30,1006238451,20.46371,-22.79065,-3.10521,0.00000,0.00000,1.00000,0.04279,0.99908,0.00000,87.55,1,3669,101
