index,min_x,min_y,max_x,max_y,top_z,bottom_z,pos_x,pos_y,pos_z,mesh_index,flags,flags2,area_m2
0,3.7849,5.0511,3.7854,5.2702,5.9497,5.9197,3.7852,5.1607,5.9347,0,0,1,0.0001
1,-3.7860,7.5333,-3.7855,7.7523,5.9497,5.9197,-3.7857,7.6428,5.9347,0,0,1,0.0001
2,-12.8322,-3.5517,-11.1098,3.5532,4.4133,3.9997,-11.9626,0.0007,4.2082,0,0,2,12.2377
3,-12.8192,-3.1675,-11.0929,3.1606,4.4171,3.9994,-11.9626,0.0007,4.2082,1,0,2,10.9238
4,-12.8000,-4.7503,-12.7669,-3.1505,4.4121,4.0000,-12.7835,-3.9504,4.2060,0,0,0,0.0530
5,-12.8000,-4.7500,-12.7708,-3.1508,4.4113,4.0000,-12.7835,-3.9504,4.2060,1,0,0,0.0467
6,-15.9712,3.7341,-14.4601,5.2453,5.6001,3.7400,-15.2156,4.4897,4.6701,0,0,0,2.2835
7,-15.9516,3.7537,-14.4797,5.2257,5.4724,3.8123,-15.2156,4.4897,4.6701,1,0,1,2.1665
8,-14.4467,4.2511,-13.5509,5.1476,8.4000,6.2000,-13.9990,4.6993,7.3000,0,0,0,0.8031
9,-14.4471,4.3000,-13.6000,5.1471,8.4000,6.2000,-13.9990,4.6993,7.3000,1,0,0,0.7175
10,-12.8485,3.5500,-12.7814,4.3500,4.0000,2.1963,-12.8149,3.9500,3.0981,0,0,0,0.0537
11,-17.8231,-4.8000,-14.1997,-3.2043,3.8130,1.9346,-16.0134,-4.0033,2.8738,0,0,0,5.7820
12,-17.8278,-4.8022,-14.1991,-3.2043,3.8046,2.2002,-16.0134,-4.0033,2.8738,1,0,0,5.7984
13,-12.3045,-2.8339,-11.8660,-2.3954,10.8020,10.3712,-12.0911,-2.6088,10.5866,0,0,2,0.1923
14,-12.3163,-2.8339,-11.8660,-2.3836,10.8020,10.3712,-12.0911,-2.6088,10.5866,1,0,2,0.2028
15,-13.4077,2.1343,-12.2763,3.2657,6.6005,6.5995,-12.8412,2.7008,6.6092,0,0,0,1.2800
16,-13.4077,2.1364,-12.2768,3.2673,6.6184,6.6017,-12.8412,2.7008,6.6092,1,0,0,1.2789
17,-16.3660,6.3000,-16.1000,6.5660,10.0000,7.8000,-16.2235,6.4366,8.9000,0,0,2,0.0708
18,-16.3688,6.2981,-16.0783,6.5751,10.0099,7.7900,-16.2235,6.4366,8.9000,1,0,2,0.0804
19,-16.0000,-5.1000,-15.8000,-4.9000,10.0000,7.8000,-15.8982,-5.0017,8.9000,0,0,2,0.0400
