index,min_x,min_y,max_x,max_y,top_z,bottom_z,pos_x,pos_y,pos_z,mesh_index,flags,flags2,area_m2
0,14.0282,-10.2000,14.8218,-9.9966,2.4230,2.1161,14.4250,-10.0983,2.2698,0,0,0,0.1614
1,14.0281,-10.2000,14.8219,-9.9974,2.4235,2.1161,14.4250,-10.0983,2.2698,1,0,0,0.1608
2,14.6150,-6.6831,14.8686,-6.4079,3.0758,2.2926,14.7418,-6.5455,2.6842,0,0,0,0.0698
3,14.6589,-6.6267,14.8224,-6.5332,2.9844,2.7785,14.7418,-6.5455,2.6842,1,0,0,0.0153
4,14.6536,-6.6707,14.8004,-6.5679,2.9090,2.6846,14.7418,-6.5455,2.6842,2,0,1,0.0151
5,14.6152,-6.6813,14.8681,-6.4081,3.0754,2.2926,14.7418,-6.5455,2.6842,3,0,0,0.0691
6,8.6544,-5.4427,9.1397,-4.9507,4.6787,3.4730,8.9561,-5.1680,3.9958,0,0,0,0.2387
7,8.6331,-5.4941,9.2791,-4.8418,4.6818,3.4005,8.9561,-5.1680,3.9958,1,0,0,0.4214
8,8.7469,-5.3727,9.1930,-4.9191,4.6375,3.3099,8.9561,-5.1680,3.9958,2,0,0,0.2024
9,8.5119,-5.6156,8.9960,-5.1314,3.3938,2.3519,8.7536,-5.3732,2.8720,0,0,0,0.2344
10,8.5112,-5.6156,8.9966,-5.1302,3.3939,2.3500,8.7536,-5.3732,2.8720,1,0,0,0.2356
11,12.7406,-8.3500,12.8596,-7.9500,5.5000,4.9000,12.8001,-8.1500,5.2000,0,32,0,0.0476
12,12.7405,-8.3500,12.8596,-7.9500,5.5000,4.9000,12.8001,-8.1500,5.2000,1,32,0,0.0476
13,12.7406,-8.3500,12.8596,-7.9500,6.4000,5.8000,12.8001,-8.1500,6.1000,0,32,0,0.0476
14,12.7405,-8.3500,12.8596,-7.9500,6.4000,5.8000,12.8001,-8.1500,6.1000,1,32,0,0.0476
15,13.5200,-6.4596,13.9200,-6.3406,5.5000,4.9000,13.7200,-6.4001,5.2000,0,32,0,0.0476
16,13.5200,-6.4596,13.9200,-6.3405,5.5000,4.9000,13.7200,-6.4001,5.2000,1,32,0,0.0476
17,13.5200,-6.4596,13.9200,-6.3406,6.4000,5.8000,13.7200,-6.4001,6.1000,0,32,0,0.0476
18,13.5200,-6.4596,13.9200,-6.3405,6.4000,5.8000,13.7200,-6.4001,6.1000,1,32,0,0.0476
19,12.7406,-8.3500,12.8596,-7.9500,4.5000,3.9000,12.8001,-8.1500,4.2000,0,32,0,0.0476
20,12.7405,-8.3500,12.8596,-7.9500,4.5000,3.9000,12.8001,-8.1500,4.2000,1,32,0,0.0476
21,12.8566,-6.8202,13.2236,-6.4532,5.4999,4.8999,13.0401,-6.6367,5.1999,0,32,0,0.1347
22,12.8566,-6.8202,13.2236,-6.4532,5.5000,4.8999,13.0401,-6.6367,5.1999,1,32,0,0.1347
23,12.8566,-6.8202,13.2236,-6.4532,6.3999,5.7999,13.0401,-6.6367,6.0999,0,32,0,0.1347
24,12.8566,-6.8202,13.2236,-6.4532,6.4000,5.7999,13.0401,-6.6367,6.0999,1,32,0,0.1347
25,13.5200,-6.4596,13.9200,-6.3406,4.5000,3.9000,13.7200,-6.4001,4.2000,0,32,0,0.0476
26,13.5200,-6.4596,13.9200,-6.3405,4.5000,3.9000,13.7200,-6.4001,4.2000,1,32,0,0.0476
27,14.6048,-6.3330,16.2017,-6.2815,5.4175,4.7504,15.4033,-6.3073,5.0839,0,0,0,0.0823
28,14.6109,-6.3282,16.1975,-6.3067,5.4175,4.7570,15.4033,-6.3073,5.0839,1,0,1,0.0341
29,14.6048,-6.3238,16.2017,-6.2815,5.4116,4.7504,15.4033,-6.3073,5.0839,2,0,0,0.0675
30,14.6109,-6.3330,16.1975,-6.3239,5.4143,4.7586,15.4033,-6.3073,5.0839,3,0,0,0.0144
31,6.1187,-9.3088,7.0213,-8.6912,5.2424,4.7406,6.5697,-9.0000,4.9917,0,32,0,0.5574
32,6.1187,-9.3088,7.0213,-8.6912,5.2424,4.7406,6.5697,-9.0000,4.9917,1,32,0,0.5574
33,6.1161,-9.3110,7.0233,-8.6890,5.2428,4.7415,6.5697,-9.0000,4.9917,2,32,1,0.5643
34,6.2765,-9.2897,6.8558,-8.7103,5.2319,4.8423,6.5697,-9.0000,4.9917,3,32,0,0.3356
35,12.6243,-8.0452,12.6356,-6.9667,3.4440,3.3245,12.6300,-7.5059,3.3843,0,32,0,0.0122
36,12.6246,-8.0451,12.6354,-6.9667,3.4417,3.3267,12.6300,-7.5059,3.3843,1,32,0,0.0117
37,10.1974,-12.9487,10.2026,-12.5013,2.8975,2.7525,10.2000,-12.7250,2.8250,0,0,0,0.0023
38,10.1974,-12.9487,10.2026,-12.5013,2.8975,2.7525,10.2000,-12.7250,2.8250,1,0,0,0.0023
39,12.7862,-8.8595,12.9642,-8.6815,3.7058,3.5927,12.8748,-8.7710,3.6430,0,32,0,0.0317
40,12.7851,-8.8608,12.9646,-8.6812,3.7058,3.5802,12.8748,-8.7710,3.6430,1,32,0,0.0322
41,15.3548,-6.6072,15.4094,-6.3923,3.7114,3.5633,15.3815,-6.4987,3.6313,0,32,0,0.0117
42,15.3532,-6.6074,15.4098,-6.3900,3.7114,3.5511,15.3815,-6.4987,3.6313,1,32,0,0.0123
43,11.2409,-11.0144,11.6079,-10.6474,5.4500,4.8500,11.4244,-10.8309,5.1500,0,32,0,0.1347
44,11.2409,-11.0144,11.6079,-10.6474,5.4500,4.8500,11.4244,-10.8309,5.1500,1,32,0,0.1347
45,10.7600,-11.5236,11.1270,-11.1566,5.4500,4.8500,10.9435,-11.3401,5.1500,0,32,0,0.1347
46,10.7600,-11.5236,11.1270,-11.1566,5.4500,4.8500,10.9435,-11.3401,5.1500,1,32,0,0.1347
47,10.2721,-12.0256,10.6391,-11.6586,5.4500,4.8500,10.4556,-11.8421,5.1500,0,32,0,0.1347
48,10.2721,-12.0256,10.6391,-11.6586,5.4500,4.8500,10.4556,-11.8421,5.1500,1,32,0,0.1347
49,10.1041,-12.7000,10.2231,-12.3000,5.4500,4.8500,10.1636,-12.5000,5.1500,0,32,0,0.0476
