chunk,packetIndex,packetType,packetPayloadStart,packetSize,packetTs,payloadBitOffset,recordHeaderBit,gapBits,maskCount,maskIndices,slot,eid,x_capture,y_capture,z_capture,x_decoded,y_decoded,z_decoded,x_truth,y_truth,z_truth,sigByteInChunk,residual
1,362,0,557184,275,4521474569,258,,,,,512,1073742336,0.0000,0.0000,0.0000,43.6060,8.3960,0.4989,43.6060,8.3960,0.5031,557224,8
1,364,0,557501,331,4521490677,290,,,,,513,1073742337,0.0000,0.0000,0.0000,-4.3215,17.1076,-1.2138,-4.3215,17.1076,-1.2180,557541,4
1,366,0,557874,342,4521507487,258,,,,,514,1073742338,0.0000,0.0000,0.0000,43.7995,8.9935,0.4989,43.7995,8.9935,0.5031,557914,8
1,368,0,558258,392,4521524430,315,,,,,515,1073742339,0.0000,0.0000,0.0000,43.7995,9.6048,0.4989,43.7995,9.6048,0.5031,558298,1
1,370,0,558692,392,4521541328,258,,,,,516,1073742340,0.0000,0.0000,0.0000,-3.7410,16.7046,-1.2138,-3.7410,16.7046,-1.2180,558732,8
1,372,0,559126,360,4521557993,258,,,,,517,1073742341,0.0000,0.0000,0.0000,-3.6581,16.1072,-1.2138,-3.6581,16.1072,-1.2180,559166,8
1,372,0,559126,360,4521557993,2625,2574,51,5,0|1|25|48|56,516,1073742340,-3.7410,16.7046,-1.2180,-3.7410,16.7046,-1.2138,-3.7410,16.7046,-1.2180,559462,8
1,374,0,559528,480,4521574687,315,,,,,518,1073742342,0.0000,0.0000,0.0000,-4.0589,15.5376,-1.2138,-4.0589,15.5375,-1.2180,559568,1
1,374,0,559528,480,4521574687,3590,3539,51,5,0|1|25|48|56,517,1073742341,-3.6581,16.1072,-1.2180,-3.6581,16.1072,-1.2138,-3.6581,16.1072,-1.2180,559984,8
1,376,0,560050,419,4521591418,258,,,,,519,1073742343,0.0000,0.0000,0.0000,43.7028,10.2023,0.4989,43.7028,10.2023,0.5031,560090,8
1,376,0,560050,419,4521591418,3038,2987,51,5,0|1|25|48|56,518,1073742342,-4.0589,15.5375,-1.2180,-4.0589,15.5376,-1.2138,-4.0589,15.5375,-1.2180,560434,5
1,510,0,566002,58,4522706972,70,37,33,2,0|25,517,1073742341,-3.6581,16.1072,-1.2180,-3.6581,16.1072,-1.2138,-3.6581,16.1072,-1.2180,566018,8
1,510,0,566002,58,4522706972,160,127,33,2,0|25,518,1073742342,-4.0589,15.5375,-1.2180,-4.0589,15.5376,-1.2138,-4.0589,15.5375,-1.2180,566026,4
1,646,0,571711,58,4523841253,70,37,33,2,0|25,517,1073742341,-3.6581,16.1072,-1.2180,-3.6581,16.1072,-1.2138,-3.6581,16.1072,-1.2180,571727,8
1,646,0,571711,58,4523841253,160,127,33,2,0|25,518,1073742342,-4.0589,15.5375,-1.2180,-4.0589,15.5376,-1.2138,-4.0589,15.5375,-1.2180,571735,4
1,782,0,577042,58,4524975533,70,37,33,2,0|25,517,1073742341,-3.6581,16.1072,-1.2180,-3.6581,16.1072,-1.2138,-3.6581,16.1072,-1.2180,577058,8
1,782,0,577042,58,4524975533,160,127,33,2,0|25,518,1073742342,-4.0589,15.5375,-1.2180,-4.0589,15.5376,-1.2138,-4.0589,15.5375,-1.2180,577066,4
2,718,0,544148,65,4543828774,76,37,39,3,0|1|25,512,1073742336,43.6060,8.3960,0.5031,43.6060,8.3960,0.4989,43.6060,8.3960,0.5031,544164,7
