# table par type de chunk_00 — HI_1_13_0 6.10026.18411.0
# valeurs u32 a 0x0CB208, une par type ; nom = catalogue statique de l'exe,
# valable SEULEMENT si les deux espaces d'index coincident (non etabli).
type	valeur	nom_catalogue_exe
0	1	?
1	1	?
2	1	?
3	1	?
4	1	?
5	1	?
6	1	?
7	1	?
8	1	?
9	1	?
10	1	?
11	1	?
12	1	?
13	1	?
14	1	?
15	1	?
16	1	?
17	1	?
18	2	?
19	1	?
20	1	?
21	1	?
22	1	?
23	1	?
24	1	?
25	1	?
26	1	?
27	1	?
28	1	?
29	1	?
30	3	?
31	1	?
32	1	?
33	1	?
34	1	?
35	4	?
36	3	?
37	1	?
38	1	?
39	1	?
40	2	?
41	1	?
42	1	?
43	1	?
44	1	?
45	1	?
46	2	?
47	1	?
48	2	?
49	1	?
50	1	Script
51	1	EquipmentSpawnedObject
52	1	EquipmentObjectKnockedBack
53	1	EquipmentKnockbackPlayer
54	1	EquipmentKnockbackRequest
55	1	EquipmentTranslocatorTeleportEffects
56	2	ShowDebugText
57	1	supply_request
58	1	Allegiance
59	1	PlayEffectOnObject
60	2	SetDifficultyAndSkulls
61	6	activate_spartan_ability
62	1	unit_switch_seat
63	1	teleport_effects
64	1	weapon_overheat
65	1	unit_teleported
66	1	synchronized_teleport
67	1	PromptToBootGriefer
68	1	PowerUpApplied
69	2	QueueNextShow
70	1	player_forge_action
71	1	player_forge_user_string_action
72	1	SaveGame
73	1	RevertMap
74	1	motor_system_interruption
75	1	networked_ai_action
76	1	NetworkedActionRequest
77	1	networked_ai_effect
78	1	MusicTrigger
79	1	MusicMarker
80	1	NavpointRequest
81	5	initiate_mobility_action
82	1	equipment_teleport_request
83	5	FOBClientInput
84	1	Dialogue2D
85	1	AIDialog
86	1	CampaignMapStateUpdate
87	1	BetrayResponse
88	1	ai_jump
89	2	RequestChangeFrameConfiguration
90	3	CancelCinematic
91	3	ClientResourcesLoadComplete
92	1	ClientOnlyShowComplete
93	2	CollectibleUnlockEvent
94	1	biped_equipment_activation
95	1	AIJuke
96	1	AILand
97	4	DebugSendCameraPosition
98	1	AISetMotorProgram
99	1	weapon_empty_click
100	1	weapon_effect
101	1	AIRequestIdleTransitionTime
102	1	AIPhase
103	1	unit_exit_vehicle
104	1	LoadForgeObjectGroup
105	1	action_weapon_fire
106	1	request_weapon_fire
107	3	CrewOrderPositionAdd
108	1	CrewSetTargetObject
109	1	SaveToUGCService
110	1	NetworkedCrewEventType
111	1	projectile_object_impact_effect
112	1	projectile_impact_effect
113	1	biped_pickup
114	1	biped_board_vehicle
115	1	projectile_detonate
116	1	player_set_orbiting_camera_target
117	1	player_set_respawn_target_transform
118	1	player_force_base_respawn
119	1	PlayerEmote
120	1	biped_pickup_item_request
121	1	game_engine_request_boot_player
122	1	player_loadout_request
