# film=C:/Users/GUILLA~1/AppData/Local/Temp/claude/C--Users-Guillaume-Downloads-Scripts-LevelUp-go-migration/6ad639a9-c92a-41b8-a18c-f635b71d30d9/scratchpad/gate_p2_work/data/cache/film_chunks/3372e7eb slots_bipede=38
# passe B : records certains=4, signature rep32=410434976 portee par 4
# lectures=42 avec_ref=42 index_hors_roster=0 hors_vie=0 temoin_fantome=0
# vies totales=42 vies nommees directement=38 (90.5 %)
# concordants=32 discordants=0 nouveaux=10
# ref5=0:7 1:1 2:5 3:8 4:2 5:5 6:9 7:5
voie	chunk	pidx	tsUS	frame	slot	gen	ver	rep32	hasRef	ref5	verdict	vie	gtSrc	gtMeth	gtXuid	myXuid
A	3	1288	2591354896	-1	512	1	13	410434976	true	0	concordant	512[0..410]	deduit	pont_par_morts	2535437292820819	2535437292820819
A	3	1290	2591390279	0	513	1	13	410434976	true	1	nouveau	513[0..36]	non_resolu			2535429116401024
A	3	1292	2591390490	0	514	1	13	410434976	true	2	concordant	514[0..664]	deduit	pont_par_morts	2535459590761539	2535459590761539
B	3	1294	2591407415	0	515	1	13	410434976	true	3	concordant	515[0..510]	deduit	pont_par_morts	2533274823110022	2533274823110022
A	3	1294	2591407415	0	515	1	13	410434976	true	3	concordant	515[0..510]	deduit	pont_par_morts	2533274823110022	2533274823110022
A	3	1296	2591423595	0	516	1	13	410434976	true	4	nouveau	516[0..42]	non_resolu			2535433300797518
B	3	1296	2591423595	0	516	1	13	410434976	true	4	nouveau	516[0..42]	non_resolu			2535433300797518
A	3	1298	2591439945	0	517	1	13	410434976	true	5	nouveau	517[0..43]	non_resolu			2535469190789936
A	3	1300	2591456450	0	518	1	13	410434976	true	6	concordant	518[0..323]	deduit	pont_par_morts	2533274858283686	2533274858283686
B	3	1300	2591456450	0	518	1	13	410434976	true	6	concordant	518[0..323]	deduit	pont_par_morts	2533274858283686	2533274858283686
B	3	1302	2591472883	0	519	1	13	410434976	true	7	nouveau	519[0..12]	non_resolu			2535451684015034
A	3	1302	2591472883	0	519	1	13	410434976	true	7	nouveau	519[0..12]	non_resolu			2535451684015034
A	5	1580	2633800208	424	520	1	13	410434976	true	6	concordant	520[424..636]	deduit	pont_par_morts	2533274858283686	2533274858283686
A	5	2190	2638887247	474	521	1	13	410434976	true	5	concordant	521[475..567]	deduit	pont_par_morts	2535469190789936	2535469190789936
A	6	218	2642442280	510	522	1	13	410434976	true	0	concordant	522[510..780]	deduit	pont_par_morts	2535437292820819	2535437292820819
A	6	1428	2652534562	611	523	1	13	410434976	true	3	concordant	523[611..696]	deduit	pont_par_morts	2533274823110022	2533274823110022
A	6	2100	2658139968	667	524	1	13	410434976	true	5	nouveau	524[667..849]	non_resolu			2535469190789936
A	7	530	2665048297	736	525	1	13	410434976	true	6	concordant	525[736..843]	deduit	pont_par_morts	2533274858283686	2533274858283686
A	7	870	2667883076	764	526	1	13	410434976	true	2	concordant	526[765..946]	deduit	pont_par_morts	2535459590761539	2535459590761539
A	7	1258	2671119883	797	527	1	13	410434976	true	3	concordant	527[797..1025]	deduit	pont_par_morts	2533274823110022	2533274823110022
A	7	1398	2672288584	808	528	1	13	410434976	true	7	concordant	528[809..1302]	deduit	pont_par_morts	2535451684015034	2535451684015034
A	7	2262	2679494398	881	529	1	13	410434976	true	0	concordant	529[881..1013]	deduit	pont_par_morts	2535437292820819	2535437292820819
A	8	614	2685751542	943	530	1	13	410434976	true	6	concordant	530[943..1065]	deduit	pont_par_morts	2533274858283686	2533274858283686
A	8	1850	2696061894	1046	531	1	13	410434976	true	2	concordant	531[1046..1200]	deduit	pont_par_morts	2535459590761539	2535459590761539
A	9	264	2702836019	1114	532	1	13	410434976	true	0	concordant	532[1114..1185]	deduit	pont_par_morts	2535437292820819	2535437292820819
A	9	398	2703953047	1125	533	1	13	410434976	true	3	concordant	533[1125..1254]	deduit	pont_par_morts	2533274823110022	2533274823110022
A	9	880	2707973524	1165	534	1	13	410434976	true	6	concordant	534[1165..1303]	deduit	pont_par_morts	2533274858283686	2533274858283686
A	9	2024	2717517401	1261	535	1	13	410434976	true	5	concordant	535[1261..1689]	deduit	pont_par_morts	2535469190789936	2535469190789936
A	9	2320	2719985589	1285	536	1	13	410434976	true	0	concordant	536[1286..1355]	deduit	pont_par_morts	2535437292820819	2535437292820819
A	10	104	2721504074	1301	537	1	13	410434976	true	2	concordant	537[1301..1605]	deduit	pont_par_morts	2535459590761539	2535459590761539
A	10	744	2726842924	1354	538	1	13	410434976	true	3	concordant	538[1354..1446]	deduit	pont_par_morts	2533274823110022	2533274823110022
A	10	1322	2731663486	1402	539	1	13	410434976	true	7	concordant	539[1402..1561]	deduit	pont_par_morts	2535451684015034	2535451684015034
A	10	1338	2731798468	1404	540	1	13	410434976	true	6	concordant	540[1404..1530]	deduit	pont_par_morts	2533274858283686	2533274858283686
A	10	1956	2736952706	1455	541	1	13	410434976	true	0	concordant	541[1455..1582]	deduit	pont_par_morts	2535437292820819	2535437292820819
A	11	650	2746061740	1546	542	1	13	410434976	true	3	concordant	542[1546..1626]	deduit	pont_par_morts	2533274823110022	2533274823110022
A	11	1662	2754503650	1631	543	1	13	410434976	true	6	nouveau	543[1631..1671]	non_resolu			2533274858283686
A	11	2028	2757557125	1661	544	1	13	410434976	true	7	concordant	544[1661..1911]	deduit	fermeture	2535451684015034	2535451684015034
A	11	2278	2759641506	1682	545	1	13	410434976	true	0	concordant	545[1682..1943]	deduit	fermeture	2535437292820819	2535437292820819
A	12	156	2761948286	1705	546	1	13	410434976	true	2	concordant	546[1705..1942]	deduit	fermeture	2535459590761539	2535459590761539
A	12	414	2764099771	1727	547	1	13	410434976	true	3	concordant	547[1727..1815]	deduit	pont_par_morts	2533274823110022	2533274823110022
A	12	1174	2770436191	1790	548	1	13	410434976	true	5	nouveau	548[1790..1943]	non_resolu			2535469190789936
A	12	1286	2771373063	1799	549	1	13	410434976	true	6	nouveau	549[1799..1942]	non_resolu			2533274858283686
