# film=C:/Users/GUILLA~1/AppData/Local/Temp/claude/C--Users-Guillaume-Downloads-Scripts-LevelUp-go-migration/6ad639a9-c92a-41b8-a18c-f635b71d30d9/scratchpad/gate_p2_work/data/cache/film_chunks/64e8adfa slots_bipede=138
# passe B : records certains=8, signature rep32=410434976 portee par 8
# lectures=146 avec_ref=146 index_hors_roster=0 hors_vie=6 temoin_fantome=0
# vies totales=141 vies nommees directement=134 (95.0 %)
# concordants=126 discordants=5 nouveaux=9
# ref5=0:14 1:17 2:22 3:16 4:22 5:12 6:20 7:23
voie	chunk	pidx	tsUS	frame	slot	gen	ver	rep32	hasRef	ref5	verdict	vie	gtSrc	gtMeth	gtXuid	myXuid
A	1	1076	3894761794	-1	512	1	13	410434976	true	0	hors_vie					
A	1	1078	3894779934	-1	513	1	13	410434976	true	1	concordant	513[0..1500]	deduit	pont_par_morts	2533274808613055	2533274808613055
A	1	1080	3894795266	-1	514	1	13	410434976	true	2	hors_vie					
B	1	1082	3894811705	-1	515	1	13	410434976	true	3	concordant	515[0..756]	deduit	pont_par_morts	2535449963449748	2535449963449748
A	1	1082	3894811705	-1	515	1	13	410434976	true	3	concordant	515[0..756]	deduit	pont_par_morts	2535449963449748	2535449963449748
A	1	1084	3894827982	-1	516	1	13	410434976	true	4	concordant	516[4..684]	deduit	pont_par_morts	2535465820713037	2535465820713037
B	1	1086	3894845421	-1	517	1	13	410434976	true	5	hors_vie					
A	1	1086	3894845421	-1	517	1	13	410434976	true	5	hors_vie					
B	1	1088	3894862277	-1	518	1	13	410434976	true	6	concordant	518[4..802]	deduit	pont_par_morts	2533274823110022	2533274823110022
A	1	1088	3894862277	-1	518	1	13	410434976	true	6	concordant	518[4..802]	deduit	pont_par_morts	2533274823110022	2533274823110022
B	1	1090	3894879330	-1	519	1	13	410434976	true	7	hors_vie					
A	1	1090	3894879330	-1	519	1	13	410434976	true	7	hors_vie					
A	3	1926	3941460350	454	520	1	13	410434976	true	5	concordant	520[456..1460]	deduit	pont_par_morts	2535456378021162	2535456378021162
A	4	1040	3954072764	580	521	1	13	410434976	true	7	concordant	521[581..771]	deduit	pont_par_morts	2535413221816250	2535413221816250
