# film=C:/Users/GUILLA~1/AppData/Local/Temp/claude/C--Users-Guillaume-Downloads-Scripts-LevelUp-go-migration/6ad639a9-c92a-41b8-a18c-f635b71d30d9/scratchpad/gate_p2_work/data/cache/film_chunks/bf15f7ab slots_bipede=83
# passe B : records certains=2, signature rep32=410434976 portee par 2
# lectures=85 avec_ref=85 index_hors_roster=0 hors_vie=5 temoin_fantome=0
# vies totales=91 vies nommees directement=79 (86.8 %)
# concordants=72 discordants=0 nouveaux=8
# ref5=0:10 1:9 2:11 3:6 4:12 5:15 6:5 7:17
voie	chunk	pidx	tsUS	frame	slot	gen	ver	rep32	hasRef	ref5	verdict	vie	gtSrc	gtMeth	gtXuid	myXuid
A	2	508	2957174591	-1	512	1	13	410434976	true	0	hors_vie					
A	2	510	2957194768	-1	513	1	13	410434976	true	1	hors_vie					
B	2	512	2957207652	-1	514	1	13	410434976	true	2	nouveau	514[0..1]	non_resolu			2535408981717353
A	2	512	2957207652	-1	514	1	13	410434976	true	2	nouveau	514[0..1]	non_resolu			2535408981717353
A	2	514	2957224104	0	515	1	13	410434976	true	3	hors_vie					
A	2	516	2957240954	0	516	1	13	410434976	true	4	nouveau	516[0..1]	non_resolu			2535425179403277
A	2	518	2957257135	0	517	1	13	410434976	true	5	nouveau	517[0..1]	non_resolu			2535450323793545
B	2	520	2957274685	0	518	1	13	410434976	true	6	hors_vie					
A	2	520	2957274685	0	518	1	13	410434976	true	6	hors_vie					
A	2	522	2957291188	0	519	1	13	410434976	true	7	nouveau	519[0..1]	non_resolu			2533274795950878
A	4	1002	3001306396	440	520	1	13	410434976	true	7	concordant	520[440..672]	deduit	pont_par_morts	2533274795950878	2533274795950878
A	5	2022	3029818277	725	521	1	13	410434976	true	2	concordant	521[726..795]	deduit	pont_par_morts	2535408981717353	2535408981717353
A	5	2344	3032504600	752	522	1	13	410434976	true	7	concordant	522[752..1033]	deduit	pont_par_morts	2533274795950878	2533274795950878
A	6	278	3035273474	780	523	1	13	410434976	true	4	concordant	523[780..836]	deduit	pont_par_morts	2535425179403277	2535425179403277
A	6	1422	3044816855	875	524	1	13	410434976	true	2	concordant	524[876..1225]	deduit	pont_par_morts	2535408981717353	2535408981717353
A	6	1908	3048870899	916	525	1	13	410434976	true	4	concordant	525[916..1298]	deduit	pont_par_morts	2535425179403277	2535425179403277
A	7	1222	3063153510	1059	526	1	13	410434976	true	1	concordant	526[1059..1242]	deduit	pont_par_morts	2533274823110022	2533274823110022
A	7	1506	3065522492	1082	527	1	13	410434976	true	5	concordant	527[1083..1250]	deduit	pont_par_morts	2535450323793545	2535450323793545
A	7	1778	3067791488	1105	528	1	13	410434976	true	3	concordant	528[1105..1300]	deduit	pont_par_morts	2535447949934592	2535447949934592
A	7	1874	3068592960	1113	529	1	13	410434976	true	7	concordant	529[1113..1308]	deduit	pont_par_morts	2533274795950878	2533274795950878
A	7	2280	3071979942	1147	530	1	13	410434976	true	0	concordant	530[1147..1889]	deduit	pont_par_morts	2535469190789936	2535469190789936
A	8	1776	3087779657	1305	531	1	13	410434976	true	2	concordant	531[1305..1473]	deduit	pont_par_morts	2535408981717353	2535408981717353
A	8	1980	3089481251	1322	532	1	13	410434976	true	1	concordant	532[1322..1920]	deduit	pont_par_morts	2533274823110022	2533274823110022
A	8	2084	3090347739	1331	533	1	13	410434976	true	5	concordant	533[1331..1528]	deduit	pont_par_morts	2535450323793545	2535450323793545
A	9	256	3095102967	1378	534	1	13	410434976	true	4	concordant	534[1378..1529]	deduit	pont_par_morts	2535425179403277	2535425179403277
A	9	280	3095302561	1380	535	1	13	410434976	true	3	concordant	535[1380..2864]	deduit	pont_par_morts	2535447949934592	2535447949934592
