# film=C:/Users/GUILLA~1/AppData/Local/Temp/claude/C--Users-Guillaume-Downloads-Scripts-LevelUp-go-migration/6ad639a9-c92a-41b8-a18c-f635b71d30d9/scratchpad/gate_p2_work/data/cache/film_chunks/c75f33b8 slots_bipede=80
# passe B : records certains=9, signature rep32=410434976 portee par 9
# lectures=89 avec_ref=89 index_hors_roster=2 hors_vie=4 temoin_fantome=0
# vies totales=88 vies nommees directement=75 (85.2 %)
# concordants=51 discordants=6 nouveaux=26
# ref5=0:4 1:14 2:11 3:9 4:12 5:9 6:3 7:14 8:2 9:8 10:3
voie	chunk	pidx	tsUS	frame	slot	gen	ver	rep32	hasRef	ref5	verdict	vie	gtSrc	gtMeth	gtXuid	myXuid
A	3	812	9771437968	-1	512	1	13	410434976	true	0	hors_vie					
A	3	814	9771458740	-1	513	1	13	410434976	true	1	nouveau	513[0..1]	non_resolu			2535428057106471
A	3	816	9771472456	0	514	1	13	410434976	true	2	nouveau	514[0..1]	non_resolu			2533274977810162
B	3	818	9771489575	0	515	1	13	410434976	true	3	nouveau	515[0..0]	non_resolu			2535446563676950
A	3	818	9771489575	0	515	1	13	410434976	true	3	nouveau	515[0..0]	non_resolu			2535446563676950
B	3	820	9771506066	0	516	1	13	410434976	true	4	hors_vie					
A	3	820	9771506066	0	516	1	13	410434976	true	4	hors_vie					
A	3	822	9771522000	0	517	1	13	410434976	true	5	hors_vie					
A	3	824	9771539267	0	518	1	13	410434976	true	6	nouveau	518[0..1]	non_resolu			2535425645549407
B	3	824	9771539267	0	518	1	13	410434976	true	6	nouveau	518[0..1]	non_resolu			2535425645549407
B	3	826	9771556462	0	519	1	13	410434976	true	7	nouveau	519[0..2]	non_resolu			2535415634552853
A	3	826	9771556462	0	519	1	13	410434976	true	7	nouveau	519[0..2]	non_resolu			2535415634552853
A	5	1500	9817184779	457	520	1	13	410434976	true	1	nouveau	520[457..705]	non_resolu			2535428057106471
A	5	1504	9817220078	457	521	1	13	410434976	true	2	concordant	521[457..589]	deduit	pont_par_morts	2533274977810162	2533274977810162
