index	pres_sans	pres_avec	dern_sans	dern_avec	tem_sans	tem_avec
0	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
1	0.9934	1.0000	0.8571	0.6847	0.9920	0.9901
2	0.0199	0.0000	0.0000	0.0000	0.0480	0.0099
3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	0.2053	0.0583	0.0272	0.0000	0.0880	0.0792
5	0.5298	0.1667	0.4762	0.1351	0.3120	0.2079
6	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
11	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
12	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
13	0.0066	0.0000	0.0000	0.0000	0.0000	0.0000
14	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
15	0.0066	0.0000	0.0000	0.0000	0.1040	0.0594
16	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
17	0.0199	0.0000	0.0000	0.0000	0.0160	0.0198
18	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
19	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
20	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
21	1.0000	1.0000	0.8435	0.8378	0.9920	0.9505
22	0.0464	0.0000	0.0000	0.0000	0.0880	0.0594
23	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
24	0.0331	0.0083	0.0000	0.0000	0.0080	0.0000
25	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
26	0.0132	0.0000	0.0000	0.0000	0.0640	0.0594
27	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
28	0.4371	0.2417	0.0000	0.0000	0.4640	0.4653
29	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
30	0.4305	0.3833	0.0000	0.0000	0.2320	0.1485
31	0.0596	0.0583	0.0000	0.0000	0.1120	0.0198
32	0.0066	0.0000	0.0068	0.0000	0.0080	0.0000
33	0.1656	0.1000	0.0000	0.0000	0.1200	0.1089
34	0.0464	0.0333	0.0000	0.0000	0.0320	0.0198
35	0.0000	0.0000	0.0000	0.0000	0.0080	0.0000
36	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
37	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
38	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
39	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
40	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
41	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
42	0.1722	0.0750	0.0000	0.0000	0.1760	0.0693
43	0.0000	0.0083	0.0000	0.0000	0.0160	0.0000
44	0.0066	0.0000	0.0000	0.0000	0.0000	0.0099
45	0.0066	0.0000	0.0000	0.0000	0.0080	0.0099
46	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
47	0.0265	0.0000	0.0000	0.0000	0.0720	0.0198
48	0.0199	0.0000	0.0000	0.0000	0.0160	0.0198
49	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
50	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
51	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
52	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
53	0.0132	0.0000	0.0000	0.0000	0.0080	0.0099
54	0.0265	0.0000	0.0000	0.0000	0.0480	0.0099
55	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
56	0.0132	0.0083	0.0000	0.0000	0.0800	0.0693
57	0.4238	0.2333	0.0000	0.0000	0.4720	0.4653
58	0.0066	0.0000	0.0000	0.0000	0.0000	0.0000
59	0.4238	0.2333	0.0000	0.0000	0.4720	0.4653
60	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
61	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
62	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
63	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
