film	no_scope	counter_snipe	snipe	instants_no_scope_ms	instants_counter_ms
000d5950	2	0	4	52240,310142	-
00162144	0	1	4	-	46338
00502e52	5	0	1	374764,394367,472262,502711,518609	-
0076ebdc	4	0	2	137121,165651,265300,463201	-
00ba2e1c	0	1	7	-	251816
010d1f7b	2	0	0	69173,415688	-
01b972df	3	0	0	223707,321578,329721	-
01e1f945	1	0	8	292302	-
0215fe6b	1	0	2	677493	-
02205ed3	3	0	1	87291,288659,343837	-
022d2e0e	4	0	0	412866,413901,419274,461766	-
02d39fa0	6	1	3	94381,140978,146817,480775,509986,528472	173261
0306cd31	1	0	1	439802	-
0342332e	7	0	1	106437,298564,467766,519789,577325,595079,597347	-
036c102a	1	0	6	96247	-
0393fd30	3	0	4	75015,76900,254534	-
03af54c3	1	0	8	446268	-
03ccbe42	0	1	10	-	209625
03e3f9ea	3	1	1	186852,305990,382835	396833
040c5e7e	1	0	0	128201	-
0458aba1	3	0	1	302396,348192,444689	-
04d05635	2	0	2	431537,435424	-
04f7d9d5	3	0	2	248784,342887,639481	-
0506e94b	2	0	6	328129,586064	-
059b721f	1	1	0	227916	86845
0674b220	2	0	3	130393,465695	-
06dfe6d9	11	2	11	320493,324230,344500,345967,606344,628490,663692,685588,722312,734490,767989	133379,687530
0727867d	2	0	2	403698,628700	-
0762ae7c	2	0	1	469512,533276	-
07798704	1	0	2	160115	-
0797ce72	3	0	0	32986,253079,333793	-
07aa428d	2	0	0	61633,419176	-
084a804d	15	0	10	69336,94761,238277,282220,316556,326998,337611,503441,528667,617292,819430,911924,932111,965311,1008054	-
0862dce4	0	1	12	-	456621
0866b278	1	0	0	82538	-
086713e9	2	0	3	46751,88792	-
087474d9	1	0	0	71335	-
089267e8	1	0	1	547947	-
08964aeb	2	0	0	179734,374463	-
0962bb5b	1	0	0	467643	-
09922983	3	0	1	144032,180035,216789	-
0aa83998	1	0	2	82590	-
0ae3b0a1	3	0	2	262057,481995,547061	-
0ba4aa2b	2	2	5	299609,447892	64234,90546
0beaa1ca	0	2	5	-	73663,233740
0c0b1e2a	2	0	1	379966,430913	-
0c0fafd8	3	0	2	78260,87603,88903	-
0d0bc019	3	0	6	140491,141491,219504	-
0d1dddfb	3	0	0	147709,167729,461547	-
0d6f6eaa	5	0	0	223178,231869,252558,266272,363537	-
0e64e07b	1	0	0	98718	-
0e697aca	1	0	0	379739	-
0e809d10	1	0	0	398648	-
0f34365a	1	0	1	302430	-
0f645324	2	0	2	165538,228218	-
1053f38c	2	0	1	340127,353874	-
108a4e4c	3	1	8	149844,196656,320450	290418
109fb6ac	2	0	0	80546,229997	-
10ed320d	3	0	0	130556,475204,509440	-
111fa685	3	0	7	280826,321869,389906	-
11258ba1	5	1	2	129572,160856,267962,313124,498358	253713
113195e6	1	0	0	74814	-
1141896d	1	0	0	443267	-
11de8353	2	0	3	356322,376780	-
12123df0	2	0	2	96199,157494	-
121be2d6	1	0	0	123151	-
12999e9f	1	0	1	408052	-
13b00e35	1	0	0	118089	-
13bdd46d	1	0	3	135280	-
147ffd4d	2	0	2	77229,411207	-
1488cbe6	5	0	7	108776,227965,243897,595055,614793	-
