bit	zoome_n	zoome_taux	nonzoome_n	nonzoome_taux	fond_taux
0	134	1.0000	780	1.0000	1.0000
1	134	1.0000	780	1.0000	1.0000
2	0	0.0000	0	0.0000	0.0000
3	134	1.0000	780	1.0000	1.0000
4	0	0.0000	0	0.0000	0.0000
5	0	0.0000	0	0.0000	0.0000
6	134	1.0000	780	1.0000	1.0000
7	0	0.0000	0	0.0000	0.0000
8	0	0.0000	0	0.0000	0.0000
9	134	1.0000	780	1.0000	1.0000
10	134	1.0000	780	1.0000	1.0000
11	1	0.0075	0	0.0000	0.0042
12	17	0.1269	11	0.0141	0.0042
13	49	0.3657	232	0.2974	0.3110
14	47	0.3507	279	0.3577	0.3572
15	52	0.3881	347	0.4449	0.4402
16	61	0.4552	385	0.4936	0.4622
17	69	0.5149	394	0.5051	0.4916
18	71	0.5299	402	0.5154	0.5055
19	73	0.5448	379	0.4859	0.5042
20	0	0.0000	0	0.0000	0.0000
21	134	1.0000	780	1.0000	1.0000
22	0	0.0000	0	0.0000	0.0000
23	0	0.0000	0	0.0000	0.0000
24	0	0.0000	1	0.0013	0.0036
25	1	0.0075	1	0.0013	0.0123
26	21	0.1567	242	0.3103	0.3831
27	45	0.3358	321	0.4115	0.4247
28	55	0.4104	326	0.4179	0.4276
29	63	0.4701	362	0.4641	0.4671
30	64	0.4776	393	0.5038	0.4567
31	66	0.4925	407	0.5218	0.4435
32	65	0.4851	380	0.4872	0.4616
33	9	0.0672	175	0.2244	0.3039
34	1	0.0075	1	0.0013	0.0123
35	22	0.1642	12	0.0154	0.0026
36	17	0.1269	9	0.0115	0.0016
37	61	0.4552	356	0.4564	0.4997
38	59	0.4403	385	0.4936	0.5087
39	74	0.5522	392	0.5026	0.4861
40	0	0.0000	1	0.0013	0.0052
41	0	0.0000	0	0.0000	0.0061
42	12	0.0896	316	0.4051	0.5123
43	134	1.0000	779	0.9987	0.9961
44	3	0.0224	81	0.1038	0.4406
45	3	0.0224	64	0.0821	0.4674
46	1	0.0075	89	0.1141	0.6079
47	1	0.0075	69	0.0885	0.4063
48	130	0.9701	692	0.8872	0.5362
49	1	0.0075	161	0.2064	0.3559
50	134	1.0000	588	0.7538	0.4528
51	5	0.0373	165	0.2115	0.4935
52	2	0.0149	59	0.0756	0.3630
53	2	0.0149	46	0.0590	0.3007
54	1	0.0075	144	0.1846	0.2045
55	133	0.9925	616	0.7897	0.5210
56	130	0.9701	615	0.7885	0.5801
57	3	0.0224	37	0.0474	0.1938
58	2	0.0149	35	0.0449	0.1815
59	131	0.9776	626	0.8026	0.5326
60	130	0.9701	704	0.9026	0.4612
61	1	0.0075	127	0.1628	0.1483
62	3	0.0224	49	0.0628	0.3411
63	130	0.9701	620	0.7949	0.5475
64	3	0.0224	77	0.0987	0.4803
65	2	0.0149	186	0.2385	0.6395
66	130	0.9701	571	0.7321	0.1941
67	3	0.0224	104	0.1333	0.6101
68	132	0.9851	605	0.7756	0.4629
69	2	0.0149	184	0.2359	0.5300
70	130	0.9701	721	0.9244	0.4981
71	132	0.9851	591	0.7577	0.4341
72	131	0.9776	729	0.9346	0.6382
73	131	0.9776	672	0.8615	0.9131
74	2	0.0149	68	0.0872	0.3747
75	2	0.0149	199	0.2551	0.7238
76	0	0.0000	1	0.0013	0.0068
77	133	0.9925	780	1.0000	0.9958
78	0	0.0000	1	0.0013	0.0068
79	1	0.0075	1	0.0013	0.0123
80	1	0.0075	1	0.0013	0.0123
81	0	0.0000	1	0.0013	0.0068
82	132	0.9851	779	0.9987	0.9835
83	1	0.0075	2	0.0026	0.0191
84	132	0.9851	778	0.9974	0.9767
85	132	0.9851	778	0.9974	0.9767
86	1	0.0075	2	0.0026	0.0191
87	0	0.0000	0	0.0000	0.0000
88	133	0.9925	779	0.9987	0.9890
89	1	0.0075	1	0.0013	0.0123
90	0	0.0000	1	0.0013	0.0068
91	132	0.9851	779	0.9987	0.9835
92	1	0.0075	1	0.0013	0.0123
93	133	0.9925	779	0.9987	0.9890
94	133	0.9925	780	1.0000	0.9958
95	1	0.0075	1	0.0013	0.0123
96	0	0.0000	1	0.0013	0.0068
97	132	0.9851	779	0.9987	0.9835
98	133	0.9925	779	0.9987	0.9890
99	133	0.9925	779	0.9987	0.9890
100	133	0.9925	779	0.9987	0.9890
101	1	0.0075	1	0.0013	0.0123
102	1	0.0075	1	0.0013	0.0123
103	132	0.9851	778	0.9974	0.9767
104	133	0.9925	779	0.9987	0.9929
105	132	0.9851	778	0.9974	0.9767
106	132	0.9851	779	0.9987	0.9835
107	133	0.9925	780	1.0000	0.9945
108	0	0.0000	7	0.0090	0.0297
109	130	0.9701	760	0.9744	0.7758
110	51	0.3806	173	0.2218	0.7413
111	131	0.9776	755	0.9679	0.7884
112	2	0.0149	3	0.0038	0.0142
