x,y,z,motif
-7.75,-27.75,3.15,hors_arene
-7.75,-27.75,5.35,hors_arene
-7.25,-27.75,3.15,hors_arene
-7.25,-27.75,5.35,hors_arene
-6.75,-27.75,3.15,hors_arene
-6.75,-27.75,5.35,hors_arene
-6.25,-27.75,3.15,hors_arene
-6.25,-27.75,5.35,hors_arene
-5.75,-27.75,3.15,hors_arene
-5.75,-27.75,5.35,hors_arene
-5.25,-27.75,3.15,hors_arene
-5.25,-27.75,5.35,hors_arene
-4.75,-27.75,3.15,hors_arene
-4.75,-27.75,5.35,hors_arene
-4.25,-27.75,3.15,hors_arene
-4.25,-27.75,5.35,hors_arene
-3.75,-27.75,3.15,hors_arene
-3.75,-27.75,5.35,hors_arene
-3.25,-27.75,3.15,hors_arene
-3.25,-27.75,5.35,hors_arene
-2.75,-27.75,3.15,hors_arene
-2.75,-27.75,5.35,hors_arene
-2.25,-27.75,3.15,hors_arene
-2.25,-27.75,5.35,hors_arene
-1.75,-27.75,3.15,hors_arene
-1.75,-27.75,5.35,hors_arene
-1.25,-27.75,3.15,hors_arene
-1.25,-27.75,5.35,hors_arene
-0.75,-27.75,3.15,hors_arene
-0.75,-27.75,5.35,hors_arene
-0.25,-27.75,3.15,hors_arene
-0.25,-27.75,5.35,hors_arene
0.25,-27.75,3.17,sous_dalle
0.25,-27.75,3.56,hors_arene
0.25,-27.75,5.35,hors_arene
0.75,-27.75,3.15,hors_arene
0.75,-27.75,5.35,hors_arene
1.25,-27.75,3.15,hors_arene
1.25,-27.75,5.35,hors_arene
1.75,-27.75,3.15,hors_arene
1.75,-27.75,5.35,hors_arene
2.25,-27.75,3.15,hors_arene
2.25,-27.75,5.35,hors_arene
2.75,-27.75,3.15,hors_arene
2.75,-27.75,5.35,hors_arene
3.25,-27.75,3.15,hors_arene
3.25,-27.75,5.35,hors_arene
3.75,-27.75,3.15,hors_arene
3.75,-27.75,5.35,hors_arene
4.25,-27.75,3.15,hors_arene
4.25,-27.75,5.35,hors_arene
4.75,-27.75,3.15,hors_arene
4.75,-27.75,5.35,hors_arene
5.25,-27.75,3.15,hors_arene
5.25,-27.75,5.35,hors_arene
5.75,-27.75,3.15,hors_arene
5.75,-27.75,5.35,hors_arene
6.25,-27.75,3.15,hors_arene
6.25,-27.75,5.35,hors_arene
6.75,-27.75,3.15,hors_arene
6.75,-27.75,5.35,hors_arene
7.25,-27.75,3.15,hors_arene
7.25,-27.75,5.35,hors_arene
7.75,-27.75,3.15,hauteur_libre
7.75,-27.75,5.35,hors_arene
-7.75,-27.25,3.15,hors_arene
-7.75,-27.25,5.35,hors_arene
-7.25,-27.25,3.15,hors_arene
-7.25,-27.25,5.35,hors_arene
-6.75,-27.25,3.15,hors_arene
-6.75,-27.25,5.35,hors_arene
-6.25,-27.25,3.15,hors_arene
-6.25,-27.25,5.35,hors_arene
-5.75,-27.25,3.15,hors_arene
-5.75,-27.25,5.35,hors_arene
-5.25,-27.25,3.15,hors_arene
-5.25,-27.25,5.35,hors_arene
-4.75,-27.25,3.15,hors_arene
-4.75,-27.25,5.35,hors_arene
-4.25,-27.25,3.15,hors_arene
-4.25,-27.25,5.35,hors_arene
-3.75,-27.25,3.15,hors_arene
-3.75,-27.25,5.35,hors_arene
-3.25,-27.25,3.15,hors_arene
-3.25,-27.25,5.35,hors_arene
-2.75,-27.25,3.15,hors_arene
-2.75,-27.25,5.35,hors_arene
-2.25,-27.25,3.15,hors_arene
-2.25,-27.25,5.35,hors_arene
-1.75,-27.25,3.15,hors_arene
-1.75,-27.25,5.35,hors_arene
-1.25,-27.25,3.15,hors_arene
-1.25,-27.25,5.35,hors_arene
-0.75,-27.25,3.15,hors_arene
-0.75,-27.25,5.35,hors_arene
-0.25,-27.25,3.15,hors_arene
-0.25,-27.25,5.35,hors_arene
0.25,-27.25,3.15,hors_arene
0.25,-27.25,5.35,hors_arene
