comp_de,comp_vers,x1,y1,z1,x2,y2,z2,poitrine_libre,obst_poitrine_x,obst_poitrine_y,obst_poitrine_z,saut_libre,obst_saut_x,obst_saut_y,obst_saut_z
0,2,-1.25,-13.25,-2.20,-0.25,-12.25,-2.20,false,-0.38,-12.38,-0.94,false,-1.12,-13.12,-0.19
0,2,-1.25,-13.25,-0.15,-0.25,-12.25,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,-0.75,-13.25,-2.20,-0.25,-12.25,-2.20,false,-0.38,-12.38,-0.94,false,-0.62,-13.12,-0.19
0,2,-0.75,-13.25,-0.15,-0.25,-12.25,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,-0.25,-13.25,-2.20,-0.25,-12.25,-2.20,false,-0.12,-12.38,-0.94,false,-0.12,-13.12,-0.19
0,2,-0.25,-13.25,-0.15,-0.25,-12.25,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,0.25,-13.25,-2.20,-0.25,-12.25,-2.20,false,-0.12,-12.38,-0.94,false,0.38,-13.12,-0.19
0,2,0.25,-13.25,-0.15,-0.25,-12.25,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,0.75,-13.25,-2.20,-0.25,-12.25,-2.20,false,-0.12,-12.38,-0.94,false,0.88,-13.12,-0.19
0,2,0.75,-13.25,-0.15,-0.25,-12.25,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,-1.25,-12.75,-2.20,-0.25,-12.25,-2.20,false,-0.38,-12.38,-0.94,false,-1.12,-12.62,-0.19
0,2,-1.25,-12.75,-2.20,-0.25,-11.75,-2.20,false,-0.38,-12.12,-0.94,false,-1.12,-12.62,-0.19
0,2,-1.25,-12.75,-0.15,-0.25,-12.25,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,-1.25,-12.75,-0.15,-0.25,-11.75,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,-0.75,-12.75,-2.20,-0.25,-12.25,-2.20,false,-0.38,-12.38,-0.94,false,-0.62,-12.62,-0.19
0,2,-0.75,-12.75,-2.20,-0.25,-11.75,-2.20,false,-0.38,-12.38,-0.94,false,-0.62,-12.62,-0.19
0,2,-0.75,-12.75,-0.15,-0.25,-12.25,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,-0.75,-12.75,-0.15,-0.25,-11.75,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,-0.25,-12.75,-2.20,-0.25,-12.25,-2.20,false,-0.12,-12.38,-0.94,false,-0.12,-12.62,-0.19
0,2,-0.25,-12.75,-2.20,-0.25,-11.75,-2.20,false,-0.12,-12.38,-0.94,false,-0.12,-12.62,-0.19
0,2,-0.25,-12.75,-0.15,-0.25,-12.25,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,-0.25,-12.75,-0.15,-0.25,-11.75,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,0.25,-12.75,-2.20,-0.25,-12.25,-2.20,false,-0.12,-12.38,-0.94,false,0.38,-12.62,-0.19
0,2,0.25,-12.75,-2.20,-0.25,-11.75,-2.20,false,0.12,-12.38,-0.94,false,0.38,-12.62,-0.19
0,2,0.25,-12.75,-0.15,-0.25,-12.25,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,0.25,-12.75,-0.15,-0.25,-11.75,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,0.75,-12.75,-2.20,-0.25,-12.25,-2.20,false,0.12,-12.38,-0.94,false,0.88,-12.62,-0.19
0,2,0.75,-12.75,-2.20,-0.25,-11.75,-2.20,false,0.38,-12.38,-0.94,false,0.88,-12.62,-0.19
0,2,0.75,-12.75,-0.15,-0.25,-12.25,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,0.75,-12.75,-0.15,-0.25,-11.75,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,-1.25,-12.25,-2.20,-0.25,-12.25,-2.20,false,-0.38,-12.12,-0.94,false,-1.12,-12.12,-0.19
0,2,-1.25,-12.25,-2.20,-0.25,-11.75,-2.20,false,-0.38,-11.88,-0.94,false,-1.12,-12.12,-0.19
0,2,-1.25,-12.25,-2.20,-0.25,-11.25,-2.20,false,-0.38,-11.62,-0.94,false,-1.12,-12.12,-0.19
0,2,-1.25,-12.25,-0.15,-0.25,-12.25,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,-1.25,-12.25,-0.15,-0.25,-11.75,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,-1.25,-12.25,-0.15,-0.25,-11.25,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,-0.75,-12.25,-2.20,-0.25,-12.25,-2.20,false,-0.38,-12.12,-0.94,false,-0.62,-12.12,-0.19
0,2,-0.75,-12.25,-2.20,-0.25,-11.75,-2.20,false,-0.38,-12.12,-0.94,false,-0.62,-12.12,-0.19
0,2,-0.75,-12.25,-2.20,-0.25,-11.25,-2.20,false,-0.38,-11.88,-0.94,false,-0.62,-12.12,-0.19
0,2,-0.75,-12.25,-0.15,-0.25,-12.25,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,-0.75,-12.25,-0.15,-0.25,-11.75,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,-0.75,-12.25,-0.15,-0.25,-11.25,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,-0.25,-12.25,-0.15,-0.25,-11.75,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,-0.25,-12.25,-0.15,-0.25,-11.25,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,0.25,-12.25,-0.15,-0.25,-12.25,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,0.25,-12.25,-0.15,-0.25,-11.75,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,0.25,-12.25,-0.15,-0.25,-11.25,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,0.75,-12.25,-2.20,-0.25,-12.25,-2.20,false,0.38,-12.12,-0.94,false,0.88,-12.12,-0.19
0,2,0.75,-12.25,-2.20,-0.25,-11.75,-2.20,false,0.38,-12.12,-0.94,false,0.88,-12.12,-0.19
0,2,0.75,-12.25,-2.20,-0.25,-11.25,-2.20,false,0.38,-12.12,-0.94,false,0.88,-12.12,-0.19
0,2,0.75,-12.25,-0.15,-0.25,-12.25,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,0.75,-12.25,-0.15,-0.25,-11.75,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,0.75,-12.25,-0.15,-0.25,-11.25,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,-1.25,-11.75,-2.20,-0.25,-12.25,-2.20,false,-0.38,-12.12,-0.94,false,-1.12,-11.62,-0.19
0,2,-1.25,-11.75,-2.20,-0.25,-11.75,-2.20,false,-0.38,-11.62,-0.94,false,-1.12,-11.62,-0.19
0,2,-1.25,-11.75,-2.20,-0.25,-11.25,-2.20,false,-0.38,-11.38,-0.94,false,-1.12,-11.62,-0.19
0,2,-1.25,-11.75,-0.15,-0.25,-12.25,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,-1.25,-11.75,-0.15,-0.25,-11.75,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,-1.25,-11.75,-0.15,-0.25,-11.25,-2.20,true,0.00,0.00,0.00,true,0.00,0.00,0.00
0,2,-0.75,-11.75,-2.20,-0.25,-12.25,-2.20,false,-0.38,-11.88,-0.94,false,-0.62,-11.62,-0.19
