x,y,z,motif
-5.25,-35.25,8.90,hauteur_libre
-5.25,-35.25,9.97,sous_dalle
-4.75,-35.25,8.90,hauteur_libre
-4.75,-35.25,9.97,sous_dalle
-4.25,-35.25,8.90,hauteur_libre
-4.25,-35.25,9.97,sous_dalle
-3.75,-35.25,8.90,hauteur_libre
-3.75,-35.25,9.97,sous_dalle
-3.25,-35.25,8.90,hauteur_libre
-3.25,-35.25,9.97,sous_dalle
-2.75,-35.25,8.90,hauteur_libre
-2.75,-35.25,9.97,sous_dalle
-2.25,-35.25,6.90,hauteur_libre
-2.25,-35.25,8.90,hauteur_libre
-2.25,-35.25,9.97,sous_dalle
-2.25,-35.25,10.28,hauteur_libre
-2.25,-35.25,12.04,hauteur_libre
-1.75,-35.25,8.90,hauteur_libre
-1.75,-35.25,9.97,sous_dalle
-1.25,-35.25,8.90,hauteur_libre
-1.25,-35.25,9.97,sous_dalle
-0.75,-35.25,8.90,hauteur_libre
-0.75,-35.25,9.97,sous_dalle
-0.25,-35.25,8.90,hauteur_libre
-0.25,-35.25,9.97,sous_dalle
0.25,-35.25,8.90,hauteur_libre
0.25,-35.25,9.97,sous_dalle
0.75,-35.25,8.90,hauteur_libre
0.75,-35.25,9.97,sous_dalle
1.25,-35.25,8.90,hauteur_libre
1.25,-35.25,9.97,sous_dalle
1.75,-35.25,8.90,hauteur_libre
1.75,-35.25,9.97,sous_dalle
2.25,-35.25,8.90,hauteur_libre
2.25,-35.25,9.97,sous_dalle
2.75,-35.25,8.90,hauteur_libre
2.75,-35.25,9.97,sous_dalle
3.25,-35.25,8.90,hauteur_libre
3.25,-35.25,9.97,sous_dalle
3.75,-35.25,8.90,hauteur_libre
3.75,-35.25,9.97,sous_dalle
4.25,-35.25,8.90,hauteur_libre
4.25,-35.25,9.97,sous_dalle
4.75,-35.25,8.90,hauteur_libre
4.75,-35.25,9.97,sous_dalle
5.25,-35.25,8.90,hauteur_libre
5.25,-35.25,9.97,sous_dalle
5.75,-35.25,8.90,hauteur_libre
5.75,-35.25,9.97,sous_dalle
6.25,-35.25,8.90,hauteur_libre
6.25,-35.25,9.97,sous_dalle
6.75,-35.25,8.90,hauteur_libre
6.75,-35.25,9.97,sous_dalle
7.25,-35.25,8.90,hauteur_libre
7.25,-35.25,9.97,sous_dalle
7.75,-35.25,8.90,hauteur_libre
7.75,-35.25,9.97,sous_dalle
8.25,-35.25,8.90,hauteur_libre
8.25,-35.25,9.97,sous_dalle
8.75,-35.25,8.90,hauteur_libre
8.75,-35.25,9.97,sous_dalle
