carte,col,lig,niveau,composante,x,y,z,h_m,v,e,nb_visibles,d_arme_forte_m,d_arme_m,d_objectif_m,d_couvert_m,r_prox,m_prox,h_n,v_n,e_n,r_n,m_n,score
live fire,6,12,0,0,3.25,6.25,0.00,-1.663,0.064,0.361,49,25.96,20.94,25.00,2.00,0.000,0.833,0.000,0.258,0.400,0.000,0.870,0.122
live fire,7,12,0,0,3.75,6.25,0.00,-1.527,0.073,0.361,56,25.77,20.86,24.92,2.12,0.000,0.823,0.014,0.296,0.400,0.000,0.859,0.132
live fire,8,12,0,0,4.25,6.25,1.49,0.094,0.157,0.444,120,23.40,18.49,22.55,1.57,0.000,0.869,0.574,0.640,0.500,0.000,0.907,0.361
live fire,9,12,0,0,4.75,6.25,1.50,0.261,0.161,0.472,123,23.28,18.60,22.67,1.80,0.000,0.850,0.632,0.656,0.533,0.000,0.887,0.374
live fire,10,12,0,0,5.25,6.25,1.49,0.408,0.166,0.472,127,23.16,18.81,22.68,1.80,0.000,0.850,0.683,0.677,0.533,0.000,0.887,0.393
live fire,11,12,0,0,5.75,6.25,1.58,0.644,0.168,0.472,128,23.15,19.01,22.66,1.73,0.000,0.856,0.764,0.683,0.533,0.000,0.893,0.420
live fire,12,12,0,0,6.25,6.25,0.00,-0.855,0.084,0.333,64,25.29,21.15,24.80,5.59,0.000,0.534,0.246,0.339,0.367,0.000,0.557,0.170
live fire,13,12,0,0,6.75,6.25,0.00,-0.800,0.116,0.444,89,25.04,20.90,24.55,1.62,0.000,0.865,0.265,0.473,0.500,0.000,0.903,0.235
live fire,14,12,0,0,7.25,6.25,0.00,-0.720,0.124,0.500,95,24.92,20.78,24.44,1.41,0.000,0.882,0.293,0.505,0.567,0.000,0.921,0.242
live fire,15,12,0,0,7.75,6.25,0.00,-0.639,0.128,0.500,98,24.81,20.67,24.32,1.83,0.000,0.848,0.321,0.522,0.567,0.000,0.885,0.248
live fire,16,12,0,0,8.25,6.25,0.00,-0.553,0.130,0.500,99,24.69,20.55,24.20,2.24,0.000,0.814,0.351,0.527,0.567,0.000,0.849,0.253
live fire,17,12,0,0,8.75,6.25,0.00,-0.508,0.127,0.500,97,24.81,20.67,24.32,2.94,0.000,0.755,0.366,0.516,0.567,0.000,0.788,0.246
live fire,18,12,0,0,9.25,6.25,0.00,-0.478,0.126,0.500,96,24.92,20.78,24.44,3.35,0.000,0.720,0.376,0.511,0.567,0.000,0.752,0.243
live fire,19,12,0,0,9.75,6.25,0.00,-0.465,0.127,0.444,97,25.22,21.08,24.73,3.85,0.000,0.679,0.381,0.516,0.500,0.000,0.708,0.249
live fire,20,12,0,0,10.25,6.25,0.00,-0.410,0.126,0.444,96,25.72,21.58,25.23,4.35,0.000,0.637,0.400,0.511,0.500,0.000,0.665,0.247
live fire,21,12,0,0,10.75,6.25,0.00,-0.345,0.126,0.417,96,25.81,21.67,25.32,4.85,0.000,0.595,0.422,0.511,0.467,0.000,0.621,0.252
live fire,22,12,0,0,11.25,6.25,0.00,-0.282,0.120,0.333,92,25.93,21.79,25.44,5.15,0.000,0.571,0.444,0.489,0.367,0.000,0.596,0.265
live fire,23,12,0,0,11.75,6.25,2.06,1.857,0.203,0.417,155,27.17,23.03,26.68,6.36,0.000,0.470,1.000,0.828,0.467,0.000,0.490,0.469
live fire,24,12,0,0,12.25,6.25,2.06,1.885,0.215,0.389,164,27.27,23.13,26.78,5.36,0.000,0.553,1.000,0.876,0.433,0.000,0.577,0.497
live fire,27,12,0,0,13.75,6.25,-1.00,-1.212,0.093,0.222,71,15.29,15.29,20.90,12.00,0.236,0.000,0.123,0.376,0.233,0.248,0.000,0.127
live fire,53,12,0,0,26.75,6.25,-0.62,0.000,0.177,0.333,135,43.55,43.55,45.55,12.00,0.000,0.000,0.542,0.720,0.367,0.000,0.000,0.252
live fire,54,12,0,0,27.25,6.25,-0.62,0.000,0.178,0.333,136,43.26,43.26,45.25,12.00,0.000,0.000,0.542,0.726,0.367,0.000,0.000,0.253
live fire,55,12,0,0,27.75,6.25,-0.62,0.000,0.182,0.306,139,42.96,42.96,44.96,12.00,0.000,0.000,0.542,0.742,0.333,0.000,0.000,0.261
live fire,56,12,0,0,28.25,6.25,-0.62,0.000,0.179,0.306,137,42.66,42.66,44.66,12.00,0.000,0.000,0.542,0.731,0.333,0.000,0.000,0.259
live fire,57,12,0,0,28.75,6.25,-0.62,0.000,0.185,0.333,141,42.37,42.37,44.37,12.00,0.000,0.000,0.542,0.753,0.367,0.000,0.000,0.258
live fire,6,13,0,0,3.25,6.75,0.00,-1.717,0.062,0.472,47,25.55,20.44,24.50,1.50,0.000,0.875,0.000,0.247,0.533,0.000,0.913,0.106
live fire,7,13,0,0,3.75,6.75,0.00,-1.596,0.069,0.417,53,25.34,20.36,24.42,1.62,0.000,0.865,0.000,0.280,0.467,0.000,0.903,0.121
live fire,8,13,0,0,4.25,6.75,1.49,0.035,0.157,0.556,120,22.90,17.99,22.05,1.57,0.000,0.869,0.554,0.640,0.633,0.000,0.907,0.335
live fire,9,13,0,0,4.75,6.75,1.49,0.176,0.161,0.611,123,22.78,18.10,22.17,1.79,0.000,0.851,0.602,0.656,0.700,0.000,0.887,0.340
live fire,10,13,0,0,5.25,6.75,1.49,0.334,0.164,0.639,125,22.66,18.40,22.18,1.79,0.000,0.851,0.657,0.667,0.733,0.000,0.887,0.354
live fire,11,13,0,0,5.75,6.75,1.64,0.622,0.168,0.611,128,22.65,18.51,22.16,1.71,0.000,0.857,0.756,0.683,0.700,0.000,0.895,0.393
live fire,12,13,0,0,6.25,6.75,0.00,-0.933,0.081,0.444,62,24.79,20.65,24.30,5.58,0.000,0.535,0.219,0.328,0.500,0.000,0.558,0.140
live fire,13,13,0,0,6.75,6.75,0.00,-0.866,0.115,0.583,88,24.63,20.49,24.14,1.12,0.000,0.907,0.242,0.468,0.667,0.000,0.946,0.208
live fire,14,13,0,0,7.25,6.75,0.00,-0.791,0.126,0.694,96,24.42,20.28,23.94,1.41,0.000,0.882,0.268,0.511,0.800,0.000,0.921,0.201
live fire,15,13,0,0,7.75,6.75,0.00,-0.694,0.128,0.667,98,24.31,20.17,23.82,1.62,0.000,0.865,0.302,0.522,0.767,0.000,0.903,0.215
live fire,16,13,0,0,8.25,6.75,0.00,-0.589,0.128,0.694,98,24.19,20.05,23.70,2.24,0.000,0.814,0.338,0.522,0.800,0.000,0.849,0.213
live fire,17,13,0,0,8.75,6.75,0.00,-0.513,0.128,0.667,98,24.31,20.17,23.82,2.74,0.000,0.772,0.364,0.522,0.767,0.000,0.806,0.219
live fire,21,13,0,0,10.75,6.75,0.00,-0.340,0.127,0.556,97,25.31,21.17,24.82,4.97,0.000,0.586,0.424,0.516,0.633,0.000,0.611,0.227
live fire,22,13,0,0,11.25,6.75,0.00,-0.283,0.124,0.500,95,25.51,21.38,25.03,4.74,0.000,0.605,0.444,0.505,0.567,0.000,0.631,0.244
live fire,23,13,0,0,11.75,6.75,1.69,1.494,0.191,0.528,146,26.55,22.41,26.06,5.94,0.000,0.505,1.000,0.780,0.600,0.000,0.527,0.445
live fire,24,13,0,0,12.25,6.75,1.69,1.524,0.207,0.444,158,26.73,22.60,26.25,5.88,0.000,0.510,1.000,0.844,0.500,0.000,0.532,0.474
live fire,27,13,0,0,13.75,6.75,-1.00,-1.182,0.092,0.250,70,14.79,14.79,20.40,12.00,0.261,0.000,0.133,0.371,0.267,0.274,0.000,0.129
live fire,54,13,0,0,27.25,6.75,-0.62,0.000,0.185,0.417,141,42.85,42.85,44.84,12.00,0.000,0.000,0.542,0.753,0.467,0.000,0.000,0.243
