x,y,z,motif
-5.25,6.25,-3.84,sous_dalle
-5.25,6.25,-3.19,hauteur_libre
-5.25,6.25,-0.64,sous_dalle
-5.25,6.25,-0.23,hauteur_libre
-4.75,6.25,-3.84,sous_dalle
-4.25,6.25,-3.84,sous_dalle
-3.75,6.25,-3.84,sous_dalle
-3.25,6.25,-3.84,sous_dalle
-2.75,6.25,-3.84,sous_dalle
-2.25,6.25,-3.84,sous_dalle
-1.75,6.25,-3.84,sous_dalle
-1.25,6.25,-3.84,sous_dalle
-0.75,6.25,-3.84,sous_dalle
-0.25,6.25,-3.84,sous_dalle
0.25,6.25,-3.84,sous_dalle
0.75,6.25,-3.84,sous_dalle
1.25,6.25,-3.84,sous_dalle
1.75,6.25,-3.84,sous_dalle
2.25,6.25,-3.84,sous_dalle
2.75,6.25,-3.84,sous_dalle
3.25,6.25,-3.19,hauteur_libre
4.25,6.25,-2.66,hauteur_libre
4.25,6.25,0.00,hauteur_libre
4.75,6.25,-2.65,hauteur_libre
4.75,6.25,0.00,hauteur_libre
5.25,6.25,0.00,hauteur_libre
5.75,6.25,0.00,hauteur_libre
11.75,6.25,0.07,hauteur_libre
11.75,6.25,1.39,sous_dalle
12.25,6.25,0.07,hauteur_libre
12.25,6.25,1.39,sous_dalle
12.75,6.25,0.17,hauteur_libre
12.75,6.25,1.39,hauteur_libre
13.75,6.25,-1.40,sous_dalle
14.25,6.25,-6.84,hauteur_libre
14.75,6.25,-6.84,hauteur_libre
15.25,6.25,-6.84,hauteur_libre
15.75,6.25,-6.84,hauteur_libre
16.25,6.25,-6.84,hauteur_libre
16.75,6.25,-6.84,hauteur_libre
17.25,6.25,-6.84,hauteur_libre
17.75,6.25,-6.84,hauteur_libre
18.25,6.25,-6.84,hauteur_libre
18.75,6.25,-6.84,hauteur_libre
19.25,6.25,-6.84,hauteur_libre
19.75,6.25,-6.84,hauteur_libre
20.25,6.25,-6.84,hauteur_libre
20.75,6.25,-6.84,hauteur_libre
21.25,6.25,-6.84,hauteur_libre
21.75,6.25,-6.84,hauteur_libre
22.25,6.25,-6.84,hauteur_libre
22.75,6.25,-6.84,hauteur_libre
23.25,6.25,-6.84,hauteur_libre
23.75,6.25,-6.84,hauteur_libre
24.25,6.25,-6.84,hauteur_libre
24.75,6.25,-6.84,hauteur_libre
25.25,6.25,-6.84,hauteur_libre
25.75,6.25,-6.84,hauteur_libre
26.25,6.25,-6.84,hauteur_libre
26.75,6.25,-6.84,hauteur_libre
26.75,6.25,-1.41,hauteur_libre
27.25,6.25,-6.84,hauteur_libre
27.25,6.25,-1.98,sous_dalle
27.25,6.25,-1.41,hauteur_libre
27.75,6.25,-6.84,hauteur_libre
27.75,6.25,-5.95,hauteur_libre
27.75,6.25,-2.22,hauteur_libre
27.75,6.25,-1.41,hauteur_libre
28.25,6.25,-6.84,hauteur_libre
28.25,6.25,-1.25,sous_dalle
28.75,6.25,-6.84,hauteur_libre
28.75,6.25,-5.95,hauteur_libre
28.75,6.25,-1.25,sous_dalle
-5.25,6.75,-3.84,sous_dalle
-5.25,6.75,-3.19,hauteur_libre
-5.25,6.75,-0.64,sous_dalle
-5.25,6.75,-0.23,hauteur_libre
-4.75,6.75,-3.84,sous_dalle
-4.25,6.75,-3.84,sous_dalle
-3.75,6.75,-3.84,sous_dalle
-3.25,6.75,-3.84,sous_dalle
-2.75,6.75,-3.84,sous_dalle
-2.25,6.75,-3.84,sous_dalle
-1.75,6.75,-3.84,sous_dalle
-1.25,6.75,-3.84,sous_dalle
-0.75,6.75,-3.84,sous_dalle
-0.25,6.75,-3.84,sous_dalle
0.25,6.75,-3.84,sous_dalle
0.75,6.75,-3.84,sous_dalle
1.25,6.75,-3.84,sous_dalle
1.75,6.75,-3.84,sous_dalle
2.25,6.75,-3.84,sous_dalle
2.75,6.75,-3.84,sous_dalle
3.25,6.75,-3.19,hauteur_libre
4.25,6.75,-2.66,hauteur_libre
4.25,6.75,0.00,hauteur_libre
4.75,6.75,-2.65,hauteur_libre
4.75,6.75,0.00,hauteur_libre
5.25,6.75,0.00,hauteur_libre
5.75,6.75,0.00,hauteur_libre
9.25,6.75,0.00,hauteur_libre
9.75,6.75,0.00,hauteur_libre
10.25,6.75,0.00,hauteur_libre
11.75,6.75,0.07,hauteur_libre
12.25,6.75,0.07,hauteur_libre
12.75,6.75,0.17,hauteur_libre
12.75,6.75,1.39,hauteur_libre
13.75,6.75,-1.40,sous_dalle
14.25,6.75,-6.84,hauteur_libre
14.75,6.75,-6.84,hauteur_libre
15.25,6.75,-6.84,hauteur_libre
15.75,6.75,-6.84,hauteur_libre
16.25,6.75,-6.84,hauteur_libre
16.75,6.75,-6.84,hauteur_libre
17.25,6.75,-6.84,hauteur_libre
17.75,6.75,-6.84,hauteur_libre
18.25,6.75,-6.84,hauteur_libre
18.75,6.75,-6.84,hauteur_libre
19.25,6.75,-6.84,hauteur_libre
19.75,6.75,-6.84,hauteur_libre
20.25,6.75,-6.84,hauteur_libre
20.75,6.75,-6.84,hauteur_libre
21.25,6.75,-6.84,hauteur_libre
21.75,6.75,-6.84,hauteur_libre
22.25,6.75,-6.84,hauteur_libre
22.75,6.75,-6.84,hauteur_libre
23.25,6.75,-6.84,hauteur_libre
23.75,6.75,-6.84,hauteur_libre
24.25,6.75,-6.84,hauteur_libre
24.75,6.75,-6.84,hauteur_libre
25.25,6.75,-6.84,hauteur_libre
25.75,6.75,-6.84,hauteur_libre
26.25,6.75,-6.84,hauteur_libre
26.75,6.75,-6.84,hauteur_libre
27.25,6.75,-6.84,hauteur_libre
27.25,6.75,-5.95,hauteur_libre
27.25,6.75,-1.41,hauteur_libre
27.75,6.75,-6.84,hauteur_libre
27.75,6.75,-1.25,sous_dalle
28.25,6.75,-6.84,hauteur_libre
28.25,6.75,-5.95,hauteur_libre
28.25,6.75,-1.25,sous_dalle
28.75,6.75,-6.84,hauteur_libre
28.75,6.75,-5.95,hauteur_libre
28.75,6.75,-1.41,hauteur_libre
29.25,6.75,-6.84,hauteur_libre
29.25,6.75,-5.95,hauteur_libre
29.25,6.75,-1.41,hauteur_libre
-5.25,7.25,-3.84,sous_dalle
-5.25,7.25,-3.19,hauteur_libre
-5.25,7.25,-0.64,sous_dalle
-5.25,7.25,-0.23,hauteur_libre
-4.75,7.25,-3.84,sous_dalle
-4.25,7.25,-3.84,sous_dalle
-3.75,7.25,-3.84,sous_dalle
-3.25,7.25,-3.84,sous_dalle
-2.75,7.25,-3.84,sous_dalle
-2.25,7.25,-3.84,sous_dalle
-1.75,7.25,-3.84,sous_dalle
-1.25,7.25,-3.84,sous_dalle
-0.75,7.25,-3.84,sous_dalle
-0.25,7.25,-3.84,sous_dalle
0.25,7.25,-3.84,sous_dalle
0.75,7.25,-3.84,sous_dalle
1.25,7.25,-3.84,sous_dalle
1.75,7.25,-3.84,sous_dalle
2.25,7.25,-3.84,sous_dalle
2.75,7.25,-3.84,sous_dalle
3.25,7.25,-3.19,hauteur_libre
4.25,7.25,-2.66,hauteur_libre
4.25,7.25,0.00,hauteur_libre
4.75,7.25,-2.65,hauteur_libre
4.75,7.25,0.00,hauteur_libre
5.25,7.25,0.00,hauteur_libre
5.75,7.25,0.00,hauteur_libre
5.75,7.25,1.51,sous_dalle
9.25,7.25,0.00,hauteur_libre
9.75,7.25,0.02,hauteur_libre
10.25,7.25,0.02,hauteur_libre
11.75,7.25,0.11,hauteur_libre
12.25,7.25,0.11,hauteur_libre
12.75,7.25,0.31,hauteur_libre
12.75,7.25,1.38,hauteur_libre
13.75,7.25,-1.40,sous_dalle
14.25,7.25,-6.84,hauteur_libre
14.75,7.25,-6.84,hauteur_libre
15.25,7.25,-6.84,hauteur_libre
15.75,7.25,-6.84,hauteur_libre
16.25,7.25,-6.84,hauteur_libre
16.75,7.25,-6.84,hauteur_libre
17.25,7.25,-6.84,hauteur_libre
17.75,7.25,-6.84,hauteur_libre
18.25,7.25,-6.84,hauteur_libre
18.75,7.25,-6.84,hauteur_libre
19.25,7.25,-6.84,hauteur_libre
19.75,7.25,-6.84,hauteur_libre
20.25,7.25,-6.84,hauteur_libre
20.75,7.25,-6.84,hauteur_libre
21.25,7.25,-6.84,hauteur_libre
21.75,7.25,-6.84,hauteur_libre
22.25,7.25,-6.84,hauteur_libre
22.75,7.25,-6.84,hauteur_libre
23.25,7.25,-6.84,hauteur_libre
23.75,7.25,-6.84,hauteur_libre
24.25,7.25,-6.84,hauteur_libre
24.75,7.25,-6.84,hauteur_libre
25.25,7.25,-6.84,hauteur_libre
25.75,7.25,-6.84,hauteur_libre
26.25,7.25,-6.84,hauteur_libre
26.75,7.25,-6.84,hauteur_libre
27.25,7.25,-6.84,hauteur_libre
27.25,7.25,-1.55,hauteur_libre
27.75,7.25,-6.84,hauteur_libre
27.75,7.25,-5.95,hauteur_libre
27.75,7.25,-1.25,sous_dalle
28.25,7.25,-6.84,hauteur_libre
28.25,7.25,-5.95,hauteur_libre
28.25,7.25,-1.41,hauteur_libre
28.75,7.25,-6.84,hauteur_libre
28.75,7.25,-2.22,hauteur_libre
28.75,7.25,-1.41,hauteur_libre
29.25,7.25,-7.78,sous_dalle
29.25,7.25,-6.84,hauteur_libre
29.25,7.25,-5.95,hauteur_libre
29.25,7.25,-3.15,hauteur_libre
29.25,7.25,-1.41,hauteur_libre
29.75,7.25,-6.84,hauteur_libre
29.75,7.25,-5.95,hauteur_libre
29.75,7.25,-1.41,hauteur_libre
-5.25,7.75,-3.84,sous_dalle
-5.25,7.75,-3.19,hauteur_libre
-5.25,7.75,-0.62,sous_dalle
-5.25,7.75,-0.23,hauteur_libre
-4.75,7.75,-3.84,sous_dalle
-4.25,7.75,-3.84,sous_dalle
-3.75,7.75,-3.84,sous_dalle
-3.25,7.75,-3.84,sous_dalle
-2.75,7.75,-3.84,sous_dalle
-2.25,7.75,-3.84,sous_dalle
-1.75,7.75,-3.84,sous_dalle
-1.25,7.75,-3.84,sous_dalle
-0.75,7.75,-3.84,sous_dalle
-0.25,7.75,-3.84,sous_dalle
0.25,7.75,-3.84,sous_dalle
0.75,7.75,-3.84,sous_dalle
1.25,7.75,-3.84,sous_dalle
1.75,7.75,-3.84,sous_dalle
2.25,7.75,-3.84,sous_dalle
2.75,7.75,-3.84,sous_dalle
4.25,7.75,0.00,hauteur_libre
4.75,7.75,0.00,hauteur_libre
5.25,7.75,0.00,hauteur_libre
5.75,7.75,0.00,hauteur_libre
5.75,7.75,1.51,sous_dalle
9.25,7.75,0.00,hauteur_libre
9.75,7.75,0.02,sous_dalle
10.25,7.75,0.02,sous_dalle
11.75,7.75,0.10,hauteur_libre
11.75,7.75,1.41,sous_dalle
12.25,7.75,0.10,hauteur_libre
12.75,7.75,0.16,hauteur_libre
12.75,7.75,1.39,hauteur_libre
13.75,7.75,-1.40,sous_dalle
14.25,7.75,-6.84,hauteur_libre
14.75,7.75,-6.84,hauteur_libre
15.25,7.75,-6.84,hauteur_libre
15.75,7.75,-6.84,hauteur_libre
16.25,7.75,-6.84,hauteur_libre
16.75,7.75,-6.84,hauteur_libre
17.25,7.75,-6.84,hauteur_libre
17.75,7.75,-6.84,hauteur_libre
18.25,7.75,-6.84,hauteur_libre
18.75,7.75,-6.84,hauteur_libre
19.25,7.75,-6.84,hauteur_libre
19.75,7.75,-6.84,hauteur_libre
20.25,7.75,-6.84,hauteur_libre
20.75,7.75,-6.84,hauteur_libre
21.25,7.75,-6.84,hauteur_libre
21.75,7.75,-6.84,hauteur_libre
22.25,7.75,-6.84,hauteur_libre
22.75,7.75,-6.84,hauteur_libre
23.25,7.75,-6.84,hauteur_libre
23.75,7.75,-6.84,hauteur_libre
24.25,7.75,-6.84,hauteur_libre
24.75,7.75,-6.84,hauteur_libre
25.25,7.75,-6.84,hauteur_libre
25.75,7.75,-6.84,hauteur_libre
26.25,7.75,-6.84,hauteur_libre
26.75,7.75,-6.84,hauteur_libre
27.25,7.75,-6.84,hauteur_libre
27.75,7.75,-6.84,hauteur_libre
28.25,7.75,-6.84,hauteur_libre
28.25,7.75,-1.41,hauteur_libre
28.75,7.75,-6.84,hauteur_libre
28.75,7.75,-1.98,sous_dalle
28.75,7.75,-1.41,hauteur_libre
29.25,7.75,-6.84,hauteur_libre
29.25,7.75,-2.22,hauteur_libre
29.25,7.75,-1.41,hauteur_libre
29.75,7.75,-7.78,hauteur_libre
29.75,7.75,-6.84,sous_dalle
29.75,7.75,-5.95,hauteur_libre
29.75,7.75,-3.15,hauteur_libre
29.75,7.75,-1.41,hauteur_libre
30.25,7.75,-6.84,hauteur_libre
30.25,7.75,-5.95,hauteur_libre
30.25,7.75,-1.41,hauteur_libre
-5.25,8.25,-3.84,sous_dalle
-5.25,8.25,-3.19,hauteur_libre
-5.25,8.25,-0.64,sous_dalle
-5.25,8.25,-0.23,hauteur_libre
-4.75,8.25,-3.84,sous_dalle
-4.25,8.25,-3.84,sous_dalle
-3.75,8.25,-3.84,sous_dalle
-3.25,8.25,-3.84,sous_dalle
-2.75,8.25,-3.84,sous_dalle
-2.25,8.25,-3.84,sous_dalle
-1.75,8.25,-3.84,sous_dalle
-1.25,8.25,-3.84,sous_dalle
-1.25,8.25,-3.19,hauteur_libre
-0.75,8.25,-3.84,sous_dalle
-0.75,8.25,-3.19,hauteur_libre
-0.25,8.25,-3.84,sous_dalle
0.25,8.25,-3.84,sous_dalle
0.75,8.25,-3.84,sous_dalle
1.25,8.25,-3.84,sous_dalle
1.75,8.25,-3.84,sous_dalle
2.25,8.25,-3.84,sous_dalle
2.75,8.25,-3.84,sous_dalle
2.75,8.25,-3.19,hauteur_libre
4.25,8.25,0.00,hauteur_libre
4.75,8.25,0.00,hauteur_libre
5.25,8.25,0.00,hauteur_libre
5.75,8.25,0.00,hauteur_libre
5.75,8.25,1.50,sous_dalle
11.75,8.25,0.10,hauteur_libre
11.75,8.25,1.41,sous_dalle
12.25,8.25,0.10,hauteur_libre
12.75,8.25,0.16,hauteur_libre
12.75,8.25,1.39,hauteur_libre
13.75,8.25,-1.40,sous_dalle
14.25,8.25,-6.84,hauteur_libre
14.75,8.25,-6.84,hauteur_libre
15.25,8.25,-6.84,hauteur_libre
15.75,8.25,-6.84,hauteur_libre
16.25,8.25,-6.84,hauteur_libre
16.75,8.25,-6.84,hauteur_libre
17.25,8.25,-6.84,hauteur_libre
17.75,8.25,-6.84,hauteur_libre
18.25,8.25,-6.84,hauteur_libre
18.75,8.25,-6.84,hauteur_libre
19.25,8.25,-6.84,hauteur_libre
19.75,8.25,-6.84,hauteur_libre
20.25,8.25,-6.84,hauteur_libre
20.75,8.25,-6.84,hauteur_libre
21.25,8.25,-6.84,hauteur_libre
21.75,8.25,-6.84,hauteur_libre
22.25,8.25,-6.84,hauteur_libre
22.75,8.25,-6.84,hauteur_libre
23.25,8.25,-6.84,hauteur_libre
23.75,8.25,-6.84,hauteur_libre
24.25,8.25,-6.84,hauteur_libre
24.75,8.25,-6.84,hauteur_libre
25.25,8.25,-6.84,hauteur_libre
25.75,8.25,-6.84,hauteur_libre
26.25,8.25,-6.84,hauteur_libre
26.75,8.25,-6.84,hauteur_libre
27.25,8.25,-6.84,hauteur_libre
27.75,8.25,-6.84,hauteur_libre
28.25,8.25,-6.84,hauteur_libre
28.75,8.25,-6.84,hauteur_libre
28.75,8.25,-1.41,hauteur_libre
29.25,8.25,-6.84,hauteur_libre
29.25,8.25,-1.98,sous_dalle
29.25,8.25,-1.41,hauteur_libre
29.75,8.25,-6.84,hauteur_libre
29.75,8.25,-2.22,hauteur_libre
29.75,8.25,-1.41,hauteur_libre
30.25,8.25,-7.78,hauteur_libre
30.25,8.25,-6.84,hauteur_libre
30.25,8.25,-5.95,hauteur_libre
30.25,8.25,-2.99,hauteur_libre
30.25,8.25,-1.41,hauteur_libre
30.75,8.25,-6.84,hauteur_libre
30.75,8.25,-1.25,sous_dalle
-5.25,8.75,-4.35,sous_dalle
-5.25,8.75,-3.80,sous_dalle
-5.25,8.75,-3.19,sous_dalle
-5.25,8.75,-2.55,sous_dalle
-5.25,8.75,-1.46,sous_dalle
-5.25,8.75,-1.00,sous_dalle
-5.25,8.75,-0.62,sous_dalle
-5.25,8.75,-0.23,hauteur_libre
-4.75,8.75,-3.80,sous_dalle
-4.25,8.75,-3.80,sous_dalle
-3.75,8.75,-3.80,sous_dalle
-3.25,8.75,-3.80,sous_dalle
-2.75,8.75,-3.80,sous_dalle
-2.25,8.75,-3.80,sous_dalle
-1.75,8.75,-3.80,sous_dalle
-1.25,8.75,-3.80,sous_dalle
-1.25,8.75,-3.19,hauteur_libre
-0.75,8.75,-3.00,hauteur_libre
-0.75,8.75,1.50,hauteur_libre
-0.75,8.75,3.00,hauteur_libre
-0.25,8.75,1.50,hauteur_libre
-0.25,8.75,3.00,hauteur_libre
0.25,8.75,1.60,hauteur_libre
0.25,8.75,3.00,hauteur_libre
0.75,8.75,1.50,hauteur_libre
1.25,8.75,1.50,hauteur_libre
1.75,8.75,1.50,hauteur_libre
