comp_de,comp_vers,x1,y1,z1,x2,y2,z2,poitrine_libre,obst_poitrine_x,obst_poitrine_y,obst_poitrine_z,saut_libre,obst_saut_x,obst_saut_y,obst_saut_z
0,1,10.25,3.25,4.41,9.25,4.25,2.20,false,10.12,3.38,5.54,false,10.38,3.38,6.29
0,1,10.25,3.75,4.41,9.25,4.25,2.20,false,10.12,3.88,5.54,false,10.38,3.88,6.29
0,1,10.25,3.75,4.41,9.25,4.75,2.18,false,10.12,3.88,5.54,false,10.38,3.88,6.29
0,1,10.25,4.25,4.41,9.25,4.25,2.20,false,10.12,4.38,5.54,false,10.38,4.38,6.29
0,1,10.25,4.25,4.41,9.25,4.75,2.18,false,10.12,4.38,5.54,false,10.38,4.38,6.29
0,1,10.25,4.25,4.41,9.25,5.25,2.18,false,10.12,4.38,5.54,false,10.38,4.38,6.29
0,1,10.25,4.75,4.41,9.25,4.25,2.20,false,10.12,4.88,5.54,false,10.38,4.88,6.29
0,1,10.25,4.75,4.41,9.25,4.75,2.18,false,10.12,4.88,5.54,false,10.38,4.88,6.29
0,1,10.25,4.75,4.41,9.25,5.25,2.18,false,10.12,4.88,5.54,false,10.38,4.88,6.29
0,1,10.25,4.75,4.41,9.25,5.75,2.18,false,10.12,4.88,5.54,false,10.38,4.88,6.29
0,1,10.25,5.25,4.41,9.25,4.25,2.20,false,10.12,5.38,5.54,false,10.38,5.38,6.29
0,1,10.25,5.25,4.41,9.25,4.75,2.18,false,10.12,5.38,5.54,false,10.38,5.38,6.29
0,1,10.25,5.25,4.41,9.25,5.25,2.18,false,10.12,5.38,5.54,false,10.38,5.38,6.29
0,1,10.25,5.25,4.41,9.25,5.75,2.18,false,10.12,5.38,5.54,false,10.38,5.38,6.29
0,1,10.25,5.25,4.41,9.25,6.25,1.67,false,10.12,5.38,5.54,false,10.38,5.38,6.29
0,1,10.25,5.75,4.42,9.25,4.75,2.18,false,10.12,5.88,5.54,false,10.38,5.88,6.29
0,1,10.25,5.75,4.42,9.25,5.25,2.18,false,10.12,5.88,5.54,false,10.38,5.88,6.29
0,1,10.25,5.75,4.42,9.25,5.75,2.18,false,10.12,5.88,5.54,false,10.38,5.88,6.29
0,1,10.25,5.75,4.42,9.25,6.25,1.67,false,10.12,5.88,5.54,false,10.38,5.88,6.29
0,1,10.25,6.25,4.19,9.25,5.25,2.18,false,10.12,6.38,5.29,false,10.12,6.38,6.04
0,1,10.25,6.25,4.19,9.25,5.75,2.18,false,10.12,6.38,5.29,false,10.12,6.38,6.04
0,1,10.25,6.25,4.19,9.25,6.25,1.67,false,10.12,6.38,5.29,false,10.12,6.38,6.04
0,1,10.25,6.75,1.95,9.25,5.75,2.18,false,10.12,6.88,3.29,false,10.38,6.88,4.04
0,1,10.25,6.75,1.95,9.25,6.25,1.67,false,10.12,6.62,3.04,false,10.38,6.88,3.79
0,1,10.25,6.75,3.99,9.25,5.75,2.18,false,10.12,6.88,5.29,false,10.12,6.88,5.79
0,1,10.25,6.75,3.99,9.25,6.25,1.67,false,10.12,6.88,5.29,false,10.12,6.88,5.79
0,1,10.25,7.25,1.97,9.25,6.25,1.67,false,10.12,7.38,3.29,false,10.38,7.38,3.79
0,1,10.25,7.25,3.69,9.25,6.25,1.67,false,10.12,7.38,4.79,false,10.12,7.38,5.54
