x,y,z,motif
29.75,-22.75,0.74,hauteur_libre
29.75,-22.75,1.94,hors_arene
11.25,-22.25,7.90,hauteur_libre
11.25,-22.25,8.88,hors_arene
11.75,-22.25,7.81,hauteur_libre
11.75,-22.25,8.97,hors_arene
29.75,-22.25,0.74,hauteur_libre
29.75,-22.25,1.94,hors_arene
11.25,-21.75,7.90,hauteur_libre
11.25,-21.75,8.88,hors_arene
11.75,-21.75,7.81,hauteur_libre
11.75,-21.75,8.97,hors_arene
29.75,-21.75,0.74,hauteur_libre
29.75,-21.75,1.94,hors_arene
-6.75,-21.25,6.93,hors_arene
-6.25,-21.25,6.93,hors_arene
-5.75,-21.25,6.93,hors_arene
-5.25,-21.25,6.93,hors_arene
-4.75,-21.25,6.93,hors_arene
-4.25,-21.25,6.93,hors_arene
-3.75,-21.25,6.93,hors_arene
-3.25,-21.25,6.93,hors_arene
-2.75,-21.25,6.93,hors_arene
-2.25,-21.25,6.93,hors_arene
-1.75,-21.25,6.93,hors_arene
-1.25,-21.25,6.93,hors_arene
-0.75,-21.25,6.93,hors_arene
-0.25,-21.25,6.93,hors_arene
0.25,-21.25,6.93,hors_arene
0.75,-21.25,6.93,hors_arene
1.25,-21.25,6.93,hors_arene
1.75,-21.25,6.93,hors_arene
2.25,-21.25,6.93,hors_arene
2.75,-21.25,6.93,hors_arene
3.25,-21.25,6.93,hors_arene
3.75,-21.25,6.93,hors_arene
4.25,-21.25,6.93,hors_arene
4.75,-21.25,6.93,hors_arene
5.25,-21.25,6.93,hors_arene
5.75,-21.25,6.93,hors_arene
6.25,-21.25,6.93,hors_arene
6.75,-21.25,6.93,hors_arene
7.25,-21.25,6.93,hors_arene
7.75,-21.25,6.93,hors_arene
8.25,-21.25,6.93,hors_arene
8.75,-21.25,6.93,hors_arene
9.25,-21.25,6.93,hors_arene
9.75,-21.25,6.93,hors_arene
10.25,-21.25,6.93,hors_arene
10.75,-21.25,6.93,hors_arene
11.25,-21.25,6.93,hauteur_libre
11.25,-21.25,7.90,hauteur_libre
11.25,-21.25,8.88,hors_arene
11.75,-21.25,6.93,hauteur_libre
11.75,-21.25,7.81,hauteur_libre
11.75,-21.25,8.97,hors_arene
12.25,-21.25,6.93,hors_arene
12.75,-21.25,6.93,hors_arene
13.25,-21.25,6.93,hors_arene
13.75,-21.25,6.93,hors_arene
14.25,-21.25,6.93,hors_arene
14.75,-21.25,6.93,hors_arene
15.25,-21.25,6.93,hors_arene
15.75,-21.25,6.93,hors_arene
16.25,-21.25,6.93,hors_arene
16.75,-21.25,6.93,hors_arene
17.25,-21.25,6.93,hors_arene
17.75,-21.25,6.93,hors_arene
18.25,-21.25,6.93,hors_arene
18.75,-21.25,6.93,hors_arene
19.25,-21.25,6.93,hors_arene
19.75,-21.25,6.93,hors_arene
20.25,-21.25,6.93,hors_arene
20.75,-21.25,6.93,hors_arene
21.25,-21.25,6.93,hors_arene
21.75,-21.25,6.93,hors_arene
22.25,-21.25,6.93,hors_arene
22.75,-21.25,6.93,hors_arene
23.25,-21.25,6.93,hors_arene
23.75,-21.25,6.93,hors_arene
24.25,-21.25,6.93,hors_arene
24.75,-21.25,6.93,hors_arene
25.25,-21.25,6.93,hors_arene
25.75,-21.25,6.93,hors_arene
26.25,-21.25,6.93,hors_arene
26.75,-21.25,6.93,hors_arene
27.25,-21.25,6.93,hors_arene
27.75,-21.25,6.93,hors_arene
28.25,-21.25,6.93,hors_arene
28.75,-21.25,6.93,hors_arene
29.75,-21.25,0.74,hauteur_libre
29.75,-21.25,1.94,hors_arene
-6.75,-20.75,6.93,hors_arene
-6.25,-20.75,6.93,hors_arene
-5.75,-20.75,6.93,hors_arene
-5.25,-20.75,6.93,hors_arene
-4.75,-20.75,6.93,hors_arene
-4.25,-20.75,6.93,hors_arene
-3.75,-20.75,6.93,hors_arene
-3.25,-20.75,6.93,hors_arene
-2.75,-20.75,6.93,hors_arene
-2.25,-20.75,6.93,hors_arene
-1.75,-20.75,6.93,hors_arene
-1.25,-20.75,6.93,hors_arene
-0.75,-20.75,6.93,hors_arene
-0.25,-20.75,6.93,hors_arene
0.25,-20.75,6.93,hors_arene
0.75,-20.75,6.93,hors_arene
1.25,-20.75,6.93,hors_arene
1.75,-20.75,6.93,hors_arene
2.25,-20.75,6.93,hors_arene
2.75,-20.75,6.93,hors_arene
3.25,-20.75,6.93,hors_arene
3.75,-20.75,6.93,hors_arene
4.25,-20.75,6.93,hors_arene
4.75,-20.75,6.93,hors_arene
5.25,-20.75,6.93,hors_arene
5.75,-20.75,6.93,hors_arene
6.25,-20.75,6.93,hors_arene
6.75,-20.75,6.93,hors_arene
7.25,-20.75,6.93,hors_arene
7.75,-20.75,6.93,hors_arene
8.25,-20.75,6.93,hors_arene
8.75,-20.75,6.93,hors_arene
9.25,-20.75,6.93,hors_arene
9.75,-20.75,6.93,hors_arene
10.25,-20.75,6.93,hors_arene
10.75,-20.75,6.93,hors_arene
11.25,-20.75,6.93,hauteur_libre
11.25,-20.75,7.90,hauteur_libre
11.25,-20.75,8.88,hors_arene
11.75,-20.75,6.93,hauteur_libre
11.75,-20.75,7.81,hauteur_libre
11.75,-20.75,8.97,hors_arene
12.25,-20.75,6.93,hors_arene
12.75,-20.75,6.93,hors_arene
13.25,-20.75,6.93,hors_arene
13.75,-20.75,6.93,hors_arene
14.25,-20.75,6.93,hors_arene
14.75,-20.75,6.93,hors_arene
15.25,-20.75,6.93,hors_arene
15.75,-20.75,6.93,hors_arene
16.25,-20.75,6.93,hors_arene
16.75,-20.75,6.93,hors_arene
17.25,-20.75,6.93,hors_arene
17.75,-20.75,6.93,hors_arene
18.25,-20.75,6.93,hors_arene
18.75,-20.75,6.93,hors_arene
19.25,-20.75,6.93,hors_arene
19.75,-20.75,6.93,hors_arene
20.25,-20.75,6.93,hors_arene
20.75,-20.75,6.93,hors_arene
21.25,-20.75,6.93,hors_arene
21.75,-20.75,6.93,hors_arene
22.25,-20.75,6.93,hors_arene
22.75,-20.75,6.93,hors_arene
23.25,-20.75,6.93,hors_arene
23.75,-20.75,6.93,hors_arene
24.25,-20.75,6.93,hors_arene
24.75,-20.75,6.93,hors_arene
25.25,-20.75,6.93,hors_arene
25.75,-20.75,6.93,hors_arene
26.25,-20.75,6.93,hors_arene
26.75,-20.75,6.93,hors_arene
27.25,-20.75,6.93,hors_arene
27.75,-20.75,6.93,hors_arene
28.25,-20.75,6.93,hors_arene
28.75,-20.75,6.93,hors_arene
29.75,-20.75,0.74,hauteur_libre
29.75,-20.75,1.94,hors_arene
-6.75,-20.25,6.93,hors_arene
-6.25,-20.25,6.93,hors_arene
-5.75,-20.25,6.93,hors_arene
-5.25,-20.25,6.93,hors_arene
-4.75,-20.25,6.93,hors_arene
-4.25,-20.25,6.93,hors_arene
-3.75,-20.25,6.93,hors_arene
-3.25,-20.25,6.93,hors_arene
-2.75,-20.25,6.93,hors_arene
-2.25,-20.25,6.93,hors_arene
-1.75,-20.25,6.93,hors_arene
-1.25,-20.25,6.93,hors_arene
-0.75,-20.25,6.93,hors_arene
-0.25,-20.25,6.93,hors_arene
0.25,-20.25,6.93,hors_arene
0.75,-20.25,6.93,hors_arene
1.25,-20.25,6.93,hors_arene
1.75,-20.25,6.93,hors_arene
2.25,-20.25,6.93,hors_arene
2.75,-20.25,6.93,hors_arene
3.25,-20.25,6.93,hors_arene
3.75,-20.25,6.93,hors_arene
4.25,-20.25,6.93,hors_arene
4.75,-20.25,6.93,hors_arene
5.25,-20.25,6.93,hors_arene
5.75,-20.25,6.93,hors_arene
6.25,-20.25,6.93,hors_arene
6.75,-20.25,6.93,hors_arene
7.25,-20.25,6.93,hors_arene
7.75,-20.25,6.93,hors_arene
8.25,-20.25,6.93,hors_arene
8.75,-20.25,6.93,hors_arene
9.25,-20.25,6.93,hors_arene
9.75,-20.25,6.93,hors_arene
10.25,-20.25,6.93,hors_arene
10.75,-20.25,6.93,hors_arene
11.25,-20.25,6.93,hauteur_libre
11.25,-20.25,7.90,hauteur_libre
11.25,-20.25,8.88,hors_arene
11.75,-20.25,6.93,hauteur_libre
11.75,-20.25,7.81,hauteur_libre
11.75,-20.25,8.97,hors_arene
12.25,-20.25,6.93,hors_arene
12.75,-20.25,6.93,hors_arene
13.25,-20.25,6.93,hors_arene
13.75,-20.25,6.93,hors_arene
14.25,-20.25,6.93,hors_arene
14.75,-20.25,6.93,hors_arene
15.25,-20.25,6.93,hors_arene
15.75,-20.25,6.93,hors_arene
16.25,-20.25,6.93,hors_arene
16.75,-20.25,6.93,hors_arene
17.25,-20.25,6.93,hors_arene
17.75,-20.25,6.93,hors_arene
18.25,-20.25,6.93,hors_arene
18.75,-20.25,6.93,hors_arene
19.25,-20.25,6.93,hors_arene
19.75,-20.25,6.93,hors_arene
20.25,-20.25,6.93,hors_arene
20.75,-20.25,6.93,hors_arene
21.25,-20.25,6.93,hors_arene
21.75,-20.25,6.93,hors_arene
22.25,-20.25,6.93,hors_arene
22.75,-20.25,6.93,hors_arene
23.25,-20.25,6.93,hors_arene
23.75,-20.25,6.93,hors_arene
24.25,-20.25,6.93,hors_arene
24.75,-20.25,6.93,hors_arene
25.25,-20.25,6.93,hors_arene
25.75,-20.25,6.93,hors_arene
26.25,-20.25,6.93,hors_arene
26.75,-20.25,6.93,hors_arene
27.25,-20.25,6.93,hors_arene
27.75,-20.25,6.93,hors_arene
28.25,-20.25,6.93,hors_arene
28.75,-20.25,6.93,hors_arene
29.75,-20.25,0.74,hauteur_libre
29.75,-20.25,1.94,hors_arene
-6.75,-19.75,6.93,hors_arene
-6.25,-19.75,6.93,hors_arene
-5.75,-19.75,6.93,hors_arene
-5.25,-19.75,6.93,hors_arene
-4.75,-19.75,6.93,hors_arene
-4.25,-19.75,6.93,hors_arene
-3.75,-19.75,6.93,hors_arene
-3.25,-19.75,6.93,hors_arene
-2.75,-19.75,6.93,hors_arene
-2.25,-19.75,6.93,hors_arene
-1.75,-19.75,6.93,hors_arene
-1.25,-19.75,6.93,hors_arene
-0.75,-19.75,6.93,hors_arene
-0.25,-19.75,6.93,hors_arene
0.25,-19.75,6.93,hors_arene
0.75,-19.75,6.93,hors_arene
1.25,-19.75,6.93,hors_arene
1.75,-19.75,6.93,hors_arene
2.25,-19.75,6.93,hors_arene
2.75,-19.75,6.93,hors_arene
3.25,-19.75,6.93,hors_arene
3.75,-19.75,6.93,hors_arene
4.25,-19.75,6.93,hors_arene
4.75,-19.75,6.93,hors_arene
5.25,-19.75,6.93,hors_arene
5.75,-19.75,6.93,hors_arene
6.25,-19.75,6.93,hors_arene
6.75,-19.75,6.93,hors_arene
7.25,-19.75,6.93,hors_arene
7.75,-19.75,6.93,hors_arene
8.25,-19.75,6.93,hors_arene
8.75,-19.75,6.93,hors_arene
9.25,-19.75,6.93,hors_arene
9.75,-19.75,6.93,hors_arene
10.25,-19.75,6.93,hors_arene
10.75,-19.75,6.93,hors_arene
11.25,-19.75,6.93,hauteur_libre
11.25,-19.75,7.90,hauteur_libre
11.25,-19.75,8.88,hors_arene
11.75,-19.75,6.93,hauteur_libre
11.75,-19.75,7.81,hauteur_libre
11.75,-19.75,8.97,hors_arene
12.25,-19.75,6.93,hors_arene
12.75,-19.75,6.93,hors_arene
13.25,-19.75,6.93,hors_arene
13.75,-19.75,6.93,hors_arene
14.25,-19.75,6.93,hors_arene
14.75,-19.75,6.93,hors_arene
15.25,-19.75,6.93,hors_arene
15.75,-19.75,6.93,hors_arene
16.25,-19.75,6.93,hors_arene
16.75,-19.75,6.93,hors_arene
17.25,-19.75,6.93,hors_arene
17.75,-19.75,6.93,hors_arene
18.25,-19.75,6.93,hors_arene
18.75,-19.75,6.93,hors_arene
19.25,-19.75,6.93,hors_arene
19.75,-19.75,6.93,hors_arene
20.25,-19.75,6.93,hors_arene
20.75,-19.75,6.93,hors_arene
21.25,-19.75,6.93,hors_arene
21.75,-19.75,6.93,hors_arene
22.25,-19.75,6.93,hors_arene
22.75,-19.75,6.93,hors_arene
23.25,-19.75,6.93,hors_arene
23.75,-19.75,6.93,hors_arene
24.25,-19.75,6.93,hors_arene
24.75,-19.75,6.93,hors_arene
25.25,-19.75,6.93,hors_arene
25.75,-19.75,6.93,hors_arene
26.25,-19.75,6.93,hors_arene
26.75,-19.75,6.93,hors_arene
27.25,-19.75,6.93,hors_arene
27.75,-19.75,6.93,hors_arene
28.25,-19.75,6.93,hors_arene
28.75,-19.75,6.93,hors_arene
29.75,-19.75,0.74,hauteur_libre
29.75,-19.75,1.94,hors_arene
-6.75,-19.25,6.93,hors_arene
-6.25,-19.25,6.93,hors_arene
-5.75,-19.25,6.93,hors_arene
-5.25,-19.25,6.93,hors_arene
-4.75,-19.25,6.93,hors_arene
-4.25,-19.25,6.93,hors_arene
-3.75,-19.25,6.93,hors_arene
-3.25,-19.25,6.93,hors_arene
-2.75,-19.25,6.93,hors_arene
-2.25,-19.25,6.93,hors_arene
-1.75,-19.25,6.93,hors_arene
-1.25,-19.25,6.93,hors_arene
-0.75,-19.25,6.93,hors_arene
-0.25,-19.25,6.93,hors_arene
0.25,-19.25,6.93,hors_arene
0.75,-19.25,6.93,hors_arene
1.25,-19.25,6.93,hors_arene
1.75,-19.25,6.93,hors_arene
2.25,-19.25,6.93,hors_arene
2.75,-19.25,6.93,hors_arene
3.25,-19.25,6.93,hors_arene
3.75,-19.25,6.93,hors_arene
4.25,-19.25,6.93,hors_arene
4.75,-19.25,6.93,hors_arene
5.25,-19.25,6.93,hors_arene
5.75,-19.25,6.93,hors_arene
6.25,-19.25,6.93,hors_arene
6.75,-19.25,6.93,hors_arene
7.25,-19.25,6.93,hors_arene
7.75,-19.25,6.93,hors_arene
8.25,-19.25,6.93,hors_arene
8.75,-19.25,6.93,hors_arene
9.25,-19.25,6.93,hors_arene
9.75,-19.25,6.93,hors_arene
10.25,-19.25,6.93,hors_arene
10.75,-19.25,6.93,hors_arene
11.25,-19.25,6.93,hauteur_libre
11.25,-19.25,7.90,hauteur_libre
11.25,-19.25,8.88,hors_arene
11.75,-19.25,6.93,hauteur_libre
11.75,-19.25,7.81,hauteur_libre
11.75,-19.25,8.97,hors_arene
12.25,-19.25,6.93,hors_arene
12.75,-19.25,6.93,hors_arene
13.25,-19.25,6.93,hors_arene
13.75,-19.25,6.93,hors_arene
14.25,-19.25,6.93,hors_arene
14.75,-19.25,6.93,hors_arene
15.25,-19.25,6.93,hors_arene
15.75,-19.25,6.93,hors_arene
16.25,-19.25,6.93,hors_arene
16.75,-19.25,6.93,hors_arene
17.25,-19.25,6.93,hors_arene
17.75,-19.25,6.93,hors_arene
18.25,-19.25,6.93,hors_arene
18.75,-19.25,6.93,hors_arene
19.25,-19.25,6.93,hors_arene
19.75,-19.25,6.93,hors_arene
20.25,-19.25,6.93,hors_arene
20.75,-19.25,6.93,hors_arene
21.25,-19.25,6.93,hors_arene
21.75,-19.25,6.93,hors_arene
22.25,-19.25,6.93,hors_arene
22.75,-19.25,6.93,hors_arene
23.25,-19.25,6.93,hors_arene
23.75,-19.25,6.93,hors_arene
24.25,-19.25,6.93,hors_arene
24.75,-19.25,6.93,hors_arene
25.25,-19.25,6.93,hors_arene
25.75,-19.25,6.93,hors_arene
26.25,-19.25,6.93,hors_arene
26.75,-19.25,6.93,hors_arene
27.25,-19.25,6.93,hors_arene
27.75,-19.25,6.93,hors_arene
28.25,-19.25,6.93,hors_arene
28.75,-19.25,6.93,hors_arene
29.75,-19.25,0.74,hauteur_libre
29.75,-19.25,1.94,hors_arene
-6.75,-18.75,6.93,hors_arene
-6.25,-18.75,6.93,hors_arene
-5.75,-18.75,6.93,hors_arene
-5.25,-18.75,6.93,hors_arene
-4.75,-18.75,6.93,hors_arene
-4.25,-18.75,6.93,hors_arene
-3.75,-18.75,6.93,hors_arene
-3.25,-18.75,6.93,hors_arene
-2.75,-18.75,6.93,hors_arene
-2.25,-18.75,6.93,hors_arene
-1.75,-18.75,6.93,hors_arene
-1.25,-18.75,6.93,hors_arene
-0.75,-18.75,6.93,hors_arene
-0.25,-18.75,6.93,hors_arene
0.25,-18.75,6.93,hors_arene
0.75,-18.75,6.93,hors_arene
1.25,-18.75,6.93,hors_arene
1.75,-18.75,6.93,hors_arene
2.25,-18.75,6.93,hors_arene
2.75,-18.75,6.93,hors_arene
3.25,-18.75,6.93,hors_arene
3.75,-18.75,6.93,hors_arene
4.25,-18.75,6.93,hors_arene
4.75,-18.75,6.93,hors_arene
5.25,-18.75,6.93,hors_arene
5.75,-18.75,6.93,hors_arene
6.25,-18.75,6.93,hors_arene
6.75,-18.75,6.93,hors_arene
7.25,-18.75,6.93,hors_arene
7.75,-18.75,6.93,hors_arene
8.25,-18.75,6.93,hors_arene
8.75,-18.75,6.93,hors_arene
9.25,-18.75,6.93,hors_arene
9.75,-18.75,6.93,hors_arene
