carte,col,lig,niveau,composante,x,y,z,h_m,v,e,nb_visibles,d_arme_forte_m,d_arme_m,d_objectif_m,d_couvert_m,r_prox,m_prox,h_n,v_n,e_n,r_n,m_n,score
streets,-5,-40,0,0,-2.25,-19.75,0.90,0.336,0.000,0.000,0,21.77,10.54,5.15,0.00,0.742,1.000,0.540,0.000,0.000,0.696,1.000,0.451
streets,-4,-40,0,0,-1.75,-19.75,0.51,-0.031,0.000,0.000,0,21.59,10.36,4.97,0.00,0.752,1.000,0.322,0.000,0.000,0.710,1.000,0.389
streets,-3,-40,0,0,-1.25,-19.75,0.51,-0.012,0.000,0.000,0,21.47,10.24,4.85,0.00,0.757,1.000,0.334,0.000,0.000,0.718,1.000,0.394
streets,-2,-40,0,0,-0.75,-19.75,0.51,0.004,0.000,0.000,0,21.37,10.12,4.75,0.00,0.763,1.000,0.343,0.000,0.000,0.725,1.000,0.398
streets,-1,-40,0,0,-0.25,-19.75,0.51,0.016,0.000,0.000,0,21.48,10.01,4.87,0.00,0.757,1.000,0.350,0.000,0.000,0.717,1.000,0.398
streets,0,-40,0,0,0.25,-19.75,0.51,0.019,0.000,0.000,0,21.36,9.89,4.76,0.00,0.762,1.000,0.352,0.000,0.000,0.725,1.000,0.401
streets,1,-40,0,0,0.75,-19.75,0.51,0.016,0.000,0.000,0,21.24,9.77,4.64,0.00,0.768,1.000,0.350,0.000,0.000,0.733,1.000,0.402
streets,2,-40,0,0,1.25,-19.75,0.51,0.005,0.000,0.000,0,21.36,9.65,4.76,0.00,0.762,1.000,0.344,0.000,0.000,0.725,1.000,0.398
streets,3,-40,0,0,1.75,-19.75,0.51,-0.014,0.000,0.000,0,21.48,9.77,4.88,0.00,0.756,1.000,0.332,0.000,0.000,0.716,1.000,0.393
streets,-5,-39,0,0,-2.25,-19.25,0.52,-0.021,0.000,0.000,0,21.21,9.98,4.59,0.00,0.771,1.000,0.328,0.000,0.000,0.737,1.000,0.396
streets,-4,-39,0,0,-1.75,-19.25,0.51,-0.014,0.000,0.000,0,21.09,9.86,4.47,0.00,0.777,1.000,0.332,0.000,0.000,0.746,1.000,0.399
streets,-3,-39,0,0,-1.25,-19.25,0.51,0.005,0.000,0.000,0,20.97,9.74,4.35,0.00,0.782,1.000,0.344,0.000,0.000,0.755,1.000,0.404
streets,-2,-39,0,0,-0.75,-19.25,0.51,0.021,0.000,0.000,0,20.87,9.64,4.25,0.00,0.788,1.000,0.353,0.000,0.000,0.762,1.000,0.408
streets,-1,-39,0,0,-0.25,-19.25,0.51,0.032,0.000,0.000,0,20.98,9.51,4.37,0.00,0.782,1.000,0.360,0.000,0.000,0.753,1.000,0.409
streets,0,-39,0,0,0.25,-19.25,0.51,0.034,0.000,0.000,0,20.86,9.39,4.26,0.00,0.787,1.000,0.361,0.000,0.000,0.761,1.000,0.411
streets,1,-39,0,0,0.75,-19.25,0.51,0.031,0.000,0.000,0,20.74,9.27,4.14,0.00,0.793,1.000,0.360,0.000,0.000,0.770,1.000,0.412
streets,2,-39,0,0,1.25,-19.25,0.51,0.019,0.000,0.000,0,20.86,9.15,4.26,0.00,0.787,1.000,0.352,0.000,0.000,0.761,1.000,0.408
streets,3,-39,0,0,1.75,-19.25,0.51,-0.006,0.000,0.000,0,20.98,9.27,4.38,0.00,0.781,1.000,0.337,0.000,0.000,0.753,1.000,0.402
streets,-5,-38,0,0,-2.25,-18.75,0.52,0.002,0.000,0.000,0,20.71,9.48,4.09,0.00,0.796,1.000,0.342,0.000,0.000,0.774,1.000,0.407
streets,-4,-38,0,0,-1.75,-18.75,0.51,0.007,0.000,0.000,0,20.59,9.36,3.97,0.00,0.802,1.000,0.345,0.000,0.000,0.783,1.000,0.410
streets,-3,-38,0,0,-1.25,-18.75,0.51,0.025,0.000,0.000,0,20.47,9.24,3.85,0.00,0.807,1.000,0.356,0.000,0.000,0.791,1.000,0.415
streets,-2,-38,0,0,-0.75,-18.75,0.51,0.038,0.000,0.000,0,20.37,9.14,3.75,0.00,0.813,1.000,0.364,0.000,0.000,0.799,1.000,0.419
streets,-1,-38,0,0,-0.25,-18.75,0.51,0.046,0.000,0.000,0,20.48,9.01,3.87,0.00,0.807,1.000,0.368,0.000,0.000,0.790,1.000,0.418
streets,0,-38,0,0,0.25,-18.75,0.51,0.049,0.000,0.000,0,20.36,8.89,3.76,0.00,0.812,1.000,0.370,0.000,0.000,0.798,1.000,0.421
streets,1,-38,0,0,0.75,-18.75,0.51,0.045,0.000,0.000,0,20.24,8.77,3.64,0.00,0.818,1.000,0.368,0.000,0.000,0.807,1.000,0.422
streets,2,-38,0,0,1.25,-18.75,0.51,0.030,0.000,0.000,0,20.36,8.65,3.76,0.00,0.812,1.000,0.359,0.000,0.000,0.798,1.000,0.417
streets,3,-38,0,0,1.75,-18.75,0.51,0.001,0.000,0.000,0,20.48,8.77,3.88,0.00,0.806,1.000,0.342,0.000,0.000,0.789,1.000,0.410
streets,-14,-37,0,1,-6.75,-18.25,0.90,-0.026,0.034,0.250,26,24.45,12.61,2.74,3.04,0.863,0.747,0.325,0.171,0.310,0.873,0.049,0.267
streets,-13,-37,0,1,-6.25,-18.25,0.90,0.029,0.034,0.250,26,24.34,12.50,2.62,2.54,0.869,0.789,0.358,0.171,0.310,0.882,0.206,0.302
streets,-12,-37,0,1,-5.75,-18.25,0.90,0.073,0.035,0.306,27,24.45,12.61,2.50,1.62,0.875,0.865,0.384,0.178,0.379,0.890,0.493,0.346
streets,-11,-37,0,1,-5.25,-18.25,0.90,0.108,0.031,0.278,24,24.57,12.72,2.62,1.54,0.869,0.872,0.405,0.158,0.345,0.882,0.519,0.355
streets,-10,-37,0,1,-4.75,-18.25,0.90,0.165,0.027,0.222,21,24.69,12.84,2.74,1.04,0.863,0.914,0.439,0.138,0.276,0.873,0.676,0.394
streets,-9,-37,0,1,-4.25,-18.25,0.90,0.226,0.023,0.194,18,24.81,12.96,2.94,0.76,0.853,0.937,0.475,0.118,0.241,0.858,0.762,0.416
streets,-8,-37,0,1,-3.75,-18.25,0.63,-0.005,0.012,0.194,9,25.13,13.28,3.26,7.30,0.837,0.392,0.338,0.059,0.241,0.834,0.000,0.244
streets,-7,-37,0,1,-3.25,-18.25,0.51,-0.083,0.009,0.139,7,25.56,13.71,3.69,7.73,0.815,0.356,0.292,0.046,0.172,0.803,0.000,0.232
streets,-5,-37,0,0,-2.25,-18.25,0.51,-0.001,0.000,0.000,0,20.22,8.99,3.67,0.00,0.816,1.000,0.340,0.000,0.000,0.804,1.000,0.413
streets,-4,-37,0,0,-1.75,-18.25,0.51,0.026,0.000,0.000,0,20.09,8.86,3.47,0.00,0.827,1.000,0.356,0.000,0.000,0.819,1.000,0.421
streets,-3,-37,0,0,-1.25,-18.25,0.51,0.043,0.000,0.000,0,19.97,8.74,3.35,0.00,0.832,1.000,0.366,0.000,0.000,0.828,1.000,0.426
