col,lig,centre_x,centre_y,kills_depuis,morts_dedans,portee_mediane_m,denivele_median_m,matchs_kills,matchs_presence,matchs_distincts,occupation_gagnants_ms,occupation_perdants_ms
-47,-2,-23.250,-0.750,0,1,0.000,0.000,1,0,1,0.000,0.000
-47,-1,-23.250,-0.250,0,0,0.000,0.000,0,3,3,1000.000,400.000
-47,0,-23.250,0.250,0,0,0.000,0.000,0,4,4,1000.000,0.000
-46,-2,-22.750,-0.750,0,0,0.000,0.000,0,4,4,1600.000,200.000
-46,-1,-22.750,-0.250,0,0,0.000,0.000,0,3,3,900.000,100.000
-46,0,-22.750,0.250,0,1,0.000,0.000,1,4,5,900.000,0.000
-46,1,-22.750,0.750,0,2,0.000,0.000,2,4,6,2700.000,400.000
-45,-4,-22.250,-1.750,1,0,0.312,0.239,1,0,1,0.000,0.000
-45,-3,-22.250,-1.250,0,1,0.000,0.000,1,4,5,1500.000,500.000
-45,-2,-22.250,-0.750,0,1,0.000,0.000,1,3,4,1000.000,200.000
-45,-1,-22.250,-0.250,1,1,0.962,0.000,2,3,5,600.000,0.000
-45,0,-22.250,0.250,0,0,0.000,0.000,0,3,3,2300.000,0.000
-45,1,-22.250,0.750,2,0,1.334,-0.102,2,4,6,1700.000,200.000
-45,2,-22.250,1.250,0,1,0.000,0.000,1,3,4,1500.000,400.000
-44,-10,-21.750,-4.750,0,1,0.000,0.000,1,0,1,0.000,0.000
-44,-9,-21.750,-4.250,0,0,0.000,0.000,0,1,1,200.000,0.000
-44,-8,-21.750,-3.750,0,2,0.000,0.000,1,1,2,2700.000,0.000
-44,-4,-21.750,-1.750,0,2,0.000,0.000,2,0,2,0.000,0.000
-44,-3,-21.750,-1.250,1,0,2.903,0.203,1,4,5,1100.000,400.000
-44,-2,-21.750,-0.750,0,0,0.000,0.000,0,3,3,2200.000,0.000
-44,-1,-21.750,-0.250,0,0,0.000,0.000,0,1,1,1800.000,0.000
-44,0,-21.750,0.250,0,0,0.000,0.000,0,1,1,4600.000,0.000
-44,1,-21.750,0.750,1,0,4.218,-0.203,1,4,5,1300.000,200.000
-44,2,-21.750,1.250,2,2,0.039,0.000,1,4,5,1700.000,200.000
-43,-11,-21.250,-5.250,0,0,0.000,0.000,0,3,3,1600.000,500.000
-43,-10,-21.250,-4.750,0,0,0.000,0.000,0,5,5,700.000,300.000
-43,-9,-21.250,-4.250,0,1,0.000,0.000,1,5,6,4600.000,2200.000
-43,-8,-21.250,-3.750,0,0,0.000,0.000,0,3,3,2000.000,800.000
-43,-4,-21.250,-1.750,1,1,2.326,0.203,2,1,3,0.000,100.000
-43,-3,-21.250,-1.250,1,1,9.118,-0.460,2,4,6,1600.000,200.000
-43,-2,-21.250,-0.750,0,0,0.000,0.000,0,3,3,1500.000,0.000
-43,1,-21.250,0.750,0,0,0.000,0.000,0,2,2,800.000,0.000
-43,2,-21.250,1.250,0,0,0.000,0.000,0,4,4,2300.000,400.000
-43,3,-21.250,1.750,0,0,0.000,0.000,0,1,1,200.000,0.000
-43,7,-21.250,3.750,0,1,0.000,0.000,1,4,5,4400.000,300.000
-43,8,-21.250,4.250,0,1,0.000,0.000,1,2,3,1000.000,200.000
-43,9,-21.250,4.750,1,0,3.954,0.832,1,3,4,2200.000,0.000
-43,10,-21.250,5.250,0,0,0.000,0.000,0,4,4,3400.000,0.000
-42,-11,-20.750,-5.250,0,0,0.000,0.000,0,4,4,2900.000,2100.000
-42,-10,-20.750,-4.750,0,0,0.000,0.000,0,5,5,1500.000,300.000
-42,-9,-20.750,-4.250,1,0,3.834,0.212,1,4,5,1300.000,300.000
-42,-8,-20.750,-3.750,0,0,0.000,0.000,0,3,3,600.000,700.000
-42,-7,-20.750,-3.250,0,1,0.000,0.000,1,0,1,0.000,0.000
-42,-5,-20.750,-2.250,0,1,0.000,0.000,1,0,1,0.000,0.000
-42,-4,-20.750,-1.750,0,0,0.000,0.000,0,2,2,300.000,200.000
-42,-3,-20.750,-1.250,0,0,0.000,0.000,0,4,4,700.000,400.000
-42,-2,-20.750,-0.750,0,0,0.000,0.000,0,5,5,3400.000,1200.000
-42,1,-20.750,0.750,0,1,0.000,0.000,1,5,6,2100.000,300.000
-42,2,-20.750,1.250,1,1,5.319,-1.380,2,3,5,1000.000,300.000
-42,3,-20.750,1.750,0,0,0.000,0.000,0,1,1,200.000,0.000
-42,4,-20.750,2.250,0,0,0.000,0.000,0,1,1,300.000,0.000
-42,5,-20.750,2.750,0,0,0.000,0.000,0,2,2,0.000,1200.000
-42,6,-20.750,3.250,0,0,0.000,0.000,0,2,2,300.000,400.000
-42,7,-20.750,3.750,0,0,0.000,0.000,0,5,5,2900.000,200.000
-42,8,-20.750,4.250,0,0,0.000,0.000,0,4,4,2200.000,300.000
-42,9,-20.750,4.750,0,0,0.000,0.000,0,4,4,1800.000,0.000
-42,10,-20.750,5.250,0,0,0.000,0.000,0,3,3,2300.000,0.000
-41,-11,-20.250,-5.250,1,1,0.612,-0.469,1,2,3,2500.000,200.000
-41,-10,-20.250,-4.750,0,0,0.000,0.000,0,5,5,1200.000,600.000
-41,-9,-20.250,-4.250,0,0,0.000,0.000,0,5,5,1900.000,300.000
-41,-8,-20.250,-3.750,0,1,0.000,0.000,1,4,5,1500.000,700.000
-41,-7,-20.250,-3.250,1,0,0.411,-0.203,1,1,2,0.000,200.000
-41,-6,-20.250,-2.750,1,1,1.922,-0.062,2,1,3,0.000,100.000
-41,-5,-20.250,-2.250,0,0,0.000,0.000,0,3,3,300.000,400.000
-41,-4,-20.250,-1.750,1,0,2.444,1.884,1,3,4,400.000,400.000
-41,-3,-20.250,-1.250,0,0,0.000,0.000,0,5,5,900.000,600.000
-41,-2,-20.250,-0.750,2,1,2.187,0.261,3,5,8,3000.000,200.000
-41,-1,-20.250,-0.250,0,1,0.000,0.000,1,5,6,1400.000,600.000
