col,lig,centre_x,centre_y,kills_depuis,morts_dedans,portee_mediane_m,denivele_median_m,matchs_kills,matchs_presence,matchs_distincts,occupation_gagnants_ms,occupation_perdants_ms
-1393,-204,-696.250,-101.750,0,0,0.000,0.000,0,1,1,0.000,100.000
-52,2,-25.750,1.250,0,0,0.000,0.000,0,1,1,500.000,0.000
-52,8,-25.750,4.250,0,1,0.000,0.000,1,0,1,0.000,0.000
-52,9,-25.750,4.750,1,0,3.188,1.423,1,0,1,0.000,0.000
-52,10,-25.750,5.250,0,0,0.000,0.000,0,1,1,0.000,100.000
-51,1,-25.250,0.750,0,0,0.000,0.000,0,1,1,100.000,0.000
-51,2,-25.250,1.250,0,0,0.000,0.000,0,1,1,500.000,0.000
-51,3,-25.250,1.750,0,0,0.000,0.000,0,2,2,100.000,300.000
-51,4,-25.250,2.250,0,0,0.000,0.000,0,1,1,600.000,0.000
-51,7,-25.250,3.750,0,0,0.000,0.000,0,1,1,0.000,300.000
-51,8,-25.250,4.250,0,0,0.000,0.000,0,1,1,0.000,300.000
-51,9,-25.250,4.750,0,0,0.000,0.000,0,1,1,0.000,200.000
-51,10,-25.250,5.250,0,0,0.000,0.000,0,1,1,0.000,400.000
-51,11,-25.250,5.750,0,0,0.000,0.000,0,1,1,0.000,400.000
-51,12,-25.250,6.250,0,0,0.000,0.000,0,1,1,0.000,100.000
-51,14,-25.250,7.250,0,0,0.000,0.000,0,3,3,5000.000,5800.000
-51,15,-25.250,7.750,0,0,0.000,0.000,0,3,3,1100.000,4600.000
-50,-5,-24.750,-2.250,2,2,0.134,0.000,1,0,1,0.000,0.000
-50,-3,-24.750,-1.250,0,0,0.000,0.000,0,1,1,0.000,300.000
-50,-2,-24.750,-0.750,0,1,0.000,0.000,1,1,2,0.000,200.000
-50,-1,-24.750,-0.250,0,0,0.000,0.000,0,3,3,500.000,600.000
-50,0,-24.750,0.250,0,0,0.000,0.000,0,2,2,200.000,300.000
-50,1,-24.750,0.750,0,1,0.000,0.000,1,3,4,600.000,300.000
-50,2,-24.750,1.250,0,1,0.000,0.000,1,2,3,100.000,300.000
-50,3,-24.750,1.750,1,0,5.201,-0.009,1,2,3,500.000,100.000
-50,4,-24.750,2.250,0,0,0.000,0.000,0,2,2,800.000,500.000
-50,5,-24.750,2.750,0,0,0.000,0.000,0,2,2,1200.000,500.000
-50,6,-24.750,3.250,1,0,3.842,0.000,1,2,3,1100.000,700.000
-50,7,-24.750,3.750,2,0,5.003,0.685,2,2,4,600.000,700.000
-50,8,-24.750,4.250,0,0,0.000,0.000,0,2,2,200.000,1000.000
-50,9,-24.750,4.750,0,0,0.000,0.000,0,2,2,500.000,800.000
-50,10,-24.750,5.250,0,0,0.000,0.000,0,2,2,300.000,200.000
-50,11,-24.750,5.750,0,0,0.000,0.000,0,2,2,200.000,100.000
-50,12,-24.750,6.250,0,0,0.000,0.000,0,1,1,0.000,500.000
-50,13,-24.750,6.750,0,0,0.000,0.000,0,2,2,400.000,300.000
-50,14,-24.750,7.250,0,1,0.000,0.000,1,3,4,1000.000,1800.000
-50,15,-24.750,7.750,0,0,0.000,0.000,0,3,3,400.000,1100.000
-49,-4,-24.250,-1.750,0,0,0.000,0.000,0,1,1,0.000,200.000
-49,-3,-24.250,-1.250,0,0,0.000,0.000,0,1,1,200.000,0.000
-49,-2,-24.250,-0.750,0,0,0.000,0.000,0,3,3,900.000,400.000
-49,-1,-24.250,-0.250,0,0,0.000,0.000,0,3,3,500.000,200.000
-49,0,-24.250,0.250,0,1,0.000,0.000,1,0,1,0.000,0.000
-49,1,-24.250,0.750,0,0,0.000,0.000,0,3,3,400.000,700.000
-49,2,-24.250,1.250,0,0,0.000,0.000,0,3,3,800.000,500.000
-49,3,-24.250,1.750,0,0,0.000,0.000,0,3,3,1300.000,100.000
-49,4,-24.250,2.250,0,0,0.000,0.000,0,3,3,700.000,100.000
-49,5,-24.250,2.750,1,1,2.697,0.000,2,3,5,800.000,400.000
-49,6,-24.250,3.250,0,0,0.000,0.000,0,3,3,300.000,500.000
-49,7,-24.250,3.750,0,0,0.000,0.000,0,3,3,600.000,800.000
-49,8,-24.250,4.250,0,0,0.000,0.000,0,3,3,800.000,1000.000
-49,9,-24.250,4.750,0,1,0.000,0.000,1,2,3,300.000,0.000
-49,10,-24.250,5.250,1,0,7.896,3.022,1,2,3,300.000,400.000
-49,11,-24.250,5.750,0,0,0.000,0.000,0,2,2,400.000,600.000
-49,12,-24.250,6.250,0,0,0.000,0.000,0,2,2,200.000,600.000
-49,13,-24.250,6.750,0,0,0.000,0.000,0,2,2,400.000,500.000
-49,14,-24.250,7.250,0,0,0.000,0.000,0,3,3,500.000,2500.000
-49,15,-24.250,7.750,0,0,0.000,0.000,0,3,3,400.000,600.000
-48,-5,-23.750,-2.250,0,0,0.000,0.000,0,2,2,400.000,200.000
-48,-4,-23.750,-1.750,0,0,0.000,0.000,0,2,2,200.000,100.000
-48,-3,-23.750,-1.250,0,0,0.000,0.000,0,1,1,100.000,0.000
-48,-2,-23.750,-0.750,0,0,0.000,0.000,0,3,3,500.000,200.000
-48,-1,-23.750,-0.250,0,0,0.000,0.000,0,3,3,600.000,300.000
-48,0,-23.750,0.250,0,0,0.000,0.000,0,1,1,0.000,600.000
-48,1,-23.750,0.750,2,0,3.465,-0.061,2,2,4,700.000,300.000
-48,2,-23.750,1.250,0,0,0.000,0.000,0,2,2,800.000,400.000
-48,3,-23.750,1.750,0,0,0.000,0.000,0,2,2,300.000,200.000
-48,4,-23.750,2.250,0,0,0.000,0.000,0,2,2,500.000,200.000
-48,5,-23.750,2.750,0,0,0.000,0.000,0,1,1,0.000,100.000
-48,6,-23.750,3.250,0,1,0.000,0.000,1,1,2,0.000,600.000
-48,7,-23.750,3.750,0,0,0.000,0.000,0,2,2,300.000,200.000
