col,lig,centre_x,centre_y,kills_depuis,morts_dedans,portee_mediane_m,denivele_median_m,matchs_kills,matchs_presence,matchs_distincts,occupation_gagnants_ms,occupation_perdants_ms
-45,23,-22.250,11.750,1,0,27.305,-0.377,1,0,1,0.000,0.000
-44,25,-21.750,12.750,1,1,14.209,1.082,2,0,2,0.000,0.000
-43,30,-21.250,15.250,0,1,0.000,0.000,1,0,1,0.000,0.000
-43,39,-21.250,19.750,1,0,11.252,1.655,1,0,1,0.000,0.000
-42,23,-20.750,11.750,0,1,0.000,0.000,1,0,1,0.000,0.000
-42,30,-20.750,15.250,1,0,18.104,-0.197,1,0,1,0.000,0.000
-42,31,-20.750,15.750,1,1,19.849,-0.197,2,0,2,0.000,0.000
-42,32,-20.750,16.250,1,0,8.238,1.639,1,0,1,0.000,0.000
-42,35,-20.750,17.750,0,1,0.000,0.000,1,0,1,0.000,0.000
-41,24,-20.250,12.250,1,0,0.407,-0.082,1,0,1,0.000,0.000
-41,25,-20.250,12.750,0,1,0.000,0.000,1,0,1,0.000,0.000
-41,26,-20.250,13.250,1,0,4.328,-0.410,1,0,1,0.000,0.000
-41,32,-20.250,16.250,0,1,0.000,0.000,1,0,1,0.000,0.000
-40,6,-19.750,3.250,1,0,5.366,1.344,1,0,1,0.000,0.000
-39,-1,-19.250,-0.250,1,0,11.370,-2.163,1,0,1,0.000,0.000
-39,1,-19.250,0.750,1,1,0.064,-0.033,1,0,1,0.000,0.000
-39,2,-19.250,1.250,0,2,0.000,0.000,2,0,2,0.000,0.000
-39,3,-19.250,1.750,0,2,0.000,0.000,2,0,2,0.000,0.000
-39,6,-19.250,3.250,1,0,5.539,-1.114,1,0,1,0.000,0.000
-39,21,-19.250,10.750,0,1,0.000,0.000,1,0,1,0.000,0.000
-39,24,-19.250,12.250,2,1,13.843,-0.615,2,0,2,0.000,0.000
-39,36,-19.250,18.250,1,0,3.611,0.098,1,0,1,0.000,0.000
-39,38,-19.250,19.250,1,0,2.186,0.836,1,0,1,0.000,0.000
-38,-1,-18.750,-0.250,1,0,1.916,-1.033,1,0,1,0.000,0.000
-38,0,-18.750,0.250,0,1,0.000,0.000,1,0,1,0.000,0.000
-38,3,-18.750,1.750,0,1,0.000,0.000,1,0,1,0.000,0.000
-38,4,-18.750,2.250,0,1,0.000,0.000,1,0,1,0.000,0.000
-38,9,-18.750,4.750,0,1,0.000,0.000,1,0,1,0.000,0.000
-38,19,-18.750,9.750,1,0,3.984,-0.688,1,0,1,0.000,0.000
-38,21,-18.750,10.750,0,2,0.000,0.000,1,0,1,0.000,0.000
-38,22,-18.750,11.250,1,1,0.193,0.049,1,0,1,0.000,0.000
-38,24,-18.750,12.250,1,0,10.724,2.868,1,0,1,0.000,0.000
-38,26,-18.750,13.250,1,1,4.810,-1.311,2,0,2,0.000,0.000
-38,35,-18.750,17.750,0,1,0.000,0.000,1,0,1,0.000,0.000
-38,36,-18.750,18.250,1,0,20.344,-0.443,1,0,1,0.000,0.000
-38,38,-18.750,19.250,1,0,1.507,0.098,1,0,1,0.000,0.000
-37,-3,-18.250,-1.250,1,0,5.901,-0.115,1,0,1,0.000,0.000
-37,-1,-18.250,-0.250,1,0,2.081,-0.574,1,0,1,0.000,0.000
-37,1,-18.250,0.750,1,0,4.545,-0.574,1,0,1,0.000,0.000
-37,5,-18.250,2.750,2,0,3.963,-0.844,2,0,2,0.000,0.000
-37,12,-18.250,6.250,0,1,0.000,0.000,1,0,1,0.000,0.000
-37,13,-18.250,6.750,1,0,0.283,-0.229,1,0,1,0.000,0.000
-37,15,-18.250,7.750,1,0,7.412,-1.131,1,0,1,0.000,0.000
-37,16,-18.250,8.250,1,1,11.316,3.458,2,0,2,0.000,0.000
-37,17,-18.250,8.750,1,1,9.267,-1.508,2,0,2,0.000,0.000
-37,20,-18.250,10.250,2,1,4.015,1.073,2,0,2,0.000,0.000
-37,21,-18.250,10.750,0,1,0.000,0.000,1,0,1,0.000,0.000
-37,22,-18.250,11.250,1,0,6.108,0.705,1,0,1,0.000,0.000
-37,23,-18.250,11.750,1,0,4.048,0.606,1,0,1,0.000,0.000
-37,24,-18.250,12.250,2,0,5.227,0.082,2,0,2,0.000,0.000
-37,27,-18.250,13.750,1,0,4.896,-0.721,1,0,1,0.000,0.000
-37,29,-18.250,14.750,1,0,12.551,2.245,1,0,1,0.000,0.000
-37,32,-18.250,16.250,2,0,5.455,0.729,2,0,2,0.000,0.000
-37,33,-18.250,16.750,0,1,0.000,0.000,1,0,1,0.000,0.000
