col,lig,centre_x,centre_y,kills_depuis,morts_dedans,portee_mediane_m,denivele_median_m,matchs_kills,matchs_presence,matchs_distincts,occupation_gagnants_ms,occupation_perdants_ms
96,-234,48.250,-116.750,0,0,0.000,0.000,0,1,1,0.000,100.000
97,-234,48.750,-116.750,0,0,0.000,0.000,0,2,2,500.000,300.000
97,-233,48.750,-116.250,0,0,0.000,0.000,0,2,2,600.000,500.000
97,-232,48.750,-115.750,0,0,0.000,0.000,0,2,2,200.000,400.000
97,-231,48.750,-115.250,0,0,0.000,0.000,0,2,2,100.000,400.000
97,-230,48.750,-114.750,0,0,0.000,0.000,0,2,2,300.000,500.000
97,-229,48.750,-114.250,0,0,0.000,0.000,0,2,2,0.000,400.000
97,-228,48.750,-113.750,0,0,0.000,0.000,0,1,1,0.000,300.000
97,-227,48.750,-113.250,0,0,0.000,0.000,0,2,2,300.000,200.000
97,-226,48.750,-112.750,0,0,0.000,0.000,0,1,1,200.000,0.000
97,-224,48.750,-111.750,0,0,0.000,0.000,0,1,1,500.000,0.000
98,-234,49.250,-116.750,0,0,0.000,0.000,0,1,1,200.000,300.000
98,-233,49.250,-116.250,0,0,0.000,0.000,0,2,2,500.000,200.000
98,-232,49.250,-115.750,0,0,0.000,0.000,0,2,2,200.000,200.000
98,-231,49.250,-115.250,0,0,0.000,0.000,0,2,2,100.000,600.000
98,-230,49.250,-114.750,0,0,0.000,0.000,0,2,2,200.000,800.000
98,-229,49.250,-114.250,0,0,0.000,0.000,0,2,2,500.000,700.000
98,-228,49.250,-113.750,0,0,0.000,0.000,0,2,2,500.000,700.000
98,-227,49.250,-113.250,0,0,0.000,0.000,0,2,2,200.000,700.000
98,-226,49.250,-112.750,0,0,0.000,0.000,0,1,1,0.000,300.000
98,-225,49.250,-112.250,0,0,0.000,0.000,0,1,1,300.000,0.000
98,-224,49.250,-111.750,0,0,0.000,0.000,0,1,1,1500.000,0.000
98,-223,49.250,-111.250,0,0,0.000,0.000,0,1,1,1500.000,0.000
99,-234,49.750,-116.750,0,0,0.000,0.000,0,1,1,300.000,400.000
99,-233,49.750,-116.250,0,0,0.000,0.000,0,1,1,300.000,400.000
99,-232,49.750,-115.750,0,0,0.000,0.000,0,2,2,100.000,400.000
99,-231,49.750,-115.250,0,0,0.000,0.000,0,2,2,200.000,100.000
99,-230,49.750,-114.750,0,0,0.000,0.000,0,1,1,200.000,0.000
99,-229,49.750,-114.250,0,0,0.000,0.000,0,1,1,200.000,0.000
99,-228,49.750,-113.750,0,0,0.000,0.000,0,1,1,200.000,0.000
99,-227,49.750,-113.250,0,0,0.000,0.000,0,1,1,200.000,300.000
99,-226,49.750,-112.750,0,0,0.000,0.000,0,2,2,500.000,600.000
99,-225,49.750,-112.250,0,0,0.000,0.000,0,2,2,400.000,600.000
99,-224,49.750,-111.750,0,0,0.000,0.000,0,1,1,400.000,0.000
99,-223,49.750,-111.250,0,0,0.000,0.000,0,1,1,300.000,0.000
100,-233,50.250,-116.250,0,0,0.000,0.000,0,1,1,200.000,0.000
100,-232,50.250,-115.750,0,0,0.000,0.000,0,1,1,200.000,0.000
100,-231,50.250,-115.250,1,0,5.219,-0.508,1,0,1,0.000,0.000
100,-230,50.250,-114.750,0,0,0.000,0.000,0,1,1,500.000,200.000
100,-229,50.250,-114.250,0,0,0.000,0.000,0,1,1,300.000,200.000
100,-228,50.250,-113.750,0,0,0.000,0.000,0,1,1,200.000,0.000
100,-227,50.250,-113.250,1,0,2.446,0.000,1,1,2,100.000,0.000
100,-226,50.250,-112.750,0,0,0.000,0.000,0,1,1,800.000,300.000
100,-225,50.250,-112.250,0,0,0.000,0.000,0,2,2,500.000,400.000
100,-224,50.250,-111.750,0,0,0.000,0.000,0,2,2,200.000,800.000
100,-223,50.250,-111.250,1,0,6.776,0.000,1,2,3,600.000,300.000
100,-222,50.250,-110.750,0,0,0.000,0.000,0,2,2,1000.000,200.000
100,-221,50.250,-110.250,1,0,0.303,-0.100,1,2,3,600.000,100.000
100,-220,50.250,-109.750,0,0,0.000,0.000,0,2,2,700.000,200.000
100,-219,50.250,-109.250,0,0,0.000,0.000,0,1,1,0.000,200.000
100,-216,50.250,-107.750,1,0,4.697,-0.336,1,1,2,0.000,200.000
100,-215,50.250,-107.250,0,0,0.000,0.000,0,1,1,0.000,200.000
100,-214,50.250,-106.750,0,0,0.000,0.000,0,1,1,0.000,200.000
100,-213,50.250,-106.250,1,0,3.091,1.705,1,1,2,0.000,100.000
100,-210,50.250,-104.750,1,0,1.266,0.000,1,0,1,0.000,0.000
100,-208,50.250,-103.750,1,0,20.072,2.022,1,0,1,0.000,0.000
100,-207,50.250,-103.250,1,1,0.267,0.000,1,0,1,0.000,0.000
100,-204,50.250,-101.750,1,0,6.299,2.040,1,0,1,0.000,0.000
101,-233,50.750,-116.250,0,0,0.000,0.000,0,2,2,400.000,0.000
101,-228,50.750,-113.750,1,0,0.280,-0.082,1,1,2,0.000,200.000
101,-227,50.750,-113.250,0,2,0.000,0.000,2,1,3,0.000,200.000
101,-226,50.750,-112.750,0,0,0.000,0.000,0,1,1,0.000,100.000
101,-225,50.750,-112.250,0,1,0.000,0.000,1,1,2,200.000,400.000
101,-224,50.750,-111.750,0,0,0.000,0.000,0,2,2,600.000,400.000
101,-223,50.750,-111.250,0,1,0.000,0.000,1,2,3,0.000,500.000
101,-222,50.750,-110.750,0,0,0.000,0.000,0,2,2,0.000,400.000
101,-221,50.750,-110.250,1,1,5.745,-0.091,2,2,4,200.000,200.000
101,-220,50.750,-109.750,0,2,0.000,0.000,1,2,3,200.000,200.000
101,-219,50.750,-109.250,0,0,0.000,0.000,0,2,2,300.000,100.000
101,-218,50.750,-108.750,1,2,12.100,2.321,2,2,4,500.000,600.000
101,-217,50.750,-108.250,0,1,0.000,0.000,1,2,3,700.000,600.000
