col,lig,centre_x,centre_y,kills_depuis,morts_dedans,portee_mediane_m,denivele_median_m,matchs_kills,matchs_presence,matchs_distincts,occupation_gagnants_ms,occupation_perdants_ms
-31,11,-15.250,5.750,2,2,3.988,1.086,4,0,4,0.000,0.000
-31,12,-15.250,6.250,0,1,0.000,0.000,1,0,1,0.000,0.000
-31,13,-15.250,6.750,1,1,6.135,-1.448,2,0,2,0.000,0.000
-30,9,-14.750,4.750,0,1,0.000,0.000,1,0,1,0.000,0.000
-30,10,-14.750,5.250,0,1,0.000,0.000,1,2,3,500.000,1600.000
-30,11,-14.750,5.750,1,1,0.345,0.000,2,3,5,1800.000,1300.000
-30,12,-14.750,6.250,1,1,1.738,-0.097,2,2,4,300.000,200.000
-30,13,-14.750,6.750,2,1,5.933,-1.950,3,3,6,3900.000,3700.000
-30,14,-14.750,7.250,3,2,5.765,1.468,4,1,5,200.000,300.000
-30,15,-14.750,7.750,1,4,0.818,0.406,4,2,6,300.000,100.000
-30,16,-14.750,8.250,0,1,0.000,0.000,1,1,2,0.000,400.000
-30,17,-14.750,8.750,1,0,1.104,-0.357,1,2,3,200.000,400.000
-30,18,-14.750,9.250,0,1,0.000,0.000,1,3,4,300.000,500.000
-30,19,-14.750,9.750,0,2,0.000,0.000,2,3,5,300.000,500.000
-30,20,-14.750,10.250,1,1,7.560,-1.477,2,3,5,500.000,500.000
-30,21,-14.750,10.750,1,0,1.590,-0.212,1,3,4,600.000,700.000
-30,22,-14.750,11.250,2,2,1.589,0.116,3,3,6,300.000,1100.000
-30,23,-14.750,11.750,0,0,0.000,0.000,0,3,3,500.000,1300.000
-30,24,-14.750,12.250,4,3,2.961,0.000,4,3,7,700.000,1100.000
-30,25,-14.750,12.750,1,1,20.006,-1.004,2,3,5,600.000,900.000
-30,26,-14.750,13.250,2,2,5.347,-2.143,3,2,5,100.000,400.000
-30,27,-14.750,13.750,0,1,0.000,0.000,1,0,1,0.000,0.000
