col,lig,centre_x,centre_y,kills_depuis,morts_dedans,portee_mediane_m,denivele_median_m,matchs_kills,matchs_presence,matchs_distincts,occupation_gagnants_ms,occupation_perdants_ms
-366,-343,-182.750,-171.250,0,0,0.000,0.000,0,1,1,25600.000,0.000
-157,-71,-78.250,-35.250,0,0,0.000,0.000,0,2,2,300.000,400.000
-157,-70,-78.250,-34.750,0,0,0.000,0.000,0,1,1,200.000,0.000
-157,-69,-78.250,-34.250,0,0,0.000,0.000,0,1,1,300.000,0.000
-156,-85,-77.750,-42.250,1,0,7.119,-2.095,1,2,3,5100.000,1100.000
-156,-84,-77.750,-41.750,0,0,0.000,0.000,0,2,2,1100.000,1100.000
-156,-83,-77.750,-41.250,2,0,1.286,0.000,2,2,4,3400.000,1400.000
-156,-82,-77.750,-40.750,0,1,0.000,0.000,1,2,3,2000.000,2000.000
-156,-81,-77.750,-40.250,0,1,0.000,0.000,1,2,3,1300.000,1800.000
-156,-80,-77.750,-39.750,0,0,0.000,0.000,0,1,1,300.000,0.000
-156,-78,-77.750,-38.750,0,0,0.000,0.000,0,1,1,100.000,0.000
-156,-77,-77.750,-38.250,1,1,13.396,0.970,2,2,3,1100.000,200.000
-156,-76,-77.750,-37.750,1,0,10.984,-1.415,1,2,2,500.000,100.000
-156,-75,-77.750,-37.250,0,1,0.000,0.000,1,1,2,100.000,0.000
-156,-74,-77.750,-36.750,0,0,0.000,0.000,0,2,2,100.000,300.000
-156,-73,-77.750,-36.250,0,0,0.000,0.000,0,2,2,200.000,500.000
-156,-72,-77.750,-35.750,0,1,0.000,0.000,1,2,2,300.000,300.000
-156,-71,-77.750,-35.250,0,0,0.000,0.000,0,2,2,400.000,300.000
-156,-70,-77.750,-34.750,1,1,6.131,1.732,1,2,3,2400.000,800.000
-156,-69,-77.750,-34.250,1,1,0.404,0.009,1,2,3,2400.000,900.000
-156,-68,-77.750,-33.750,0,0,0.000,0.000,0,2,2,400.000,400.000
-156,-67,-77.750,-33.250,0,0,0.000,0.000,0,1,1,300.000,0.000
-156,-66,-77.750,-32.750,0,0,0.000,0.000,0,1,1,200.000,0.000
-156,-65,-77.750,-32.250,0,0,0.000,0.000,0,1,1,300.000,0.000
-156,-64,-77.750,-31.750,0,0,0.000,0.000,0,1,1,200.000,0.000
-156,-63,-77.750,-31.250,1,0,10.106,0.290,1,1,2,800.000,0.000
-156,-62,-77.750,-30.750,0,0,0.000,0.000,0,1,1,1100.000,0.000
-155,-86,-77.250,-42.750,1,1,13.702,-0.299,1,2,3,300.000,0.000
-155,-85,-77.250,-42.250,1,1,0.510,-0.299,2,2,4,1000.000,0.000
-155,-84,-77.250,-41.750,0,1,0.000,0.000,1,2,3,1100.000,700.000
-155,-83,-77.250,-41.250,0,1,0.000,0.000,1,2,3,2300.000,1500.000
-155,-82,-77.250,-40.750,0,1,0.000,0.000,1,2,3,2900.000,1600.000
-155,-81,-77.250,-40.250,0,1,0.000,0.000,1,2,3,3100.000,900.000
-155,-80,-77.250,-39.750,0,1,0.000,0.000,1,2,3,400.000,1200.000
-155,-79,-77.250,-39.250,2,0,6.254,-0.213,2,2,3,700.000,200.000
-155,-78,-77.250,-38.750,0,0,0.000,0.000,0,2,2,700.000,300.000
-155,-77,-77.250,-38.250,0,0,0.000,0.000,0,2,2,1500.000,400.000
-155,-76,-77.250,-37.750,0,0,0.000,0.000,0,2,2,1400.000,600.000
-155,-75,-77.250,-37.250,1,0,4.623,1.143,1,2,3,900.000,1000.000
-155,-74,-77.250,-36.750,1,2,10.279,-2.539,3,2,5,500.000,300.000
-155,-73,-77.250,-36.250,0,1,0.000,0.000,1,1,2,500.000,0.000
-155,-72,-77.250,-35.750,0,0,0.000,0.000,0,1,1,500.000,0.000
-155,-71,-77.250,-35.250,1,0,3.994,-1.805,1,2,3,400.000,200.000
-155,-70,-77.250,-34.750,1,0,6.781,0.290,1,2,3,800.000,0.000
-155,-69,-77.250,-34.250,0,0,0.000,0.000,0,2,2,1200.000,200.000
-155,-68,-77.250,-33.750,1,1,0.404,-0.009,1,1,2,200.000,0.000
-155,-67,-77.250,-33.250,0,1,0.000,0.000,1,1,2,200.000,0.000
