col,lig,centre_x,centre_y,kills_depuis,morts_dedans,portee_mediane_m,denivele_median_m,matchs_kills,matchs_presence,matchs_distincts,occupation_gagnants_ms,occupation_perdants_ms
-27,46,-13.250,23.250,0,1,0.000,0.000,1,0,1,0.000,0.000
-27,65,-13.250,32.750,0,1,0.000,0.000,1,0,1,0.000,0.000
-24,41,-11.750,20.750,0,1,0.000,0.000,1,0,1,0.000,0.000
-24,59,-11.750,29.750,0,1,0.000,0.000,1,0,1,0.000,0.000
-22,53,-10.750,26.750,0,0,0.000,0.000,0,2,2,1900.000,400.000
-22,56,-10.750,28.250,0,0,0.000,0.000,0,5,5,800.000,3000.000
-22,57,-10.750,28.750,1,0,5.022,-0.514,1,0,1,0.000,0.000
-22,59,-10.750,29.750,1,1,4.099,-0.962,2,0,2,0.000,0.000
-22,61,-10.750,30.750,0,0,0.000,0.000,0,1,1,600.000,0.000
-22,62,-10.750,31.250,0,0,0.000,0.000,0,2,2,200.000,0.000
-22,63,-10.750,31.750,0,0,0.000,0.000,0,1,1,300.000,0.000
-22,64,-10.750,32.250,1,0,4.142,-1.219,1,1,2,100.000,300.000
-22,65,-10.750,32.750,1,0,0.325,0.280,1,1,2,500.000,200.000
-22,66,-10.750,33.250,0,0,0.000,0.000,0,1,1,300.000,0.000
-21,51,-10.250,25.750,1,0,4.298,1.040,1,0,1,0.000,0.000
-21,53,-10.250,26.750,0,1,0.000,0.000,1,2,3,800.000,300.000
-21,54,-10.250,27.250,0,0,0.000,0.000,0,6,6,3000.000,6400.000
-21,55,-10.250,27.750,0,0,0.000,0.000,0,4,4,2000.000,400.000
-21,56,-10.250,28.250,0,0,0.000,0.000,0,5,5,500.000,1800.000
-21,57,-10.250,28.750,0,0,0.000,0.000,0,4,4,800.000,500.000
-21,58,-10.250,29.250,0,0,0.000,0.000,0,5,5,1600.000,2200.000
-21,59,-10.250,29.750,1,0,6.267,3.667,1,4,5,600.000,300.000
-21,60,-10.250,30.250,0,1,0.000,0.000,1,4,5,2400.000,900.000
-21,61,-10.250,30.750,1,1,3.332,-0.984,2,3,5,700.000,0.000
-21,62,-10.250,31.250,1,0,4.957,0.011,1,3,4,1400.000,0.000
-21,63,-10.250,31.750,0,1,0.000,0.000,1,2,3,1200.000,200.000
-21,64,-10.250,32.250,0,0,0.000,0.000,0,2,2,800.000,600.000
-21,65,-10.250,32.750,0,1,0.000,0.000,1,6,7,1300.000,2800.000
-21,66,-10.250,33.250,1,1,5.812,0.324,2,3,5,2800.000,200.000
-21,67,-10.250,33.750,2,0,2.769,-0.335,2,3,5,100.000,1600.000
-20,52,-9.750,26.250,0,1,0.000,0.000,1,0,1,0.000,0.000
-20,53,-9.750,26.750,0,2,0.000,0.000,2,6,8,400.000,1400.000
-20,54,-9.750,27.250,1,1,4.785,1.174,2,6,7,500.000,1400.000
-20,55,-9.750,27.750,0,1,0.000,0.000,1,3,4,700.000,500.000
-20,56,-9.750,28.250,2,0,3.129,-0.296,2,3,5,800.000,500.000
-20,57,-9.750,28.750,2,1,10.974,-1.107,3,6,9,400.000,1900.000
-20,58,-9.750,29.250,0,1,0.000,0.000,1,6,7,1200.000,2100.000
-20,59,-9.750,29.750,1,0,4.387,-0.794,1,6,7,1600.000,1200.000
-20,60,-9.750,30.250,1,0,7.257,2.538,1,6,7,1200.000,1100.000
-20,61,-9.750,30.750,0,0,0.000,0.000,0,6,6,1200.000,2800.000
-20,62,-9.750,31.250,1,0,0.173,-0.011,1,5,6,1500.000,1900.000
-20,63,-9.750,31.750,1,0,8.717,0.302,1,5,6,900.000,2000.000
-20,64,-9.750,32.250,1,0,6.363,1.465,1,4,5,600.000,1400.000
-20,65,-9.750,32.750,0,2,0.000,0.000,2,6,8,1200.000,2600.000
-20,66,-9.750,33.250,2,1,0.648,0.006,3,5,6,2200.000,2800.000
-20,67,-9.750,33.750,0,0,0.000,0.000,0,5,5,1100.000,3200.000
-20,68,-9.750,34.250,0,0,0.000,0.000,0,1,1,0.000,1000.000
-19,50,-9.250,25.250,1,0,8.498,-1.767,1,0,1,0.000,0.000
-19,51,-9.250,25.750,0,0,0.000,0.000,0,1,1,0.000,100.000
-19,52,-9.250,26.250,0,0,0.000,0.000,0,5,5,400.000,2000.000
-19,53,-9.250,26.750,3,1,3.163,-0.403,4,6,10,700.000,2300.000
-19,54,-9.250,27.250,1,0,7.698,3.634,1,4,5,1000.000,1800.000
-19,55,-9.250,27.750,1,1,3.794,-0.771,2,4,6,1200.000,1100.000
-19,56,-9.250,28.250,2,0,4.303,-0.643,1,4,5,1200.000,1700.000
-19,57,-9.250,28.750,3,2,16.672,0.134,4,6,8,1600.000,3300.000
-19,58,-9.250,29.250,0,1,0.000,0.000,1,6,7,1400.000,2400.000
-19,59,-9.250,29.750,1,2,2.570,-0.883,3,6,9,1600.000,3800.000
-19,60,-9.250,30.250,0,0,0.000,0.000,0,6,6,2400.000,4500.000
-19,61,-9.250,30.750,1,2,3.251,-1.140,3,6,9,2100.000,6400.000
-19,62,-9.250,31.250,1,3,2.116,-0.447,4,6,10,2300.000,4500.000
-19,63,-9.250,31.750,0,1,0.000,0.000,1,6,6,2500.000,3800.000
-19,64,-9.250,32.250,1,1,5.873,1.409,2,6,8,1200.000,3100.000
-19,65,-9.250,32.750,4,1,4.797,0.017,5,6,10,1600.000,3100.000
-19,66,-9.250,33.250,1,1,4.357,1.632,2,6,7,3000.000,3700.000
-19,67,-9.250,33.750,0,1,0.000,0.000,1,5,6,1600.000,3900.000
-19,68,-9.250,34.250,0,0,0.000,0.000,0,2,2,700.000,4300.000
-18,47,-8.750,23.750,0,1,0.000,0.000,1,0,1,0.000,0.000
-18,49,-8.750,24.750,0,1,0.000,0.000,1,1,2,0.000,100.000
-18,50,-8.750,25.250,2,0,4.254,-0.168,2,1,3,0.000,200.000
-18,51,-8.750,25.750,0,1,0.000,0.000,1,3,4,0.000,1000.000
-18,52,-8.750,26.250,0,1,0.000,0.000,1,5,6,500.000,2300.000
-18,53,-8.750,26.750,1,0,0.125,0.011,1,3,4,100.000,1400.000
-18,54,-8.750,27.250,0,1,0.000,0.000,1,4,5,300.000,1700.000
-18,55,-8.750,27.750,6,2,3.515,0.106,7,5,11,1000.000,1900.000
-18,56,-8.750,28.250,5,1,2.566,0.626,5,5,10,1200.000,3900.000
-18,57,-8.750,28.750,3,3,1.801,0.414,4,6,10,3000.000,5400.000
-18,58,-8.750,29.250,2,1,2.834,0.039,3,6,8,4900.000,5300.000
-18,59,-8.750,29.750,1,0,0.364,0.045,1,6,7,3800.000,4800.000
-18,60,-8.750,30.250,0,1,0.000,0.000,1,6,7,3300.000,6700.000
-18,61,-8.750,30.750,1,1,3.411,-1.554,2,6,8,4300.000,5900.000
-18,62,-8.750,31.250,0,2,0.000,0.000,2,6,8,4200.000,6000.000
-18,63,-8.750,31.750,1,1,20.531,2.762,2,6,8,4700.000,6000.000
-18,64,-8.750,32.250,2,5,2.735,-0.129,4,6,9,6000.000,6200.000
-18,65,-8.750,32.750,2,5,1.291,0.945,6,6,11,4100.000,5300.000
-18,66,-8.750,33.250,4,1,1.766,0.341,4,6,10,3300.000,3400.000
-18,67,-8.750,33.750,3,1,7.416,1.409,4,5,9,1700.000,1600.000
-18,68,-8.750,34.250,0,0,0.000,0.000,0,3,3,600.000,600.000
