col,lig,centre_x,centre_y,kills_depuis,morts_dedans,portee_mediane_m,denivele_median_m,matchs_kills,matchs_presence,matchs_distincts,occupation_gagnants_ms,occupation_perdants_ms
-455,-218,-227.250,-108.750,0,0,0.000,0.000,0,1,1,100.000,0.000
-47,-4,-23.250,-1.750,1,0,1.307,-0.725,1,0,1,0.000,0.000
-47,-1,-23.250,-0.250,0,0,0.000,0.000,0,1,1,0.000,300.000
-47,0,-23.250,0.250,0,0,0.000,0.000,0,3,3,0.000,2200.000
-47,3,-23.250,1.750,0,1,0.000,0.000,1,0,1,0.000,0.000
-46,-6,-22.750,-2.750,0,1,0.000,0.000,1,0,1,0.000,0.000
-46,-4,-22.750,-1.750,0,1,0.000,0.000,1,0,1,0.000,0.000
-46,-3,-22.750,-1.250,1,0,11.561,-0.771,1,0,1,0.000,0.000
-46,-2,-22.750,-0.750,0,0,0.000,0.000,0,3,3,22400.000,45100.000
-46,-1,-22.750,-0.250,0,0,0.000,0.000,0,2,2,0.000,900.000
-46,0,-22.750,0.250,0,0,0.000,0.000,0,2,2,0.000,400.000
-46,1,-22.750,0.750,0,0,0.000,0.000,0,3,3,26000.000,45200.000
-46,2,-22.750,1.250,0,0,0.000,0.000,0,1,1,900.000,0.000
-46,3,-22.750,1.750,0,0,0.000,0.000,0,1,1,1200.000,0.000
-46,4,-22.750,2.250,0,0,0.000,0.000,0,1,1,500.000,0.000
-46,5,-22.750,2.750,0,1,0.000,0.000,1,1,2,700.000,0.000
-46,6,-22.750,3.250,0,0,0.000,0.000,0,1,1,1400.000,0.000
-45,-2,-22.250,-0.750,0,0,0.000,0.000,0,3,3,400.000,800.000
-45,-1,-22.250,-0.250,0,2,0.000,0.000,2,3,5,23100.000,50400.000
-45,0,-22.250,0.250,0,0,0.000,0.000,0,3,3,22500.000,46600.000
-45,1,-22.250,0.750,0,0,0.000,0.000,0,3,3,500.000,600.000
-45,3,-22.250,1.750,0,0,0.000,0.000,0,3,3,700.000,1100.000
-45,4,-22.250,2.250,0,0,0.000,0.000,0,1,1,500.000,0.000
-45,5,-22.250,2.750,0,0,0.000,0.000,0,1,1,500.000,0.000
-44,-4,-21.750,-1.750,0,0,0.000,0.000,0,3,3,0.000,4000.000
-44,-3,-21.750,-1.250,0,0,0.000,0.000,0,1,1,200.000,0.000
-44,-2,-21.750,-0.750,0,0,0.000,0.000,0,3,3,100.000,600.000
-44,-1,-21.750,-0.250,0,0,0.000,0.000,0,3,3,200.000,1700.000
-44,0,-21.750,0.250,1,0,7.525,-0.073,1,3,4,300.000,5800.000
-44,1,-21.750,0.750,0,0,0.000,0.000,0,2,2,100.000,300.000
-44,2,-21.750,1.250,0,1,0.000,0.000,1,2,3,300.000,400.000
-44,3,-21.750,1.750,0,0,0.000,0.000,0,3,3,300.000,400.000
-43,-4,-21.250,-1.750,0,0,0.000,0.000,0,3,3,0.000,1100.000
-43,-3,-21.250,-1.250,0,1,0.000,0.000,1,3,4,200.000,300.000
-43,-2,-21.250,-0.750,0,0,0.000,0.000,0,3,3,300.000,400.000
-43,-1,-21.250,-0.250,0,0,0.000,0.000,0,3,3,0.000,1700.000
-43,0,-21.250,0.250,0,0,0.000,0.000,0,3,3,200.000,1500.000
-43,1,-21.250,0.750,1,0,16.802,1.369,1,2,3,200.000,200.000
-43,2,-21.250,1.250,0,0,0.000,0.000,0,3,3,600.000,600.000
-43,3,-21.250,1.750,0,0,0.000,0.000,0,1,1,0.000,200.000
-42,-4,-20.750,-1.750,0,0,0.000,0.000,0,3,3,0.000,1100.000
-42,-3,-20.750,-1.250,0,0,0.000,0.000,0,3,3,400.000,800.000
-42,-2,-20.750,-0.750,0,0,0.000,0.000,0,2,2,0.000,700.000
-42,-1,-20.750,-0.250,0,0,0.000,0.000,0,3,3,300.000,1200.000
-42,0,-20.750,0.250,0,0,0.000,0.000,0,3,3,0.000,1100.000
-42,1,-20.750,0.750,0,0,0.000,0.000,0,2,2,200.000,300.000
-42,2,-20.750,1.250,1,0,12.322,0.326,1,3,4,400.000,900.000
-42,3,-20.750,1.750,0,0,0.000,0.000,0,1,1,0.000,100.000
-41,-5,-20.250,-2.250,0,0,0.000,0.000,0,1,1,0.000,300.000
-41,-4,-20.250,-1.750,0,0,0.000,0.000,0,3,3,100.000,900.000
-41,-3,-20.250,-1.250,0,0,0.000,0.000,0,3,3,200.000,1700.000
-41,-2,-20.250,-0.750,1,0,3.986,-0.852,1,3,4,400.000,800.000
-41,-1,-20.250,-0.250,0,0,0.000,0.000,0,3,3,0.000,1100.000
-41,0,-20.250,0.250,0,1,0.000,0.000,1,3,4,0.000,500.000
-41,1,-20.250,0.750,0,0,0.000,0.000,0,3,3,100.000,400.000
-41,2,-20.250,1.250,0,0,0.000,0.000,0,3,3,700.000,800.000
-41,3,-20.250,1.750,0,0,0.000,0.000,0,2,2,0.000,300.000
-40,-6,-19.750,-2.750,0,0,0.000,0.000,0,2,2,0.000,400.000
-40,-5,-19.750,-2.250,1,1,0.162,-0.027,1,3,4,100.000,800.000
-40,-4,-19.750,-1.750,0,0,0.000,0.000,0,3,3,300.000,900.000
-40,-3,-19.750,-1.250,1,0,2.703,-0.544,1,3,4,200.000,1000.000
-40,-2,-19.750,-0.750,0,0,0.000,0.000,0,3,3,100.000,1000.000
-40,-1,-19.750,-0.250,0,0,0.000,0.000,0,3,3,200.000,600.000
-40,0,-19.750,0.250,0,0,0.000,0.000,0,3,3,0.000,900.000
-40,1,-19.750,0.750,0,0,0.000,0.000,0,3,3,200.000,600.000
-40,2,-19.750,1.250,1,0,3.817,0.000,1,3,4,600.000,700.000
-40,3,-19.750,1.750,0,0,0.000,0.000,0,3,3,1200.000,3100.000
-40,4,-19.750,2.250,0,0,0.000,0.000,0,1,1,0.000,300.000
-40,5,-19.750,2.750,0,0,0.000,0.000,0,1,1,0.000,1300.000
-40,6,-19.750,3.250,0,0,0.000,0.000,0,1,1,0.000,300.000
-39,-8,-19.250,-3.750,0,0,0.000,0.000,0,1,1,0.000,100.000
-39,-7,-19.250,-3.250,0,0,0.000,0.000,0,2,2,0.000,300.000
-39,-6,-19.250,-2.750,1,0,4.454,0.000,1,3,4,200.000,900.000
-39,-5,-19.250,-2.250,0,0,0.000,0.000,0,3,3,300.000,600.000
-39,-4,-19.250,-1.750,0,0,0.000,0.000,0,2,2,100.000,400.000
-39,-3,-19.250,-1.250,0,0,0.000,0.000,0,3,3,0.000,600.000
-39,-2,-19.250,-0.750,0,0,0.000,0.000,0,2,2,0.000,600.000
-39,-1,-19.250,-0.250,0,1,0.000,0.000,1,3,4,0.000,1000.000
