col,lig,centre_x,centre_y,kills_depuis,morts_dedans,portee_mediane_m,denivele_median_m,matchs_kills,matchs_presence,matchs_distincts,occupation_gagnants_ms,occupation_perdants_ms
-1947,636,-973.250,318.250,0,0,0.000,0.000,0,1,1,0.000,4400.000
-8,2,-3.750,1.250,0,0,0.000,0.000,0,3,3,8200.000,200.000
-8,3,-3.750,1.750,0,1,0.000,0.000,1,4,5,2700.000,900.000
-8,4,-3.750,2.250,0,0,0.000,0.000,0,3,3,1800.000,0.000
-8,5,-3.750,2.750,0,1,0.000,0.000,1,6,7,2600.000,4100.000
-8,6,-3.750,3.250,0,0,0.000,0.000,0,2,2,800.000,0.000
-8,7,-3.750,3.750,0,0,0.000,0.000,0,3,3,600.000,600.000
-8,8,-3.750,4.250,0,0,0.000,0.000,0,2,2,600.000,300.000
-8,9,-3.750,4.750,1,1,4.574,-0.427,2,2,3,200.000,800.000
-8,10,-3.750,5.250,0,1,0.000,0.000,1,1,1,0.000,200.000
-8,11,-3.750,5.750,1,1,6.751,-2.365,2,0,2,0.000,0.000
-8,12,-3.750,6.250,2,0,6.865,-1.221,2,1,3,500.000,0.000
-8,13,-3.750,6.750,1,1,4.708,0.488,2,1,2,500.000,0.000
-7,1,-3.250,0.750,0,1,0.000,0.000,1,2,3,1100.000,0.000
-7,2,-3.250,1.250,1,0,7.458,0.000,1,6,6,13600.000,7400.000
-7,3,-3.250,1.750,0,1,0.000,0.000,1,6,7,6300.000,12900.000
-7,4,-3.250,2.250,1,4,0.421,0.107,4,5,8,2400.000,1200.000
-7,5,-3.250,2.750,1,1,3.968,1.968,2,6,8,5000.000,3900.000
-7,6,-3.250,3.250,0,0,0.000,0.000,0,4,4,1700.000,1100.000
-7,7,-3.250,3.750,1,1,2.299,-0.137,2,4,6,2100.000,1100.000
-7,8,-3.250,4.250,1,0,6.807,-0.946,1,5,6,5900.000,1300.000
-7,9,-3.250,4.750,1,1,3.146,0.443,2,3,4,800.000,200.000
-7,10,-3.250,5.250,0,1,0.000,0.000,1,4,5,2900.000,1800.000
-7,11,-3.250,5.750,2,1,3.264,-0.648,3,6,9,114300.000,26500.000
-7,12,-3.250,6.250,0,0,0.000,0.000,0,4,4,1400.000,1400.000
-7,13,-3.250,6.750,0,0,0.000,0.000,0,5,5,7000.000,6100.000
-6,0,-2.750,0.250,0,0,0.000,0.000,0,2,2,1800.000,100.000
-6,1,-2.750,0.750,0,0,0.000,0.000,0,3,3,2100.000,400.000
-6,2,-2.750,1.250,0,1,0.000,0.000,1,6,7,2800.000,1600.000
-6,3,-2.750,1.750,2,0,5.104,-0.534,2,6,8,4900.000,2100.000
-6,4,-2.750,2.250,1,1,0.421,-0.107,1,6,7,3500.000,900.000
-6,5,-2.750,2.750,0,2,0.000,0.000,2,5,6,4300.000,3000.000
-6,6,-2.750,3.250,0,2,0.000,0.000,2,4,6,1700.000,1700.000
-6,7,-2.750,3.750,1,1,0.524,0.244,2,5,7,600.000,400.000
-6,8,-2.750,4.250,1,1,4.143,0.702,2,6,8,2300.000,700.000
-6,9,-2.750,4.750,0,3,0.000,0.000,3,5,8,2100.000,1000.000
-6,10,-2.750,5.250,0,0,0.000,0.000,0,5,5,2200.000,1200.000
-6,11,-2.750,5.750,2,0,2.709,-0.412,2,6,8,1700.000,1300.000
-6,12,-2.750,6.250,0,0,0.000,0.000,0,5,5,3000.000,1200.000
-6,13,-2.750,6.750,1,0,1.498,-0.366,1,3,3,1300.000,400.000
-6,14,-2.750,7.250,0,0,0.000,0.000,0,1,1,200.000,0.000
-5,-1,-2.250,-0.250,0,0,0.000,0.000,0,2,2,600.000,400.000
-5,0,-2.250,0.250,0,1,0.000,0.000,1,2,3,1500.000,900.000
-5,1,-2.250,0.750,1,2,9.906,-0.183,3,4,7,2300.000,900.000
-5,2,-2.250,1.250,1,1,0.441,-0.275,1,6,6,2600.000,600.000
-5,3,-2.250,1.750,2,4,0.285,0.008,4,6,9,3300.000,2900.000
-5,4,-2.250,2.250,1,4,0.272,0.000,4,6,9,2900.000,3100.000
-5,5,-2.250,2.750,0,1,0.000,0.000,1,6,7,3500.000,5500.000
