col,lig,centre_x,centre_y,kills_depuis,morts_dedans,portee_mediane_m,denivele_median_m,matchs_kills,matchs_presence,matchs_distincts,occupation_gagnants_ms,occupation_perdants_ms
-38,-14,-18.750,-6.750,1,0,1.080,0.490,1,0,1,0.000,0.000
-37,-60,-18.250,-29.750,1,0,30.005,-2.185,1,0,1,0.000,0.000
-37,-58,-18.250,-28.750,0,1,0.000,0.000,1,0,1,0.000,0.000
-37,-57,-18.250,-28.250,0,0,0.000,0.000,0,1,1,0.000,400.000
-37,-55,-18.250,-27.250,1,0,17.049,-1.623,1,0,1,0.000,0.000
-37,-34,-18.250,-16.750,0,0,0.000,0.000,0,1,1,0.000,100.000
-37,-16,-18.250,-7.750,0,0,0.000,0.000,0,1,1,400.000,0.000
-37,-15,-18.250,-7.250,0,1,0.000,0.000,1,0,1,0.000,0.000
-36,-62,-17.750,-30.750,0,0,0.000,0.000,0,1,1,600.000,800.000
-36,-61,-17.750,-30.250,3,2,4.253,-0.136,4,1,5,200.000,0.000
-36,-60,-17.750,-29.750,0,1,0.000,0.000,1,1,2,100.000,0.000
-36,-59,-17.750,-29.250,0,1,0.000,0.000,1,0,1,0.000,0.000
-36,-58,-17.750,-28.750,1,0,6.241,0.000,1,0,1,0.000,0.000
-36,-57,-17.750,-28.250,0,0,0.000,0.000,0,1,1,0.000,100.000
-36,-56,-17.750,-27.750,0,0,0.000,0.000,0,1,1,0.000,200.000
-36,-55,-17.750,-27.250,0,0,0.000,0.000,0,1,1,0.000,200.000
-36,-54,-17.750,-26.750,1,1,5.329,0.272,2,1,3,0.000,400.000
-36,-43,-17.750,-21.250,0,1,0.000,0.000,1,1,2,0.000,200.000
-36,-42,-17.750,-20.750,0,1,0.000,0.000,1,1,2,0.000,100.000
-36,-41,-17.750,-20.250,2,1,19.220,-0.009,3,0,3,0.000,0.000
-36,-40,-17.750,-19.750,0,0,0.000,0.000,0,1,1,400.000,0.000
-36,-39,-17.750,-19.250,0,0,0.000,0.000,0,1,1,700.000,0.000
-36,-38,-17.750,-18.750,1,0,21.582,-0.009,1,1,2,200.000,200.000
-36,-37,-17.750,-18.250,0,1,0.000,0.000,1,1,2,200.000,200.000
-36,-36,-17.750,-17.750,0,0,0.000,0.000,0,1,1,200.000,600.000
-36,-35,-17.750,-17.250,0,0,0.000,0.000,0,1,1,0.000,600.000
-36,-34,-17.750,-16.750,0,0,0.000,0.000,0,1,1,0.000,400.000
-36,-33,-17.750,-16.250,3,0,4.257,0.290,3,1,4,0.000,400.000
-36,-32,-17.750,-15.750,2,0,4.784,0.154,2,1,3,0.000,500.000
-36,-31,-17.750,-15.250,0,1,0.000,0.000,1,1,2,0.000,500.000
-36,-30,-17.750,-14.750,0,0,0.000,0.000,0,1,1,0.000,400.000
-36,-29,-17.750,-14.250,0,1,0.000,0.000,1,1,2,0.000,300.000
