col,lig,centre_x,centre_y,kills_depuis,morts_dedans,portee_mediane_m,denivele_median_m,matchs_kills,matchs_presence,matchs_distincts,occupation_gagnants_ms,occupation_perdants_ms
-49,8,-24.250,4.250,0,0,0.000,0.000,0,1,1,0.000,200.000
-24,6,-11.750,3.250,2,0,3.994,-0.796,2,0,2,0.000,0.000
-24,7,-11.750,3.750,0,0,0.000,0.000,0,1,1,0.000,1000.000
-23,4,-11.250,2.250,0,0,0.000,0.000,0,2,2,200.000,400.000
-23,5,-11.250,2.750,1,3,1.994,0.116,4,5,9,2500.000,2300.000
-23,6,-11.250,3.250,5,2,2.798,0.000,7,5,12,7700.000,3300.000
-23,7,-11.250,3.750,1,1,3.846,0.580,2,5,7,1600.000,3000.000
-23,8,-11.250,4.250,0,2,0.000,0.000,2,4,6,1400.000,2100.000
-23,9,-11.250,4.750,1,1,7.814,2.537,2,4,6,170200.000,300.000
-23,10,-11.250,5.250,3,1,4.508,-0.497,3,3,5,2400.000,300.000
-23,11,-11.250,5.750,2,4,8.717,-0.506,6,4,10,1900.000,900.000
-23,12,-11.250,6.250,3,3,8.467,0.497,5,3,8,1300.000,2200.000
-23,13,-11.250,6.750,7,4,4.765,0.663,9,3,11,1600.000,1400.000
-23,14,-11.250,7.250,1,1,2.915,0.232,2,3,5,2100.000,3000.000
-23,15,-11.250,7.750,1,2,2.478,0.448,2,5,7,3300.000,3600.000
-23,16,-11.250,8.250,0,1,0.000,0.000,1,4,5,2100.000,800.000
-23,17,-11.250,8.750,1,0,17.301,0.630,1,1,2,200.000,0.000
-23,18,-11.250,9.250,0,0,0.000,0.000,0,1,1,300.000,0.000
-23,19,-11.250,9.750,1,1,7.864,1.592,2,0,2,0.000,0.000
-23,20,-11.250,10.250,0,0,0.000,0.000,0,4,4,1500.000,2900.000
-23,21,-11.250,10.750,2,0,7.297,-0.249,2,0,2,0.000,0.000
-23,22,-11.250,11.250,0,0,0.000,0.000,0,2,2,0.000,1200.000
-22,-7,-10.750,-3.250,1,0,10.676,0.580,1,0,1,0.000,0.000
-22,-6,-10.750,-2.750,1,0,14.845,0.763,1,2,2,300.000,1100.000
-22,-5,-10.750,-2.250,0,0,0.000,0.000,0,2,2,100.000,9800.000
-22,3,-10.750,1.750,0,0,0.000,0.000,0,1,1,0.000,200.000
-22,4,-10.750,2.250,4,2,1.289,0.000,3,5,8,3800.000,2000.000
-22,5,-10.750,2.750,0,0,0.000,0.000,0,5,5,1300.000,400.000
-22,6,-10.750,3.250,2,3,6.814,-0.008,4,5,9,2200.000,1200.000
-22,7,-10.750,3.750,1,0,6.065,-1.012,1,5,6,1700.000,900.000
-22,8,-10.750,4.250,2,4,5.217,-0.522,5,3,8,1600.000,300.000
-22,9,-10.750,4.750,0,2,0.000,0.000,2,5,6,4300.000,700.000
-22,10,-10.750,5.250,2,6,9.862,0.837,8,3,11,5900.000,1200.000
-22,11,-10.750,5.750,1,2,4.429,0.050,3,3,5,3300.000,1800.000
-22,12,-10.750,6.250,5,4,8.402,1.526,8,4,12,2600.000,3500.000
-22,13,-10.750,6.750,4,6,4.148,0.000,6,4,10,2200.000,7100.000
-22,14,-10.750,7.250,3,2,7.212,1.078,5,4,9,4100.000,3700.000
-22,15,-10.750,7.750,0,2,0.000,0.000,2,4,5,3100.000,1000.000
-22,16,-10.750,8.250,3,1,6.920,0.099,2,3,5,1300.000,1100.000
-22,17,-10.750,8.750,2,2,0.475,-0.050,3,3,6,1000.000,500.000
-22,18,-10.750,9.250,0,0,0.000,0.000,0,2,2,500.000,400.000
-22,19,-10.750,9.750,0,0,0.000,0.000,0,2,2,700.000,100.000
-22,20,-10.750,10.250,0,0,0.000,0.000,0,4,4,1900.000,400.000
-22,21,-10.750,10.750,1,0,1.427,0.000,1,2,3,200.000,100.000
-22,22,-10.750,11.250,0,0,0.000,0.000,0,2,2,300.000,300.000
-22,23,-10.750,11.750,0,0,0.000,0.000,0,4,4,2100.000,3900.000
-21,-8,-10.250,-3.750,0,0,0.000,0.000,0,2,2,100.000,300.000
-21,-7,-10.250,-3.250,0,0,0.000,0.000,0,4,4,1200.000,1100.000
-21,-6,-10.250,-2.750,0,0,0.000,0.000,0,5,5,9700.000,6100.000
-21,-5,-10.250,-2.250,0,0,0.000,0.000,0,2,2,400.000,300.000
-21,1,-10.250,0.750,0,0,0.000,0.000,0,2,2,100.000,100.000
-21,2,-10.250,1.250,0,1,0.000,0.000,1,3,4,500.000,700.000
-21,3,-10.250,1.750,4,0,13.255,0.962,4,4,8,1500.000,1700.000
-21,4,-10.250,2.250,2,1,2.410,0.415,2,4,6,2000.000,1500.000
-21,5,-10.250,2.750,1,3,5.678,-1.111,4,5,9,3700.000,1500.000
-21,6,-10.250,3.250,3,3,4.658,-0.381,5,4,9,4800.000,1300.000
-21,7,-10.250,3.750,3,5,5.140,0.000,7,5,12,3100.000,1500.000
-21,8,-10.250,4.250,3,1,6.805,1.260,4,5,9,4200.000,1000.000
-21,9,-10.250,4.750,1,3,5.170,0.282,4,5,8,2800.000,1600.000
-21,10,-10.250,5.250,0,4,0.000,0.000,4,4,8,2400.000,2700.000
-21,11,-10.250,5.750,1,3,0.297,0.083,3,4,7,1600.000,2300.000
-21,12,-10.250,6.250,0,3,0.000,0.000,3,4,7,1600.000,4100.000
-21,13,-10.250,6.750,2,4,4.837,1.277,6,5,11,2400.000,6600.000
-21,14,-10.250,7.250,2,2,10.772,0.672,4,4,8,2800.000,2300.000
-21,15,-10.250,7.750,1,1,2.742,0.796,2,4,6,2500.000,900.000
-21,16,-10.250,8.250,2,2,9.751,0.423,4,3,7,1600.000,700.000
-21,17,-10.250,8.750,3,1,17.442,1.376,4,2,6,800.000,400.000
-21,18,-10.250,9.250,2,1,21.447,0.572,3,4,6,900.000,4100.000
-21,19,-10.250,9.750,1,0,8.223,1.144,1,3,4,1100.000,2200.000
-21,20,-10.250,10.250,0,0,0.000,0.000,0,4,4,1100.000,500.000
-21,21,-10.250,10.750,0,0,0.000,0.000,0,3,3,600.000,300.000
-21,22,-10.250,11.250,0,0,0.000,0.000,0,4,4,1000.000,1000.000
-21,23,-10.250,11.750,0,0,0.000,0.000,0,2,2,0.000,500.000
-20,-10,-9.750,-4.750,0,1,0.000,0.000,1,0,1,0.000,0.000
-20,-9,-9.750,-4.250,0,0,0.000,0.000,0,3,3,400.000,300.000
-20,-8,-9.750,-3.750,0,0,0.000,0.000,0,4,4,1200.000,100.000
-20,-7,-9.750,-3.250,1,0,7.746,-2.686,1,2,3,800.000,700.000
-20,-6,-9.750,-2.750,1,1,4.404,-1.791,2,4,6,1400.000,1000.000
-20,-5,-9.750,-2.250,1,1,1.921,0.647,2,4,6,1100.000,900.000
-20,-4,-9.750,-1.750,3,1,5.519,-1.509,4,4,6,1400.000,1100.000
-20,-3,-9.750,-1.250,5,6,2.629,-0.216,8,4,11,3200.000,2400.000
-20,-2,-9.750,-0.750,1,7,4.425,1.244,8,4,11,3200.000,3300.000
-20,-1,-9.750,-0.250,5,2,7.343,1.194,7,4,9,3700.000,3600.000
-20,0,-9.750,0.250,7,4,9.658,-0.282,9,4,12,3100.000,5100.000
-20,1,-9.750,0.750,6,3,11.840,-0.357,8,4,12,2700.000,4300.000
-20,2,-9.750,1.250,3,1,5.133,-0.017,4,5,9,2900.000,1900.000
-20,3,-9.750,1.750,2,3,6.297,-0.017,5,4,9,3400.000,1000.000
-20,4,-9.750,2.250,4,3,3.492,0.655,7,4,10,3400.000,2000.000
-20,5,-9.750,2.750,5,4,3.576,0.017,7,5,12,2200.000,1500.000
-20,6,-9.750,3.250,2,1,3.807,-0.050,3,5,8,2100.000,500.000
-20,7,-9.750,3.750,4,5,5.200,0.224,9,4,12,3500.000,2000.000
-20,8,-9.750,4.250,2,1,4.859,-0.083,3,5,8,2600.000,1900.000
-20,9,-9.750,4.750,3,0,1.206,-0.017,3,5,8,3600.000,2200.000
-20,10,-9.750,5.250,1,1,0.664,0.000,2,4,5,900.000,2400.000
-20,13,-9.750,6.750,0,1,0.000,0.000,1,3,4,1800.000,2400.000
-20,14,-9.750,7.250,2,1,6.107,0.058,3,3,6,1700.000,4500.000
-20,15,-9.750,7.750,5,2,8.842,0.547,7,4,10,3400.000,3000.000
-20,16,-9.750,8.250,6,4,3.503,0.265,7,4,11,3200.000,1100.000
-20,17,-9.750,8.750,3,1,10.443,0.000,4,5,9,1100.000,1000.000
-20,18,-9.750,9.250,0,1,0.000,0.000,1,5,6,1900.000,2100.000
-20,19,-9.750,9.750,2,6,15.955,0.895,8,3,10,1000.000,3300.000
-20,20,-9.750,10.250,3,1,5.029,0.779,3,4,7,2900.000,1500.000
-20,21,-9.750,10.750,1,1,7.923,0.796,2,3,5,1500.000,2100.000
-20,22,-9.750,11.250,2,0,10.841,1.086,2,4,6,400.000,800.000
-20,23,-9.750,11.750,0,0,0.000,0.000,0,1,1,0.000,200.000
-19,-11,-9.250,-5.250,3,1,5.992,0.415,3,2,5,1600.000,0.000
-19,-10,-9.250,-4.750,3,4,5.872,-0.315,6,1,7,700.000,0.000
-19,-9,-9.250,-4.250,3,2,4.847,-1.045,5,4,8,1500.000,200.000
