col,lig,centre_x,centre_y,kills_depuis,morts_dedans,portee_mediane_m,denivele_median_m,matchs_kills,matchs_presence,matchs_distincts,occupation_gagnants_ms,occupation_perdants_ms,dir_sortante_cos,dir_sortante_sin,dir_sortante_n,dir_entrante_cos,dir_entrante_sin,dir_entrante_n,kills_ponderes,morts_ponderees,kills_rang_connu,morts_rang_connu,kills_tueur_fort,morts_tueur_fort
-47,-2,-23.250,-0.750,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,0.911,-0.413,1,0.000,1.000,0,0,0,0
-47,-1,-23.250,-0.250,0,0,0.000,0.000,0,3,3,1000.000,400.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-47,0,-23.250,0.250,0,0,0.000,0.000,0,4,4,1000.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-46,-2,-22.750,-0.750,0,0,0.000,0.000,0,4,4,1600.000,200.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-46,-1,-22.750,-0.250,0,0,0.000,0.000,0,3,3,900.000,100.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-46,0,-22.750,0.250,0,1,0.000,0.000,1,4,5,900.000,0.000,0.000,0.000,0,0.607,0.795,1,0.000,1.000,0,0,0,0
-46,1,-22.750,0.750,0,2,0.000,0.000,2,4,6,2700.000,400.000,0.000,0.000,0,1.360,-0.573,2,0.000,2.000,0,0,0,0
-45,-4,-22.250,-1.750,1,0,0.312,0.239,1,0,1,0.000,0.000,-0.385,0.923,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-45,-3,-22.250,-1.250,0,1,0.000,0.000,1,4,5,1500.000,500.000,0.000,0.000,0,-0.160,-0.987,1,0.000,1.000,0,0,0,0
-45,-2,-22.250,-0.750,0,1,0.000,0.000,1,3,4,1000.000,200.000,0.000,0.000,0,0.989,-0.147,1,0.000,1.000,0,0,0,0
-45,-1,-22.250,-0.250,1,1,0.962,0.000,2,3,5,600.000,0.000,-0.288,0.958,1,0.997,0.083,1,1.000,1.000,0,0,0,0
-45,0,-22.250,0.250,0,0,0.000,0.000,0,3,3,2300.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-45,1,-22.250,0.750,2,0,1.334,-0.102,2,4,6,1700.000,200.000,0.012,-0.022,2,0.000,0.000,0,2.000,0.000,0,0,0,0
-45,2,-22.250,1.250,0,1,0.000,0.000,1,3,4,1500.000,400.000,0.000,0.000,0,0.210,-0.978,1,0.000,1.000,0,0,0,0
-44,-10,-21.750,-4.750,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,0.991,0.130,1,0.000,1.000,0,0,0,0
-44,-9,-21.750,-4.250,0,0,0.000,0.000,0,1,1,200.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-44,-8,-21.750,-3.750,0,2,0.000,0.000,1,1,2,2700.000,0.000,0.000,0.000,0,1.978,-0.209,2,0.000,2.000,0,0,0,0
-44,-4,-21.750,-1.750,0,2,0.000,0.000,2,0,2,0.000,0.000,0.000,0.000,0,1.922,-0.256,2,0.000,2.444,0,1,0,1
-44,-3,-21.750,-1.250,1,0,2.903,0.203,1,4,5,1100.000,400.000,-0.265,0.964,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-44,-2,-21.750,-0.750,0,0,0.000,0.000,0,3,3,2200.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-44,-1,-21.750,-0.250,0,0,0.000,0.000,0,1,1,1800.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-44,0,-21.750,0.250,0,0,0.000,0.000,0,1,1,4600.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
