col,lig,centre_x,centre_y,kills_depuis,morts_dedans,portee_mediane_m,denivele_median_m,matchs_kills,matchs_presence,matchs_distincts,occupation_gagnants_ms,occupation_perdants_ms,dir_sortante_cos,dir_sortante_sin,dir_sortante_n,dir_entrante_cos,dir_entrante_sin,dir_entrante_n,kills_ponderes,morts_ponderees,kills_rang_connu,morts_rang_connu,kills_tueur_fort,morts_tueur_fort
-1393,-204,-696.250,-101.750,0,0,0.000,0.000,0,1,1,0.000,100.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-52,2,-25.750,1.250,0,0,0.000,0.000,0,1,1,500.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-52,8,-25.750,4.250,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,0.981,0.194,1,0.000,1.000,0,0,0,0
-52,9,-25.750,4.750,1,0,3.188,1.423,1,0,1,0.000,0.000,0.976,0.217,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-52,10,-25.750,5.250,0,0,0.000,0.000,0,1,1,0.000,100.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-51,1,-25.250,0.750,0,0,0.000,0.000,0,1,1,100.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-51,2,-25.250,1.250,0,0,0.000,0.000,0,1,1,500.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-51,3,-25.250,1.750,0,0,0.000,0.000,0,2,2,100.000,300.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-51,4,-25.250,2.250,0,0,0.000,0.000,0,1,1,600.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-51,7,-25.250,3.750,0,0,0.000,0.000,0,1,1,0.000,300.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-51,8,-25.250,4.250,0,0,0.000,0.000,0,1,1,0.000,300.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-51,9,-25.250,4.750,0,0,0.000,0.000,0,1,1,0.000,200.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-51,10,-25.250,5.250,0,0,0.000,0.000,0,1,1,0.000,400.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-51,11,-25.250,5.750,0,0,0.000,0.000,0,1,1,0.000,400.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-51,12,-25.250,6.250,0,0,0.000,0.000,0,1,1,0.000,100.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-51,14,-25.250,7.250,0,0,0.000,0.000,0,3,3,5000.000,5800.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-51,15,-25.250,7.750,0,0,0.000,0.000,0,3,3,1100.000,4600.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-50,-5,-24.750,-2.250,2,2,0.134,0.000,1,0,1,0.000,0.000,0.587,-1.909,2,0.587,-1.909,2,2.000,2.000,0,0,0,0
-50,-3,-24.750,-1.250,0,0,0.000,0.000,0,1,1,0.000,300.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-50,-2,-24.750,-0.750,0,1,0.000,0.000,1,1,2,0.000,200.000,0.000,0.000,0,-0.060,0.998,1,0.000,1.000,0,0,0,0
-50,-1,-24.750,-0.250,0,0,0.000,0.000,0,3,3,500.000,600.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-50,0,-24.750,0.250,0,0,0.000,0.000,0,2,2,200.000,300.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-50,1,-24.750,0.750,0,1,0.000,0.000,1,3,4,600.000,300.000,0.000,0.000,0,0.987,0.161,1,0.000,1.000,0,0,0,0
-50,2,-24.750,1.250,0,1,0.000,0.000,1,2,3,100.000,300.000,0.000,0.000,0,0.949,-0.316,1,0.000,1.000,0,0,0,0
-50,3,-24.750,1.750,1,0,5.201,-0.009,1,2,3,500.000,100.000,0.039,0.999,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-50,4,-24.750,2.250,0,0,0.000,0.000,0,2,2,800.000,500.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-50,5,-24.750,2.750,0,0,0.000,0.000,0,2,2,1200.000,500.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-50,6,-24.750,3.250,1,0,3.842,0.000,1,2,3,1100.000,700.000,-0.003,-1.000,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-50,7,-24.750,3.750,2,0,5.003,0.685,2,2,4,600.000,700.000,1.696,0.931,2,0.000,0.000,0,2.000,0.000,0,0,0,0
-50,8,-24.750,4.250,0,0,0.000,0.000,0,2,2,200.000,1000.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
