col,lig,centre_x,centre_y,kills_depuis,morts_dedans,portee_mediane_m,denivele_median_m,matchs_kills,matchs_presence,matchs_distincts,occupation_gagnants_ms,occupation_perdants_ms,dir_sortante_cos,dir_sortante_sin,dir_sortante_n,dir_entrante_cos,dir_entrante_sin,dir_entrante_n,kills_ponderes,morts_ponderees,kills_rang_connu,morts_rang_connu,kills_tueur_fort,morts_tueur_fort
-45,23,-22.250,11.750,1,0,27.305,-0.377,1,0,1,0.000,0.000,0.998,0.059,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-44,25,-21.750,12.750,1,1,14.209,1.082,2,0,2,0.000,0.000,0.957,-0.290,1,0.979,-0.204,1,1.000,1.000,0,0,0,0
-43,30,-21.250,15.250,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,0.804,0.595,1,0.000,1.000,0,0,0,0
-43,39,-21.250,19.750,1,0,11.252,1.655,1,0,1,0.000,0.000,0.749,-0.662,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-42,23,-20.750,11.750,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,0.918,-0.398,1,0.000,1.000,0,0,0,0
-42,30,-20.750,15.250,1,0,18.104,-0.197,1,0,1,0.000,0.000,0.730,-0.684,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-42,31,-20.750,15.750,1,1,19.849,-0.197,2,0,2,0.000,0.000,0.711,-0.703,1,0.570,-0.821,1,1.000,1.000,0,0,0,0
-42,32,-20.750,16.250,1,0,8.238,1.639,1,0,1,0.000,0.000,0.323,-0.946,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-42,35,-20.750,17.750,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,0.728,0.685,1,0.000,1.000,0,0,0,0
-41,24,-20.250,12.250,1,0,0.407,-0.082,1,0,1,0.000,0.000,0.203,0.979,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-41,25,-20.250,12.750,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,0.138,-0.990,1,0.000,1.000,0,0,0,0
-41,26,-20.250,13.250,1,0,4.328,-0.410,1,0,1,0.000,0.000,0.720,-0.694,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-41,32,-20.250,16.250,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,0.662,-0.749,1,0.000,1.000,0,0,0,0
-40,6,-19.750,3.250,1,0,5.366,1.344,1,0,1,0.000,0.000,0.518,-0.855,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-39,-1,-19.250,-0.250,1,0,11.370,-2.163,1,0,1,0.000,0.000,-0.022,1.000,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-39,1,-19.250,0.750,1,1,0.064,-0.033,1,0,1,0.000,0.000,-0.934,0.358,1,-0.995,0.097,1,1.000,1.000,0,0,0,0
-39,2,-19.250,1.250,0,2,0.000,0.000,2,0,2,0.000,0.000,0.000,0.000,0,0.820,-1.815,2,0.000,2.000,0,0,0,0
-39,3,-19.250,1.750,0,2,0.000,0.000,2,0,2,0.000,0.000,0.000,0.000,0,1.534,-0.981,2,0.000,2.000,0,0,0,0
-39,6,-19.250,3.250,1,0,5.539,-1.114,1,0,1,0.000,0.000,0.420,0.907,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-39,21,-19.250,10.750,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,-0.001,-1.000,1,0.000,1.000,0,0,0,0
-39,24,-19.250,12.250,2,1,13.843,-0.615,2,0,2,0.000,0.000,-0.018,-0.077,2,0.366,0.930,1,2.000,1.000,0,0,0,0
-39,36,-19.250,18.250,1,0,3.611,0.098,1,0,1,0.000,0.000,0.995,-0.100,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-39,38,-19.250,19.250,1,0,2.186,0.836,1,0,1,0.000,0.000,-0.762,-0.648,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-38,-1,-18.750,-0.250,1,0,1.916,-1.033,1,0,1,0.000,0.000,-0.204,0.979,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-38,0,-18.750,0.250,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,0.608,-0.794,1,0.000,1.000,0,0,0,0
-38,3,-18.750,1.750,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,0.986,-0.169,1,0.000,1.000,0,0,0,0
-38,4,-18.750,2.250,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,0.042,0.999,1,0.000,1.000,0,0,0,0
-38,9,-18.750,4.750,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,0.227,0.974,1,0.000,1.000,0,0,0,0
-38,19,-18.750,9.750,1,0,3.984,-0.688,1,0,1,0.000,0.000,0.301,0.954,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-38,21,-18.750,10.750,0,2,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,1.470,0.966,2,0.000,2.000,0,0,0,0
-38,22,-18.750,11.250,1,1,0.193,0.049,1,0,1,0.000,0.000,-0.155,-0.988,1,0.385,0.923,1,1.000,1.000,0,0,0,0
-38,24,-18.750,12.250,1,0,10.724,2.868,1,0,1,0.000,0.000,0.142,-0.990,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-38,26,-18.750,13.250,1,1,4.810,-1.311,2,0,2,0.000,0.000,0.531,0.847,1,0.809,-0.587,1,1.000,1.000,0,0,0,0
-38,35,-18.750,17.750,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,0.841,0.540,1,0.000,1.000,0,0,0,0
-38,36,-18.750,18.250,1,0,20.344,-0.443,1,0,1,0.000,0.000,0.407,-0.913,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-38,38,-18.750,19.250,1,0,1.507,0.098,1,0,1,0.000,0.000,0.485,-0.874,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-37,-3,-18.250,-1.250,1,0,5.901,-0.115,1,0,1,0.000,0.000,0.720,-0.694,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-37,-1,-18.250,-0.250,1,0,2.081,-0.574,1,0,1,0.000,0.000,-0.602,0.798,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-37,1,-18.250,0.750,1,0,4.545,-0.574,1,0,1,0.000,0.000,0.253,0.967,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-37,5,-18.250,2.750,2,0,3.963,-0.844,2,0,2,0.000,0.000,0.687,1.787,2,0.000,0.000,0,2.000,0.000,0,0,0,0
-37,12,-18.250,6.250,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,0.024,1.000,1,0.000,1.000,0,0,0,0
-37,13,-18.250,6.750,1,0,0.283,-0.229,1,0,1,0.000,0.000,-0.324,-0.946,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-37,15,-18.250,7.750,1,0,7.412,-1.131,1,0,1,0.000,0.000,0.449,0.894,1,0.000,0.000,0,1.000,0.000,0,0,0,0
