col,lig,centre_x,centre_y,kills_depuis,morts_dedans,portee_mediane_m,denivele_median_m,matchs_kills,matchs_presence,matchs_distincts,occupation_gagnants_ms,occupation_perdants_ms,dir_sortante_cos,dir_sortante_sin,dir_sortante_n,dir_entrante_cos,dir_entrante_sin,dir_entrante_n,kills_ponderes,morts_ponderees,kills_rang_connu,morts_rang_connu,kills_tueur_fort,morts_tueur_fort
96,-234,48.250,-116.750,0,0,0.000,0.000,0,1,1,0.000,100.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
97,-234,48.750,-116.750,0,0,0.000,0.000,0,2,2,500.000,300.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
97,-233,48.750,-116.250,0,0,0.000,0.000,0,2,2,600.000,500.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
97,-232,48.750,-115.750,0,0,0.000,0.000,0,2,2,200.000,400.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
97,-231,48.750,-115.250,0,0,0.000,0.000,0,2,2,100.000,400.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
97,-230,48.750,-114.750,0,0,0.000,0.000,0,2,2,300.000,500.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
97,-229,48.750,-114.250,0,0,0.000,0.000,0,2,2,0.000,400.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
97,-228,48.750,-113.750,0,0,0.000,0.000,0,1,1,0.000,300.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
97,-227,48.750,-113.250,0,0,0.000,0.000,0,2,2,300.000,200.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
97,-226,48.750,-112.750,0,0,0.000,0.000,0,1,1,200.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
97,-224,48.750,-111.750,0,0,0.000,0.000,0,1,1,500.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
98,-234,49.250,-116.750,0,0,0.000,0.000,0,1,1,200.000,300.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
98,-233,49.250,-116.250,0,0,0.000,0.000,0,2,2,500.000,200.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
98,-232,49.250,-115.750,0,0,0.000,0.000,0,2,2,200.000,200.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
98,-231,49.250,-115.250,0,0,0.000,0.000,0,2,2,100.000,600.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
98,-230,49.250,-114.750,0,0,0.000,0.000,0,2,2,200.000,800.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
98,-229,49.250,-114.250,0,0,0.000,0.000,0,2,2,500.000,700.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
98,-228,49.250,-113.750,0,0,0.000,0.000,0,2,2,500.000,700.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
98,-227,49.250,-113.250,0,0,0.000,0.000,0,2,2,200.000,700.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
98,-226,49.250,-112.750,0,0,0.000,0.000,0,1,1,0.000,300.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
98,-225,49.250,-112.250,0,0,0.000,0.000,0,1,1,300.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
98,-224,49.250,-111.750,0,0,0.000,0.000,0,1,1,1500.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
98,-223,49.250,-111.250,0,0,0.000,0.000,0,1,1,1500.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
99,-234,49.750,-116.750,0,0,0.000,0.000,0,1,1,300.000,400.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
99,-233,49.750,-116.250,0,0,0.000,0.000,0,1,1,300.000,400.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
99,-232,49.750,-115.750,0,0,0.000,0.000,0,2,2,100.000,400.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
99,-231,49.750,-115.250,0,0,0.000,0.000,0,2,2,200.000,100.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
99,-230,49.750,-114.750,0,0,0.000,0.000,0,1,1,200.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
99,-229,49.750,-114.250,0,0,0.000,0.000,0,1,1,200.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
99,-228,49.750,-113.750,0,0,0.000,0.000,0,1,1,200.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
