col,lig,centre_x,centre_y,kills_depuis,morts_dedans,portee_mediane_m,denivele_median_m,matchs_kills,matchs_presence,matchs_distincts,occupation_gagnants_ms,occupation_perdants_ms,dir_sortante_cos,dir_sortante_sin,dir_sortante_n,dir_entrante_cos,dir_entrante_sin,dir_entrante_n,kills_ponderes,morts_ponderees,kills_rang_connu,morts_rang_connu,kills_tueur_fort,morts_tueur_fort
-366,-343,-182.750,-171.250,0,0,0.000,0.000,0,1,1,25600.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-157,-71,-78.250,-35.250,0,0,0.000,0.000,0,2,2,300.000,400.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-157,-70,-78.250,-34.750,0,0,0.000,0.000,0,1,1,200.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-157,-69,-78.250,-34.250,0,0,0.000,0.000,0,1,1,300.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-156,-85,-77.750,-42.250,1,0,7.119,-2.095,1,2,3,5100.000,1100.000,0.916,0.402,1,0.000,0.000,0,1.299,0.000,1,0,1,0
-156,-84,-77.750,-41.750,0,0,0.000,0.000,0,2,2,1100.000,1100.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-156,-83,-77.750,-41.250,2,0,1.286,0.000,2,2,4,3400.000,1400.000,1.083,1.022,2,0.000,0.000,0,3.000,0.000,2,0,2,0
-156,-82,-77.750,-40.750,0,1,0.000,0.000,1,2,3,2000.000,2000.000,0.000,0.000,0,0.286,-0.958,1,0.000,1.500,0,1,0,1
-156,-81,-77.750,-40.250,0,1,0.000,0.000,1,2,3,1300.000,1800.000,0.000,0.000,0,0.744,-0.669,1,0.000,1.500,0,1,0,1
-156,-80,-77.750,-39.750,0,0,0.000,0.000,0,1,1,300.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-156,-78,-77.750,-38.750,0,0,0.000,0.000,0,1,1,100.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-156,-77,-77.750,-38.250,1,1,13.396,0.970,2,2,3,1100.000,200.000,0.727,0.687,1,0.223,0.975,1,1.373,1.479,1,1,1,1
-156,-76,-77.750,-37.750,1,0,10.984,-1.415,1,2,2,500.000,100.000,0.744,-0.668,1,0.000,0.000,0,1.500,0.000,1,0,1,0
