col,lig,centre_x,centre_y,kills_depuis,morts_dedans,portee_mediane_m,denivele_median_m,matchs_kills,matchs_presence,matchs_distincts,occupation_gagnants_ms,occupation_perdants_ms,dir_sortante_cos,dir_sortante_sin,dir_sortante_n,dir_entrante_cos,dir_entrante_sin,dir_entrante_n,kills_ponderes,morts_ponderees,kills_rang_connu,morts_rang_connu,kills_tueur_fort,morts_tueur_fort
-1947,636,-973.250,318.250,0,0,0.000,0.000,0,1,1,0.000,4400.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-8,2,-3.750,1.250,0,0,0.000,0.000,0,3,3,8200.000,200.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-8,3,-3.750,1.750,0,1,0.000,0.000,1,4,5,2700.000,900.000,0.000,0.000,0,0.996,0.091,1,0.000,1.000,0,0,0,0
-8,4,-3.750,2.250,0,0,0.000,0.000,0,3,3,1800.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-8,5,-3.750,2.750,0,1,0.000,0.000,1,6,7,2600.000,4100.000,0.000,0.000,0,0.837,0.547,1,0.000,1.000,0,0,0,0
-8,6,-3.750,3.250,0,0,0.000,0.000,0,2,2,800.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-8,7,-3.750,3.750,0,0,0.000,0.000,0,3,3,600.000,600.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-8,8,-3.750,4.250,0,0,0.000,0.000,0,2,2,600.000,300.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-8,9,-3.750,4.750,1,1,4.574,-0.427,2,2,3,200.000,800.000,0.879,0.476,1,0.940,-0.340,1,1.491,1.456,1,1,1,1
-8,10,-3.750,5.250,0,1,0.000,0.000,1,1,1,0.000,200.000,0.000,0.000,0,0.604,0.797,1,0.000,1.119,0,1,0,1
-8,11,-3.750,5.750,1,1,6.751,-2.365,2,0,2,0.000,0.000,0.580,-0.815,1,0.892,-0.453,1,1.000,1.000,0,0,0,0
-8,12,-3.750,6.250,2,0,6.865,-1.221,2,1,3,500.000,0.000,1.869,-0.498,2,0.000,0.000,0,2.000,0.000,0,0,0,0
