col,lig,centre_x,centre_y,kills_depuis,morts_dedans,portee_mediane_m,denivele_median_m,matchs_kills,matchs_presence,matchs_distincts,occupation_gagnants_ms,occupation_perdants_ms,dir_sortante_cos,dir_sortante_sin,dir_sortante_n,dir_entrante_cos,dir_entrante_sin,dir_entrante_n,kills_ponderes,morts_ponderees,kills_rang_connu,morts_rang_connu,kills_tueur_fort,morts_tueur_fort
-38,-14,-18.750,-6.750,1,0,1.080,0.490,1,0,1,0.000,0.000,0.970,-0.245,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-37,-60,-18.250,-29.750,1,0,30.005,-2.185,1,0,1,0.000,0.000,0.746,0.666,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-37,-58,-18.250,-28.750,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,0.586,0.810,1,0.000,1.000,0,0,0,0
-37,-57,-18.250,-28.250,0,0,0.000,0.000,0,1,1,0.000,400.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-37,-55,-18.250,-27.250,1,0,17.049,-1.623,1,0,1,0.000,0.000,1.000,0.010,1,0.000,0.000,0,1.420,0.000,1,0,1,0
-37,-34,-18.250,-16.750,0,0,0.000,0.000,0,1,1,0.000,100.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-37,-16,-18.250,-7.750,0,0,0.000,0.000,0,1,1,400.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-37,-15,-18.250,-7.250,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,0.311,-0.950,1,0.000,0.500,0,1,0,0
-36,-62,-17.750,-30.750,0,0,0.000,0.000,0,1,1,600.000,800.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-36,-61,-17.750,-30.250,3,2,4.253,-0.136,4,1,5,200.000,0.000,2.354,-0.029,3,1.871,-0.607,2,3.888,2.500,2,1,2,1
-36,-60,-17.750,-29.750,0,1,0.000,0.000,1,1,2,100.000,0.000,0.000,0.000,0,0.788,-0.616,1,0.000,0.639,0,1,0,0
-36,-59,-17.750,-29.250,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,0.592,0.806,1,0.000,1.000,0,0,0,0
-36,-58,-17.750,-28.750,1,0,6.241,0.000,1,0,1,0.000,0.000,0.585,0.811,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-36,-57,-17.750,-28.250,0,0,0.000,0.000,0,1,1,0.000,100.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-36,-56,-17.750,-27.750,0,0,0.000,0.000,0,1,1,0.000,200.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-36,-55,-17.750,-27.250,0,0,0.000,0.000,0,1,1,0.000,200.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-36,-54,-17.750,-26.750,1,1,5.329,0.272,2,1,3,0.000,400.000,0.976,0.218,1,0.190,-0.982,1,1.000,1.000,0,0,0,0
-36,-43,-17.750,-21.250,0,1,0.000,0.000,1,1,2,0.000,200.000,0.000,0.000,0,0.876,-0.482,1,0.000,1.000,0,0,0,0
-36,-42,-17.750,-20.750,0,1,0.000,0.000,1,1,2,0.000,100.000,0.000,0.000,0,0.320,0.947,1,0.000,0.594,0,1,0,0
-36,-41,-17.750,-20.250,2,1,19.220,-0.009,3,0,3,0.000,0.000,1.372,1.081,2,0.761,0.648,1,1.500,1.500,1,1,0,1
-36,-40,-17.750,-19.750,0,0,0.000,0.000,0,1,1,400.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-36,-39,-17.750,-19.250,0,0,0.000,0.000,0,1,1,700.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-36,-38,-17.750,-18.750,1,0,21.582,-0.009,1,1,2,200.000,200.000,0.995,0.102,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-36,-37,-17.750,-18.250,0,1,0.000,0.000,1,1,2,200.000,200.000,0.000,0.000,0,0.770,-0.638,1,0.000,1.500,0,1,0,1
-36,-36,-17.750,-17.750,0,0,0.000,0.000,0,1,1,200.000,600.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-36,-35,-17.750,-17.250,0,0,0.000,0.000,0,1,1,0.000,600.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-36,-34,-17.750,-16.750,0,0,0.000,0.000,0,1,1,0.000,400.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-36,-33,-17.750,-16.250,3,0,4.257,0.290,3,1,4,0.000,400.000,1.281,2.048,3,0.000,0.000,0,3.007,0.000,1,0,0,0
-36,-32,-17.750,-15.750,2,0,4.784,0.154,2,1,3,0.000,500.000,1.737,0.509,2,0.000,0.000,0,2.000,0.000,0,0,0,0
-36,-31,-17.750,-15.250,0,1,0.000,0.000,1,1,2,0.000,500.000,0.000,0.000,0,-0.160,-0.987,1,0.000,1.000,0,0,0,0
-36,-30,-17.750,-14.750,0,0,0.000,0.000,0,1,1,0.000,400.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-36,-29,-17.750,-14.250,0,1,0.000,0.000,1,1,2,0.000,300.000,0.000,0.000,0,0.844,-0.536,1,0.000,1.000,0,0,0,0
-36,-28,-17.750,-13.750,0,1,0.000,0.000,1,1,2,100.000,100.000,0.000,0.000,0,0.785,0.620,1,0.000,1.500,0,1,0,1
-36,-26,-17.750,-12.750,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,0.863,0.505,1,0.000,1.500,0,1,0,1
-36,-25,-17.750,-12.250,0,2,0.000,0.000,2,1,3,100.000,0.000,0.000,0.000,0,1.661,0.875,2,0.000,2.500,0,1,0,1
-36,-24,-17.750,-11.750,0,0,0.000,0.000,0,1,1,800.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-36,-23,-17.750,-11.250,0,0,0.000,0.000,0,1,1,800.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-36,-22,-17.750,-10.750,1,0,0.217,-0.045,1,1,2,100.000,0.000,-0.150,0.989,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-36,-21,-17.750,-10.250,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,-0.267,-0.964,1,0.000,1.000,0,0,0,0
-36,-20,-17.750,-9.750,0,1,0.000,0.000,1,1,2,0.000,300.000,0.000,0.000,0,0.523,-0.852,1,0.000,1.000,0,0,0,0
-36,-19,-17.750,-9.250,0,1,0.000,0.000,1,1,2,0.000,200.000,0.000,0.000,0,0.989,0.146,1,0.000,1.000,0,0,0,0
-36,-18,-17.750,-8.750,0,0,0.000,0.000,0,1,1,0.000,600.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-36,-17,-17.750,-8.250,0,0,0.000,0.000,0,1,1,200.000,200.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-36,-16,-17.750,-7.750,0,0,0.000,0.000,0,1,1,0.000,100.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-36,-14,-17.750,-6.750,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,-0.997,0.074,1,0.000,1.000,0,0,0,0
-36,-6,-17.750,-2.750,0,0,0.000,0.000,0,1,1,0.000,100.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-36,-5,-17.750,-2.250,0,1,0.000,0.000,1,1,2,0.000,400.000,0.000,0.000,0,0.998,-0.065,1,0.000,0.969,0,1,0,0
