RECENSEMENT — 1940 match(s) au registre, 45 mode(s) distinct(s), 87 sans pair_name exploitable
  MODE                                 matchs    films  artefacts  schemas
  Super Fiesta                            428      224          1  20x1
  Slayer                                  436      202          1  20x1
  Team Slayer                             254      185          0  -
  CTF                                     269      123         12  20x12
  Strongholds                              75       50          3  20x3
  King of the Hill                         52       47          4  20x4
  Fiesta Slayer                            31       30          2  20x2
  Neutral Flag CTF                         21       17          8  6x1, 20x7
  Fiesta CTF                               15       14          2  20x2
  Super Husky Raid                         11       11          0  -
  Oddball                                  26        7          1  20x1
  Team Snipers                             10        5          0  -
  Husky Raid                                4        4          1  20x1
  Neutral Bomb                              4        4          0  -
  Total Control                           110        4          0  -
  Fiesta Total Control                      4        3          0  -
  One Bomb                                  3        3          0  -
  One Flag CTF                             11        3          0  -
  VIP                                       3        3          0  -
  Extraction                                2        2          0  -
  Sentry Defense                            2        2          0  -
  Stockpile                                39        2          0  -
  Castle Wars                               1        1          0  -
  Escalation Slayer                        11        1          0  -
  FFA Slayer                                2        1          0  -
  Neutral Bomb Squad                        1        1          0  -
  Shotty Snipe Slayer FFA                   1        1          0  -
  100e12e4-402a-4163-8073-9d0cf5f658ec        1        0          0  -
  178cb9bc-209b-47a9-b9fe-06b001359ae8        1        0          0  -
  44cb684b-ccc0-4778-9943-f2bcf63d1769        1        0          0  -
  72180250-b204-4847-b6e3-085817578f5e        1        0          0  -
  7c5983b7-99c9-4ea6-a697-44c93de7f8ed        1        0          0  -
  8347c528-7e81-4715-9c77-5fc6c12dd7fe        1        0          0  -
  Arena                                     7        0          0  -
  Arena Neutral Flag                        2        0          0  -
  Attrition                                 2        0          0  -
  Battle of the Academy                     1        0          0  -
  CTF 3 Captures                            1        0          0  -
  Heroic KOTH                               1        0          0  -
  Heroic King of the Hill                   2        0          0  -
  Land Grab                                 1        0          0  -
  Legendary King of the Hill                1        0          0  -
  Shotty Snipes Slayer                      1        0          0  -
  f526fb9e-6259-423b-8da4-048552d148d5        1        0          0  -
  urvive The Undead 3.0                     1        0          0  -
