metaext	10ed320d	Strongholds:Arena	174	169	620	1230	19	1211	0	59	26214	618253	1141
forme_gen	1	1230
manches	6	0	[]
manches	8	4	[1 2 3 27]
figee	8	1	0	373074
figee	8	2	0	373074
figee	8	3	15	373074
figee	8	27	0	373074
figee	16	0	24	393116
figee	16	1	1193279488	393116
figee	16	5	0	393116
total_score	ecart	200/185	174/169
frags	10	14
frags	12	18
frags	14	6
frags	16	17
frags	18	15
frags	20	20
frags	22	10
frags	24	11
total_frags	exact	111	111	10
segment	0	6	0	175	48336	618253	200
segment	0	8	0	168	166540	596948	170
segment	2	6	0	55	41147	615904	55
segment	2	8	0	49	68429	543853	22134
segment	2	8	1	7	549245	615904	56
segment	2	10	0	15	69233	615904	14
segment	2	12	0	18	44102	598205	18
segment	2	14	0	6	110615	588040	6
segment	2	16	0	17	41147	602006	17
segment	2	18	0	14	122543	598205	15
segment	2	20	0	21	64324	615904	20
segment	2	22	0	10	68429	594096	10
segment	2	24	0	12	96580	602006	11
serie	6	48336	1
serie	6	49337	2
serie	6	50338	3
serie	6	51339	4
serie	6	52340	5
serie	6	53341	6
serie	6	54342	7
serie	6	55343	8
serie	6	56345	9
serie	6	57349	10
serie	6	58346	11
serie	6	59347	12
serie	6	60349	13
serie	6	61350	14
serie	6	62351	15
serie	6	63353	16
serie	6	64354	17
serie	6	65354	19
serie	6	66356	21
serie	6	67358	23
serie	6	68358	25
serie	6	69360	27
serie	6	70360	29
serie	6	71362	31
serie	6	72362	33
serie	6	73363	35
serie	6	74364	37
serie	6	75365	39
serie	6	76366	41
serie	6	77367	43
serie	6	78368	45
serie	6	79369	47
serie	6	80371	49
serie	6	81372	51
serie	6	82373	53
serie	6	83378	55
serie	6	84380	57
serie	6	85380	58
serie	6	86382	59
serie	6	87382	60
serie	6	88384	62
serie	6	89385	63
serie	6	90385	64
serie	6	91386	65
serie	6	92388	66
serie	6	93389	67
serie	6	94390	68
serie	6	95391	69
serie	6	96393	70
serie	6	97394	71
serie	6	98395	72
serie	6	99396	73
serie	6	100396	74
serie	6	101397	75
serie	6	102398	76
serie	6	103399	77
serie	6	104400	78
serie	6	105401	79
serie	6	106406	80
serie	6	107407	81
serie	6	108408	82
serie	6	109409	83
serie	6	110411	84
serie	6	111411	85
serie	6	112413	86
serie	6	113414	87
serie	6	117134	88
serie	6	118134	89
serie	6	119136	90
serie	6	120137	91
serie	6	121142	92
serie	6	122139	93
serie	6	123140	94
serie	6	124142	95
serie	6	125142	96
serie	6	126143	97
serie	6	127144	98
serie	6	128144	99
serie	6	129148	100
serie	6	130148	101
serie	6	131150	102
serie	6	132150	103
serie	6	133151	104
serie	6	134154	105
serie	6	135155	106
serie	6	152474	107
serie	6	153475	108
serie	6	154477	109
serie	6	171146	110
serie	6	172147	111
serie	6	173148	112
serie	6	174148	113
serie	6	175150	114
serie	6	176151	115
serie	6	177153	116
serie	6	178153	117
serie	6	179154	118
serie	6	180156	119
serie	6	181162	120
serie	6	191324	121
serie	6	192326	122
serie	6	193327	123
serie	6	194329	124
serie	6	195329	125
serie	6	196330	126
serie	6	197332	127
serie	6	198333	128
serie	6	199334	129
serie	6	200336	130
serie	6	201336	131
serie	6	229638	132
serie	6	230642	133
serie	6	231643	134
serie	6	232645	135
serie	6	235581	136
serie	6	311193	137
serie	6	312195	138
serie	6	370672	139
serie	6	371673	140
serie	6	419113	141
serie	6	420124	143
serie	6	421115	145
serie	6	422116	147
serie	6	423117	149
serie	6	424118	150
serie	6	425119	151
serie	6	429223	152
serie	6	430228	153
serie	6	431229	154
serie	6	432231	155
serie	6	433233	156
serie	6	434234	157
serie	6	435234	158
serie	6	436235	159
serie	6	437236	160
serie	6	510652	161
serie	6	511652	162
serie	6	559752	163
serie	6	560753	164
serie	6	561755	165
serie	6	562756	166
serie	6	563757	167
serie	6	564758	168
serie	6	565759	169
serie	6	566761	170
serie	6	567760	171
serie	6	569664	172
serie	6	570666	173
serie	6	571666	174
serie	6	572667	175
serie	6	573668	176
serie	6	574670	177
serie	6	575671	178
serie	6	576671	179
serie	6	577674	180
serie	6	578675	181
serie	6	579680	182
serie	6	580679	183
serie	6	581680	184
serie	6	582682	185
serie	6	583682	186
serie	6	586869	187
serie	6	587869	188
serie	6	588871	189
serie	6	589871	190
serie	6	609244	191
serie	6	610246	192
serie	6	611246	193
serie	6	612247	194
serie	6	613248	195
serie	6	614249	196
serie	6	615251	197
serie	6	616252	198
serie	6	617253	199
serie	6	618253	200
serie	8	144082	1
serie	8	166540	2
serie	8	167540	3
serie	8	208878	4
serie	8	209879	5
serie	8	210880	6
serie	8	211881	7
serie	8	212882	8
serie	8	216859	9
serie	8	217860	10
