metaext	1e26f641	Strongholds:Arena	132	73	313	581	14	567	0	6	0	311894	518
forme_gen	1	581
manches	6	0	[]
manches	8	0	[]
total_score	ecart	73/200	132/73
frags	10	5
frags	12	5
frags	14	4
frags	16	6
frags	18	3
frags	20	9
frags	22	9
frags	24	-26571
total_frags	ecart	-26530	49	11
segment	0	6	0	73	51350	209242	73
segment	0	8	0	133	123839	311894	200
segment	2	6	0	23	40259	311547	23
segment	2	8	0	3	44547	46045	22113
segment	2	8	1	24	54657	264530	33
segment	2	8	2	3	303940	311547	26
segment	2	10	0	6	45648	290326	5
segment	2	12	0	6	44547	308561	5
segment	2	14	0	4	44547	208077	4
segment	2	16	0	6	61816	232585	6
segment	2	18	0	4	93779	303940	3
segment	2	20	0	9	88657	290326	9
segment	2	22	0	9	61816	311547	9
segment	2	24	0	7	40259	242617	7
serie	6	51350	1
serie	6	55676	2
serie	6	56673	3
serie	6	57674	4
serie	6	58674	5
serie	6	59676	6
serie	6	60677	7
serie	6	61679	8
serie	6	64563	9
serie	6	65564	10
serie	6	66565	11
serie	6	67566	12
serie	6	68567	13
serie	6	69568	14
serie	6	70569	15
serie	6	71570	16
serie	6	73989	17
serie	6	80480	18
serie	6	81480	19
serie	6	82481	20
serie	6	83482	21
serie	6	84484	22
serie	6	85485	23
serie	6	86486	24
serie	6	87486	25
serie	6	88488	26
serie	6	89489	27
serie	6	90489	28
serie	6	91490	29
serie	6	92491	30
serie	6	93492	31
serie	6	94493	32
serie	6	95494	33
serie	6	96494	34
serie	6	97497	35
serie	6	100699	36
serie	6	101700	37
serie	6	102701	38
serie	6	103702	39
serie	6	104703	40
serie	6	105704	41
serie	6	106705	42
serie	6	107706	43
serie	6	108707	44
serie	6	109708	45
serie	6	110709	46
serie	6	111710	47
serie	6	112711	48
serie	6	113713	49
serie	6	114714	50
serie	6	115715	51
serie	6	186019	52
serie	6	187019	53
serie	6	188020	54
serie	6	189021	55
serie	6	190022	56
serie	6	191024	57
serie	6	192024	58
serie	6	193026	59
serie	6	196228	60
serie	6	197229	61
serie	6	198230	62
serie	6	199231	63
serie	6	200233	64
serie	6	201234	65
serie	6	202234	66
serie	6	203236	67
serie	6	204237	68
serie	6	205237	69
serie	6	206239	70
serie	6	207240	71
serie	6	208241	72
