metaext	24dbb67d	Ranked:Oddball	200	121	519	7341	49	7292	0	373	34212	518050	1196
forme_gen	1	7341
manches	6	1	[0]
manches	8	1	[0]
figee	6	0	100	518050
figee	8	0	78	518050
figee	12	0	74	298961
figee	16	0	4	299028
figee	18	0	21	299495
figee	20	3	-78	451414
figee	20	15	17576	451414
figee	20	18	-64	451414
figee	20	27	1023357760	451414
figee	20	28	3542423487	451414
figee	20	29	17578	451414
figee	20	30	5	451414
figee	22	0	79	299528
total_score	ecart	100/78	200/121
frags	10	8
frags	12	3
frags	14	5
frags	16	9
frags	18	8
frags	20	8
frags	22	3
frags	24	4
total_frags	ecart	48	88	8
segment	0	6	0	100	71479	290683	100
segment	0	6	1	100	348961	518032	100
segment	0	8	0	78	61336	216760	78
segment	0	8	1	23	317580	391872	2148051634
segment	0	8	2	21	392873	513729	43
segment	0	10	0	21	71479	290683	21
segment	0	10	1	10	504720	513729	10
segment	0	14	0	30	298909	502917	29
segment	0	18	0	52	61336	194736	52
segment	0	18	1	23	194902	216760	74
segment	0	18	2	19	298909	374905	18
segment	0	20	0	13	76267	87629	1212147326
segment	0	20	1	67	88280	248492	79
segment	0	20	2	54	298909	518032	53
segment	0	24	0	4	128971	131974	4
segment	0	24	1	33	298909	402883	32
segment	2	6	0	24	45707	289218	24
segment	2	6	1	22	312894	514014	21
segment	2	8	0	4	40935	84059	85
segment	2	8	1	22	90051	289218	24
segment	2	8	2	19	311794	514014	19
segment	2	10	0	8	40935	273300	8
segment	2	10	1	13	298909	514014	12
segment	2	12	0	8	80958	289218	8
segment	2	12	1	3	460526	511879	2
segment	2	14	0	9	66311	288183	8
segment	2	14	1	5	298909	502953	4
segment	2	16	0	5	66411	288567	4
segment	2	18	0	3	63343	273300	3
segment	2	18	1	7	320419	513381	6
segment	2	20	0	4	188466	288183	3
segment	2	20	1	8	312894	514014	7
segment	2	22	0	5	54199	278588	5
segment	2	22	1	5	311794	508225	4
segment	2	24	0	10	76020	289218	9
segment	2	24	1	4	298909	460390	52
serie	6	348961	1
serie	6	349962	2
serie	6	353583	3
serie	6	354584	4
serie	6	355585	5
serie	6	356586	6
serie	6	357587	7
serie	6	358588	8
serie	6	362609	9
serie	6	363610	10
serie	6	364611	11
serie	6	365612	12
serie	6	366613	13
serie	6	367614	14
serie	6	368615	15
serie	6	369616	16
serie	6	370617	17
serie	6	374905	18
serie	6	411758	19
serie	6	412759	20
serie	6	413760	21
serie	6	414761	22
serie	6	415763	23
serie	6	416764	24
serie	6	417765	25
serie	6	418765	26
serie	6	419766	27
serie	6	420767	28
serie	6	421768	29
serie	6	422769	30
serie	6	423770	31
serie	6	424771	32
serie	6	425772	33
serie	6	426773	34
serie	6	427774	35
serie	6	428776	36
serie	6	429776	37
serie	6	430777	38
serie	6	431778	39
serie	6	432779	40
serie	6	433780	41
serie	6	434781	42
serie	6	435782	43
serie	6	436783	44
serie	6	437785	45
serie	6	438785	46
serie	6	439786	47
serie	6	440787	48
serie	6	441788	49
serie	6	442790	50
serie	6	443791	51
serie	6	444792	52
serie	6	445793	53
serie	6	446794	54
serie	6	447794	55
serie	6	448796	56
serie	6	449797	57
serie	6	450798	58
serie	6	451798	59
serie	6	452800	60
serie	6	453801	61
serie	6	454802	62
serie	6	455803	63
serie	6	456804	64
serie	6	457805	65
serie	6	458806	66
serie	6	459807	67
serie	6	460808	68
serie	6	461809	69
serie	6	474889	70
serie	6	475890	71
serie	6	476891	72
serie	6	477892	73
serie	6	478893	74
serie	6	479894	75
serie	6	480895	76
serie	6	481895	77
serie	6	482897	78
serie	6	483898	79
serie	6	484899	80
