metaext	51ebbc0f	Oddball:Arena	160	95	500	5968	52	5916	0	473	55064	507048	997
forme_gen	1	5968
manches	6	4	[0 2 6 23]
manches	8	4	[0 3 6 23]
figee	6	0	80	498941
figee	6	2	2	114403
figee	6	6	68	114403
figee	6	23	5520	114403
figee	8	0	43	498941
figee	8	3	2	114436
figee	8	6	68	114436
figee	8	23	5520	114436
figee	12	0	47	259326
figee	12	4	2	114503
figee	12	6	68	114503
figee	12	23	-20	114503
figee	14	0	33	259326
figee	16	0	43	259376
figee	20	18	3296	257753
figee	20	19	338919465	257753
figee	20	23	2	257753
figee	20	24	9027	257753
total_score	ecart	5670/5633	160/95
frags	10	5
frags	12	1
frags	14	5
frags	16	4
frags	18	2
frags	20	8
frags	22	4
frags	24	2
total_frags	ecart	31	70	8
segment	0	6	0	80	99604	249982	80
segment	0	6	1	80	278818	498923	80
segment	0	8	0	43	138945	207746	43
segment	0	8	1	25	315221	376734	25
segment	0	8	2	28	377118	492000	52
segment	0	12	0	47	166321	249982	47
segment	0	12	1	28	259240	484309	27
segment	0	14	0	33	99604	211749	33
segment	0	14	1	20	259240	350839	19
segment	0	16	0	6	259240	467323	5
segment	0	20	0	35	259240	498923	34
segment	0	22	0	43	138945	207746	43
segment	0	22	1	5	259240	492000	4
segment	0	24	0	44	259240	400757	43
segment	2	6	0	19	74299	247666	19
segment	2	6	1	20	303647	492071	20
segment	2	8	0	13	71347	247666	12
segment	2	8	1	20	279472	492071	19
segment	2	10	0	5	76584	228554	5
segment	2	10	1	7	259240	491552	6
segment	2	14	0	5	130623	239032	5
segment	2	14	1	7	297473	492071	6
segment	2	16	0	4	76584	247666	4
segment	2	16	1	7	259240	491552	6
segment	2	18	0	6	279472	473166	5
segment	2	20	0	8	91984	247666	8
segment	2	20	1	8	259240	473166	7
segment	2	22	0	5	83741	232658	4
segment	2	22	1	4	316777	492071	3
segment	2	24	0	3	71347	239032	2
segment	2	24	1	6	259240	482509	5
serie	6	278818	1
serie	6	279820	2
serie	6	280822	3
serie	6	281822	4
serie	6	282822	5
serie	6	283823	6
serie	6	284824	7
serie	6	285826	8
serie	6	286825	9
serie	6	287827	10
serie	6	288828	11
serie	6	289829	12
serie	6	290830	13
serie	6	291831	14
serie	6	292832	15
serie	6	293833	16
serie	6	294834	17
serie	6	295836	18
serie	6	296837	19
serie	6	297838	20
serie	6	298839	21
serie	6	299840	22
serie	6	300840	23
serie	6	301842	24
serie	6	302843	25
serie	6	311284	26
serie	6	332823	27
serie	6	333824	28
serie	6	334825	29
serie	6	335826	30
serie	6	336827	31
serie	6	337827	32
serie	6	338829	33
serie	6	339830	34
serie	6	340831	35
serie	6	341831	36
serie	6	342833	37
serie	6	343834	38
serie	6	344834	39
serie	6	345836	40
serie	6	346836	41
serie	6	347837	42
serie	6	348838	43
serie	6	349839	44
serie	6	350839	45
serie	6	406263	46
serie	6	407264	47
serie	6	408265	48
serie	6	409266	49
serie	6	420828	50
serie	6	421830	51
serie	6	422829	52
serie	6	423831	53
serie	6	424832	54
serie	6	425832	55
serie	6	426834	56
serie	6	427836	57
serie	6	428835	58
serie	6	429836	59
serie	6	430838	60
serie	6	431838	61
serie	6	432841	62
serie	6	433841	63
serie	6	434841	64
serie	6	435844	65
serie	6	436844	66
serie	6	437845	67
serie	6	438846	68
serie	6	439847	69
serie	6	440847	70
serie	6	441850	71
serie	6	442850	72
serie	6	443851	73
serie	6	444852	74
serie	6	445853	75
serie	6	471178	76
serie	6	472178	77
serie	6	483306	78
serie	6	484309	79
serie	6	498923	80
serie	8	315221	1
serie	8	316222	2
serie	8	327251	3
serie	8	328252	4
serie	8	329252	5
serie	8	330253	6
serie	8	358715	7
serie	8	359715	8
serie	8	360717	9
serie	8	361719	10
serie	8	362719	11
serie	8	363720	12
serie	8	364722	13
serie	8	365723	14
serie	8	366724	15
serie	8	367725	16
serie	8	368726	17
serie	8	369726	18
serie	8	370728	19
serie	8	371729	20
serie	8	372730	21
serie	8	373731	22
serie	8	374732	23
serie	8	375733	24
serie	8	376734	25
serie	8	377736	26
serie	8	378735	27
serie	8	379736	28
serie	8	380737	29
serie	8	381738	30
serie	8	382740	31
serie	8	383741	32
serie	8	384741	33
serie	8	385742	34
serie	8	386743	35
serie	8	387744	36
serie	8	388745	37
serie	8	389746	38
