metaext	696a9d7c	Strongholds:Arena	200	94	561	1143	35	1108	0	45	33450	559651	1242
forme_gen	1	1143
manches	6	0	[]
manches	8	0	[]
total_score	exact	200/94	200/94
frags	10	8
frags	12	15
frags	14	16788
frags	16	9
frags	18	15
frags	20	15
frags	22	9
frags	24	16
total_frags	ecart	16875	102	8
segment	0	6	0	67	90287	282520	73
segment	0	6	1	124	290145	559651	200
segment	0	8	0	94	54552	536661	94
segment	2	6	0	30	52219	311966	85
segment	2	6	1	26	328569	555952	54
segment	2	8	0	27	68619	310899	85
segment	2	8	1	23	312787	555952	48
segment	2	10	0	9	91975	496840	8
segment	2	12	0	15	79830	555952	15
segment	2	14	0	17	57525	545905	16788
segment	2	16	0	7	145317	351438	70
segment	2	16	1	4	360534	555952	9
segment	2	18	0	10	57525	360567	10
segment	2	18	1	6	386157	544139	15
segment	2	20	0	16	83483	534363	15
segment	2	22	0	10	129565	545675	9
segment	2	24	0	17	52219	546592	16
serie	6	90287	2
serie	6	91288	3
serie	6	92289	4
serie	6	93290	5
serie	6	94291	6
serie	6	95293	7
serie	6	96293	9
serie	6	97293	10
serie	6	98295	11
serie	6	99296	12
serie	6	100297	13
serie	6	101298	14
serie	6	102303	15
serie	6	117083	16
serie	6	118084	17
serie	6	119085	18
serie	6	120086	19
serie	6	121087	20
serie	6	122088	21
serie	6	123089	22
serie	6	124090	23
serie	6	125091	24
serie	6	126097	25
serie	6	127094	26
serie	6	128094	27
serie	6	130580	28
serie	6	131581	29
serie	6	133966	30
serie	6	134967	31
serie	6	135968	32
serie	6	136969	33
serie	6	140891	34
serie	6	143327	35
serie	6	144329	36
serie	6	145331	37
serie	6	146331	39
serie	6	147331	41
serie	6	148332	43
serie	6	149332	45
serie	6	150334	46
serie	6	151335	47
serie	6	152335	48
serie	6	153336	49
serie	6	154337	50
serie	6	155343	51
serie	6	156340	52
serie	6	157341	53
serie	6	158342	54
serie	6	159343	55
serie	6	160343	56
serie	6	161344	57
serie	6	162346	58
serie	6	163346	59
serie	6	164347	60
serie	6	165348	61
serie	6	166349	62
serie	6	167350	63
serie	6	168351	64
serie	6	169352	65
serie	6	170353	66
serie	6	171355	67
serie	6	172357	68
serie	6	173357	69
serie	6	279516	70
serie	6	280517	71
serie	6	281519	72
