chunk	packet	t_us	slot	mask	state	round	rt_a	rt_b	rt_qa	rt_qb	rt_tail	sd_a	sd_b	sd_c	grace_a	grace_b	grace_c	cond
2	508	5017874011	256	i2|i6	4							15409	46026	26				
3	1612	5047083190	364	i7|i28											2592	31554	0	
3	1666	5047533018	182	i8														778
3	1748	5048217424	256	i4														
4	98	5054456447	256	i8														155
4	100	5054473007	256	i8														155
4	834	5060546688	256	i4		1												
4	1148	5063098931	256	i2|i6	4							15409	46026	26				
4	1262	5064015831	256	i1|i4		18												
4	1774	5068286945	256	i2|i36	4													
4	1990	5070088891	364	i2|i36	4													
4	2168	5071573967	256	i4														
4	2170	5071590304	364	i7|i28											41861	41394	7	
4	2216	5071974631	256	i4														
4	2264	5072374673	256	i8														385
4	2294	5072626046	256	i4														
4	2344	5073042141	182	i2|i39	6													
5	626	5078865836	256	i7											64248	4599	9	
5	776	5080116180	256	i4														
5	1114	5082901967	364	i2|i4	3	0												
5	1584	5086822537	256	i2|i6	4							15409	46026	26				
5	1850	5089041453	182	i8														467
5	2344	5093162916	256	i1|i8														770
6	32	5093913094	256	i2|i20	2													
6	408	5097049240	182	i8														879
6	1094	5102772229	256	i2|i6	4							15409	46026	26				
6	1272	5104256739	364	i2|i20	4													
7	410	5117069736	364	i4|i36		24												
7	922	5121340386	364	i4|i20														
7	1868	5129231152	364	i2|i26	0													
8	478	5137640797	256	i4														
8	786	5140210224	182	i8														155
8	788	5140226237	182	i8														155
8	1596	5146966322	364	i4|i36														
8	1768	5148400844	256	i4|i55|i57|i60		4												
8	1990	5150253211	256	i4|i6|i41		0						277	36927	7				
8	2108	5151237584	364	i4|i36		24												
9	6	5153717834	256	i4|i36														
9	222	5155508669	364	i6|i20								24578	51234	12				
9	518	5157977898	256	i6|i20								32770	43808	17				
9	632	5158929707	256	i4|i55|i57|i60		4												
9	636	5158963960	256	i5			517.746	16196.264	943	29484	0							
9	734	5159779820	364	i6|i36								32770	43808	16				
9	756	5159963511	256	i2|i6	4							15409	46026	26				
10	130	5174745361	256	i4														
10	168	5175062864	256	i6|i20								32770	43808	16				
10	384	5176863481	364	i6|i36								32770	43808	16				
10	1146	5183220236	256	i7											41024	63108	1	
10	1640	5187341298	256	i2|i6	4							15409	46026	26				
10	1920	5189676262	364	i6|i20								32770	43808	15				
11	34	5193947356	364	i6|i36								16434	2126	7				
11	330	5196416568	256	i6|i36								32770	43808	16				
11	546	5198218326	364	i6|i36								24618	51232	6				
11	988	5201905420	256	i2|i55|i57|i60	0													
11	1202	5203690922	256	i4|i30														
11	1866	5209229250	256	i6|i36								32770	43808	16				
11	1866	5209229250	256	i7|i36											24578	51230	22	
11	1866	5209229250	256	i8|i20														512
11	2004	5210380742	256	i2|i6	4							15409	46026	26				
11	2312	5212949868	256	i0|i3|i4														
11	2378	5213500585	256	i8|i36														768
12	386	5216887558	182	i8														855
12	492	5217771277	256	i8|i52														512
13	810	5240427783	256	i2|i6	4							15409	46026	26				
13	1428	5245582524	256	i7|i17|i50|i56											13380	43200	0	
13	2034	5250637946	256	i2	2													
14	138	5254825782	256	i2	6													
14	900	5261186235	256	i2	4													
14	1284	5264385075	182	i8|i34														594
14	1316	5264651733	182	i8|i34														593
14	1856	5269157091	256	i2|i55|i57|i60	0													
14	2372	5273460925	256	i4														
15	66	5274228379	256	i4														
15	104	5274545891	256	i4														
15	110	5274595676	182	i5|i14|i17			3112.796	187.597	5667	342	8							
15	742	5279867650	256	i4														
15	762	5280034429	256	i4														
15	798	5280334464	256	i2	7													
15	816	5280484571	256	i7											24640	63108	1	
15	1482	5286040619	256	i2|i6	4							15409	46026	26				
16	478	5297668868	256	i2	2													
16	1792	5308630293	256	i2|i6	4							15409	46026	26				
17	682	5319374553	182	i8														891
17	802	5320375541	256	i4														
17	1094	5322810575	182	i8														583
17	1318	5324679519	256	i2|i6	4							15409	46026	26				
18	290	5336107255	182	i5			35494.887	26165.562	64615	47632	1							
18	802	5340378399	256	i2|i6	4							15409	46026	26				
18	852	5340795339	182	i8														339
18	870	5340945169	182	i8|i45														132
18	2206	5352090243	364	i5			815.485	2505.783	1485	4562	6							
19	524	5358063470	256	i1|i6								21784	132	3				
20	40	5374029982	256	i8														476
20	198	5375347733	256	i4														
20	1342	5384889860	256	i4|i24|i40														
21	442	5397385765	256	i2|i3	1													
21	1682	5407730013	182	i2|i34	7													
21	2138	5411536151	256	i5|i30			0.000	1.373	0	3	16							
22	446	5417423197	256	i4														
22	604	5418744124	256	i8														130
22	604	5418744124	256	i5|i55			0.000	1.373	0	3	24							
22	1606	5427099263	182	i8														935
23	346	5436592200	182	i4														
23	796	5440345514	182	i4|i8|i32		14												1011
23	1428	5445618880	256	i2|i6	4							15409	46026	26				
23	2106	5451274204	256	i2|i55|i57|i60	0													
23	2144	5451590563	256	i2|i55|i57|i60	0													
23	2214	5452174232	182	i8														67
24	202	5455395443	256	i5			571.032	18000.824	1040	32769	18							
24	258	5455862427	256	i2	6													
24	1756	5468358106	256	i2|i6	4							15409	46026	26				
24	1984	5470260414	256	i8														154
24	2212	5472162345	256	i0|i4|i7											11272	3836	19	
25	450	5477468455	182	i8														883
25	1320	5484726720	256	i2|i6	4							15409	46026	26				
25	1540	5486561483	182	i8														831
25	1670	5487645825	182	i2	5													
26	356	5496688563	256	i4														
26	464	5497589858	256	i8														246
26	1768	5508466001	256	i4														
26	1872	5509334188	256	i2|i6	4							15409	46026	26				
26	2176	5511869719	256	i2|i55|i57|i60	0													
26	2384	5513605398	256	i6|i55|i57|i60								4221	32240	0				
26	2386	5513622334	256	i6|i55|i57|i60								4221	32240	0				
27	454	5517510289	256	i1|i8														801
27	846	5520780301	256	i2|i55|i57|i60	0													
27	848	5520796396	256	i2|i55|i57|i60	4													
27	1022	5522247272	182	i5|i10|i17			5152.471	11.261	9380	21	11							
27	1158	5523382307	256	i2|i55|i57|i60	0													
27	1678	5527720691	256	i4														
27	2054	5530855936	182	i8														523
28	676	5539365626	256	i2|i6	4							15409	46026	26				
29	1944	5569945490	256	i2|i6	4							15409	46026	26				
29	2254	5572530350	256	i4														
30	344	5576601896	182	i4|i23|i36|i60														
30	396	5577035690	256	i5			4388.897	14486.189	7990	26371	27							
30	1342	5584926922	256	i6|i50								14462	59542	10				
30	1784	5588613774	256	i2|i6	4							15409	46026	26				
30	2014	5590532630	256	i4														
31	118	5594719991	256	i4														
31	768	5600141322	182	i8														883
31	1264	5604281213	256	i4														
31	1352	5605014051	256	i5			552.904	17332.285	1007	31552	0							
31	1438	5605731354	256	i6								18008	4	5				
32	224	5615607696	256	i2|i6	4							15409	46026	26				
32	1632	5627352422	182	i8														423
32	1766	5628470448	182	i8														611
32	2128	5631490636	256	i4														
32	2156	5631724471	256	i8														412
33	172	5635177389	256	i8|i33														749
33	176	5635210692	256	i7|i33											48452	45204	0	
33	744	5639948375	256	i4		1												
34	1372	5665191398	256	i4														
34	1762	5668444156	256	i6|i14								22861	51177	4				
34	1762	5668444156	256	i2|i22	2													
34	1762	5668444156	256	i2|i14	2													
34	1764	5668460824	256	i5|i46			13305.123	28354.656	24221	51617	4							
34	1774	5668544251	256	i6|i14								22861	51177	4				
34	1880	5669427903	182	i8														916
35	6	5673809933	256	i4														
35	114	5674702907	256	i2	2													
35	976	5681890555	256	i4|i10		8												
35	1224	5683959219	256	i4|i40		8												
35	1226	5683975952	256	i4|i40		8												
35	1840	5689096375	256	i2|i51	7													
