chunk	packet	t_us	slot	mask	state	round	rt_a	rt_b	rt_qa	rt_qb	rt_tail	sd_a	sd_b	sd_c	grace_a	grace_b	grace_c	cond
6	796	7878961633	364	i2|i4	3	0												
6	1050	7883228568	364	i2|i20|i40	0													
7	632	7896041862	364	i2|i52	2													
7	652	7896376141	364	i6								6800	66	12				
7	888	7900313242	364	i2|i52	2													
7	888	7900313242	364	i5|i52			18001.373	24064.912	32770	43808	13							
7	888	7900313242	364	i1|i4|i40														
7	1080	7903516205	364	i6|i8|i44|i49								479	32802	4				45
8	186	7908846602	364	i5|i20			10504.623	33069.031	19123	60199	5							
8	954	7921660952	364	i2|i52	3													
9	268	7930202951	364	i1|i4|i40														
9	522	7934484296	364	i7|i20											32770	43808	13	
9	522	7934484296	364	i2|i20|i40	0													
9	550	7934952433	364	i6								11928	66	1				
9	566	7935219230	364	i6								10904	66	1				
9	778	7938755032	364	i2|i52	3													
9	778	7938755032	364	i8|i52														384
9	1034	7943024429	364	i8|i52														512
10	1116	7964378108	364	i8|i20														512
12	252	7989990048	364	i7|i52											32770	43808	17	
12	252	7989990048	364	i8|i52														384
12	1020	8002803483	364	i8|i52														512
14	584	8035596844	364	i2|i16|i48	1													
15	174	8048745199	364	i0|i4														
15	1108	8064360811	364	i5|i31|i36			7459.670	6209.388	13580	11304	14							
17	278	8090525395	364	i8|i22|i32|i49														707
17	282	8090592526	364	i8|i22|i32|i45														707
19	314	8131193033	364	i6								33	1908	1				
19	346	8131725981	364	i8														0
22	1158	8205285760	364	i6|i7|i36								12554	24302	16	47918	14663	10	
26	814	8279614275	364	i5|i56			29109.988	8367.717	52992	15233	19							
28	816	8319685271	364	i6|i15								6720	264	6				
28	1104	8324490991	364	i5|i56			31447.951	8030.427	57248	14619	20							
32	144	8388576958	364	i2|i19	3													
32	718	8398154354	364	i2	2													
35	222	8449950286	364	i2	0													
35	226	8450016836	364	i2	0													
35	230	8450083374	364	i2	0													
35	234	8450149188	364	i2	0													
36	1144	8485302838	364	i2|i27	2													
38	1132	8525157172	364	i8|i15|i36														120
40	466	8554104559	364	i4		1												
42	1114	8605013166	364	i4|i8		8												640
42	1114	8605013166	364	i5|i56			13523.209	28145.359	24618	51236	13							
43	176	8609282190	364	i4|i56														
43	176	8609282190	364	i6|i24								32770	43808	15				
43	176	8609282190	364	i6|i20|i40								132	6944	15				
43	690	8617820556	364	i4|i56		16												
