chunk	packet	t_us	slot	mask	state	round	rt_a	rt_b	rt_qa	rt_qb	rt_tail	sd_a	sd_b	sd_c	grace_a	grace_b	grace_c	cond
1	278	6646350741	1024	i6|i45								26881	44076	13				
1	278	6646350741	1024	i6|i45								26881	44749	29				
1	1022	6652978978	1024	i2|i63	2													
1	1050	6653210590	1024	i2|i63	2													
2	1836	6679020234	1024	i2	6													
2	1868	6679286596	1024	i0|i1|i2|i5	2		14310.952	5553.484	26052	10110	9							
2	1870	6679303096	1024	i0|i1|i2	4													
2	1872	6679319973	1024	i0|i1|i2	0													
2	1874	6679336726	1024	i0|i1|i2	7													
2	1876	6679353717	1024	i0|i1|i2|i20	4													
2	1878	6679370143	1024	i0|i1|i2|i20	0													
2	1880	6679386869	1024	i0|i1|i2	0													
2	1882	6679404011	1024	i2	6													
2	1882	6679404011	1024	i0|i1|i2	0													
2	1884	6679420215	1024	i0|i1|i2	2													
2	1886	6679436861	1024	i0|i1|i2	4													
2	1888	6679453863	1024	i0|i1|i2|i20	0													
2	1890	6679470458	1024	i0|i1|i2|i20	4													
2	1892	6679487069	1024	i0|i1|i2	0													
2	1894	6679503601	1024	i0|i1|i2	0													
2	1896	6679520395	1024	i0|i1|i2	7													
2	1898	6679537343	1024	i0|i1|i2	0													
2	1900	6679554143	1024	i0|i1|i2	0													
2	1902	6679570507	1024	i0|i1|i2	0													
2	1904	6679587076	1024	i0|i1|i2	0													
2	1906	6679603592	1024	i0|i1|i2	6													
2	1908	6679620541	1024	i0|i1|i2	2													
2	1910	6679636884	1024	i0|i1|i2|i20	4													
2	1912	6679653609	1024	i0|i1|i2|i20	3													
2	1914	6679670272	1024	i0|i1|i2	0													
2	1916	6679686950	1024	i0|i1|i2	0													
2	1918	6679703564	1024	i0|i1|i2|i20	0													
2	1920	6679720336	1024	i0|i1|i2|i20	3													
2	1922	6679737070	1024	i0|i1|i2	0													
2	1924	6679753832	1024	i0|i1|i2	7													
2	1926	6679770298	1024	i0|i1|i2	0													
2	1928	6679787612	1024	i0|i1|i2|i20	0													
2	1930	6679803855	1024	i0|i1|i2|i20	0													
2	1932	6679820593	1024	i0|i1|i2	1													
2	1934	6679837043	1024	i0|i1|i2	7													
2	1936	6679853810	1024	i0|i1|i2	7													
2	1938	6679870788	1024	i0|i1|i2	0													
2	1940	6679887434	1024	i0|i1|i2|i20	0													
2	1942	6679903703	1024	i0|i1|i2|i20	3													
2	1944	6679920752	1024	i0|i1|i2	7													
2	1946	6679937209	1024	i0|i1|i2	0													
2	1948	6679953903	1024	i0|i1|i2	7													
2	1950	6679970465	1024	i0|i1|i2	1													
