chunk	packet	t_us	slot	mask	state	round	rt_a	rt_b	rt_qa	rt_qb	rt_tail	sd_a	sd_b	sd_c	grace_a	grace_b	grace_c	cond
3	160	8470679685	182	i4|i29		15												
3	2124	8487063366	182	i8														628
4	336	8492150403	364	i2|i36	3													
4	1872	8504963881	364	i2|i36	4													
4	2328	8508767766	182	i8														951
5	1126	8518744490	182	i8														672
6	1096	8538496967	182	i8														891
6	1684	8543402128	364	i4|i36														
7	408	8552761790	364	i8														936
8	18	8569512023	182	i8														827
8	716	8575334817	182	i8														931
9	652	8594804357	182	i8														831
9	1074	8598324280	182	i8														859
9	1220	8599541860	182	i4		0												
10	772	8615808695	182	i8|i33														296
14	2020	8706232984	182	i8														779
15	406	8712772036	182	i8														896
15	410	8712806017	182	i8														900
15	412	8712822378	182	i8														904
15	414	8712839251	182	i8														908
15	418	8712873212	182	i8														912
15	420	8712888812	182	i8														916
15	442	8713073197	182	i8														932
15	444	8713089626	182	i8														936
16	936	8737197648	364	i1|i2	1													
