chunk	packet	t_us	slot	mask	state	round	rt_a	rt_b	rt_qa	rt_qb	rt_tail	sd_a	sd_b	sd_c	grace_a	grace_b	grace_c	cond
1	186	4538344032	2560	i4		0												
4	1880	4612420011	2560	i7|i62											8338	6141	11	
5	1180	4626583931	2560	i2|i55|i57|i60	0													
5	2390	4636679750	2560	i1|i3|i4														
6	252	4638848229	2560	i1|i4														
6	372	4639849187	2560	i1|i4|i5|i41		31	2817.255	13852.259	5129	25217	11							
6	376	4639882906	2560	i1|i4|i5			24171.484	18169.469	44002	33076	11							
6	380	4639915858	2560	i1|i4		5												
6	1078	4645738634	2560	i1|i8														131
7	1664	4670631089	2560	i4		0												
8	802	4683442873	5728	i8|i38														134
8	2186	4694988458	5728	i8|i26														280
9	2068	4714007401	2560	i7|i14|i16|i56											4	26731	18	
10	2168	4734844651	5728	i4|i17		10												
11	496	4740901236	2560	i2|i55|i57|i60	0													
11	498	4740917563	2560	i2|i55|i57|i60	0													
11	1246	4747157360	2560	i2|i18	2													
11	1326	4747827733	2560	i1|i4														
12	284	4759137420	2560	i4		0												
12	2106	4774335676	2560	i4		0												
13	506	4780991547	2560	i1|i7											8407	25937	2	
13	2028	4793688271	2560	i6								12367	51856	0				
15	132	4817879105	2560	i6								35029	8192	17				
15	1240	4827124553	2560	i0|i2|i4|i6|i58	5	21						36978	7325	11				
16	1990	4853384179	5728	i0|i2	0													
16	2296	4855936670	2560	i8														122
17	2054	4873921862	5728	i4														
18	10	4876875620	5728	i8														0
18	954	4884748521	2560	i1|i4|i33|i40		4												
18	958	4884782484	2560	i1|i4|i33		29												
18	2162	4894826417	5728	i8														77
19	1562	4909826051	2560	i5|i6|i14|i53			9070.314	4870.663	16512	8867	18	18000	665	21				
19	1810	4911893216	2560	i1|i8|i35|i37|i52														643
20	612	4921907315	2560	i5|i7|i28|i53			9072.512	5139.287	16516	9356	3				14938	17097	12	
20	1656	4930612334	5728	i4|i18		24												
20	1674	4930763601	2560	i5|i8|i20|i53			9070.314	4870.663	16512	8867	18							281
20	2048	4933882179	5728	i2|i5|i40	4		19299.447	2256.386	35133	4108	16							
21	232	4938738418	2560	i5|i9|i14|i53			9070.314	4870.663	16512	8867	18							
21	500	4940972835	5728	i8|i31|i63														658
21	810	4943560019	2560	i5|i9|i48|i53			9070.314	4870.663	16512	8867	18							
21	1506	4949369448	2560	i5|i10|i28|i53			9070.314	5139.287	16512	9356	3							
22	890	4964230257	2560	i4		0												
22	1040	4965480988	5728	i5			4285.074	32156.041	7801	58537	31							
23	28	4977043093	5728	i2	0													
23	72	4977410766	2560	i5|i12|i24|i53			9070.314	4870.663	16512	8867	18							
23	410	4980232898	2560	i5|i12|i40|i53			9072.512	5139.287	16516	9356	3							
23	2368	4996562764	2560	i4		0												
25	150	5018066171	2560	i0|i1|i2|i3	3													
25	152	5018083262	2560	i0|i1|i2|i3	2													
25	154	5018099988	2560	i0|i1|i2|i3	2													
25	156	5018116959	2560	i0|i1|i2	0													
25	158	5018132742	2560	i0|i1|i2	0													
25	160	5018150005	2560	i0|i1|i2|i3	1													
25	162	5018166722	2560	i0|i1|i2|i3	7													
25	164	5018183366	2560	i0|i1|i2|i3	5													
25	166	5018199401	2560	i0|i1|i2|i3	0													
25	168	5018216657	2560	i0|i1|i2|i3	7													
25	170	5018233319	2560	i0|i1|i2|i3	7													
25	172	5018250113	2560	i0|i1|i2|i3	5													
25	174	5018266177	2560	i0|i1|i2|i3	5													
25	176	5018283315	2560	i0|i1|i2|i3	5													
25	178	5018300073	2560	i0|i1|i2|i3	5													
25	180	5018316165	2560	i0|i1|i2|i3	6													
25	182	5018333519	2560	i0|i1|i2|i3	7													
25	184	5018350055	2560	i0|i1|i2|i3	7													
25	192	5018416918	2560	i0|i1|i2|i3	4													
25	196	5018449603	2560	i0|i1|i2|i3	6													
25	198	5018466950	2560	i0|i1|i2|i3	0													
25	200	5018483517	2560	i0|i1|i2|i3	7													
25	202	5018500211	2560	i0|i1|i2|i3	7													
25	204	5018516395	2560	i0|i1|i2|i3	4													
25	206	5018533606	2560	i0|i1|i2|i3	6													
25	208	5018550329	2560	i0|i1|i2|i3	0													
25	210	5018566255	2560	i0|i1|i2|i3	7													
25	212	5018583370	2560	i0|i1|i2|i3	2													
25	216	5018616147	2560	i0|i1|i2|i3	7													
25	218	5018632792	2560	i0|i1|i2|i3	3													
25	220	5018649629	2560	i1|i2|i3	0													
25	222	5018666141	2560	i1|i2|i3	0													
25	230	5018732811	2560	i2	3													
