chunk	packet	t_us	slot	mask	state	round	rt_a	rt_b	rt_qa	rt_qb	rt_tail	sd_a	sd_b	sd_c	grace_a	grace_b	grace_c	cond
1	1000	373148299	1536	i7											45888	10432	0	
1	1000	373148299	1536	i7											45888	10752	0	
1	1004	373175767	1536	i4		6												
1	1012	373242113	1536	i4		6												
3	6	404279698	1536	i6|i20|i27|i54								57171	56456	3				
3	1454	416348536	1536	i8														187
4	328	426959401	1536	i0|i5|i40|i49|i55			22123.570	17512.467	40274	31880	4							
4	514	428514660	1536	i4		6												
4	514	428514660	1536	i0|i8														6
4	1104	433432662	1536	i7											45888	14624	0	
4	1334	435350551	1536	i8														147
5	1314	455187397	1536	i2	6													
5	1882	459926290	1536	i2|i16	1													
6	886	471621146	1536	i8														0
6	1144	473776891	1536	i4		6												
6	2016	481047231	1536	i0|i2	3													
6	2060	481417921	1536	i4		6												
6	2216	482715256	1536	i4|i20		24												
7	178	485719343	1536	i5			22363.629	18019.502	40711	32803	0							
7	1700	498420898	1536	i4		6												
8	530	508661180	1536	i2|i48	5													
8	2028	521157232	1536	i6|i36								32770	43808	14				
8	2096	521723727	1536	i2|i33|i38	7													
9	158	525560850	1536	i5			11634.602	11354.441	21180	20670	19							
9	1824	539462694	1536	i4		6												
10	206	545964797	1536	i7|i63											8834	60033	8	
10	890	551670034	1536	i8|i53														935
10	1494	556708876	1536	i7											45888	15840	0	
10	1666	558147110	1536	i4		6												
10	1840	559595089	1536	i7|i36											24578	51228	22	
10	1840	559595089	1536	i8|i36														512
10	2066	561480191	1536	i2	4													
10	2120	561930738	1536	i1|i2|i19|i58	4													
11	474	568203579	1536	i5			18996.217	9149.968	34581	16657	2							
11	1066	573145916	1536	i4		6												
11	2262	583119165	1536	i2	4													
11	2270	583185767	1536	i2	4													
11	2284	583302597	1536	i2	4													
11	2290	583352748	1536	i2	4													
11	2382	584123822	1536	i4		6												
12	1388	595831278	1536	i0|i7|i8|i17											40073	60421	1	496
12	1450	596348624	1536	i2|i7|i32	6										48391	40208	18	
12	1514	596882216	1536	i2|i4	2	7												
12	1516	596899101	1536	i0|i4														
12	1572	597366243	1536	i8														73
12	1574	597382946	1536	i6								4692	17352	16				
12	1578	597416072	1536	i2	0													
12	2068	601504825	1536	i7											45888	8512	0	
12	2354	603890189	1536	i6|i20|i26|i45								15858	9885	1				
13	622	609444943	1536	i8														123
13	1176	614069887	1536	i4		6												
13	1920	620272492	1536	i4														
14	1482	636627719	1536	i4		6												
15	906	651823282	1536	i2	2													
16	122	665286270	1536	i6								2753	58375	6				
16	910	671862296	1536	i4		6												
16	1140	673778455	1536	i5			10805.657	7453.078	19671	13568	1							
16	1832	679550990	1536	i5|i16			28123.936	5451.857	51197	9925	17							
