chunk	packet	t_us	slot	mask	state	round	rt_a	rt_b	rt_qa	rt_qb	rt_tail	sd_a	sd_b	sd_c	grace_a	grace_b	grace_c	cond
2	2066	8613409833	1536	i2	4													
3	2018	8633011903	1536	i8|i16														0
3	2026	8633078158	1536	i5			18000.275	509.507	32768	928	4							
4	382	8639368068	1536	i7											12346	8323	2	
5	18	8656335022	1536	i8														155
5	20	8656351477	1536	i8														155
5	22	8656368562	1536	i8														155
5	24	8656385242	1536	i8														155
5	1136	8665660640	1536	i8														219
5	1274	8666812376	1536	i8														251
5	1536	8669001172	1536	i6								1938	57828	5				
5	1614	8669651111	1536	i2|i24	0													
5	1926	8672254162	1536	i7											12994	8323	7	
5	2092	8673639021	1536	i8														59
5	2094	8673655533	1536	i8														59
7	818	8703018616	1536	i7											13466	5761	20	
7	2240	8714879894	1536	i0|i8|i33|i45														916
7	2242	8714896811	1536	i2|i8|i33|i45	1													0
7	2244	8714913143	1536	i4|i8|i33|i45		8												0
7	2246	8714930061	1536	i6|i8|i33|i45								8192	43720	3				825
9	70	8736785164	1536	i7|i29|i38|i62											53405	59936	3	
9	2214	8754652342	1536	i8														946
9	2404	8756237949	1536	i8|i36														256
11	406	8779595302	1536	i7|i61											35439	8338	21	
11	542	8780729665	1536	i7											15002	8193	1	
11	1142	8785737767	1536	i2|i33	0													
13	540	8820718285	1536	i4|i28|i62		4												
