chunk	packet	t_us	slot	mask	state	round	rt_a	rt_b	rt_qa	rt_qb	rt_tail	sd_a	sd_b	sd_c	grace_a	grace_b	grace_c	cond
2	2400	6603470232	2656	i5|i40			3667.623	2954.039	6677	5378	0							
4	494	6627578997	2656	i8														123
4	1090	6632549689	2656	i5|i40			3667.623	2954.039	6677	5378	0							
4	1330	6634552731	2656	i5|i40			3667.623	2954.039	6677	5378	0							
4	2050	6640557869	2656	i5|i40			3667.623	2954.039	6677	5378	0							
4	2290	6642559447	2656	i5|i40			3667.623	2954.039	6677	5378	0							
5	132	6644561453	2656	i5|i40			3667.623	2954.039	6677	5378	0							
5	372	6646564017	2656	i5|i40			3667.623	2954.039	6677	5378	0							
5	612	6648565876	2656	i5|i40			3667.623	2954.039	6677	5378	0							
5	1332	6654571452	2656	i5|i40			3667.623	2954.039	6677	5378	0							
5	1632	6657074751	2656	i5|i40			3667.623	2954.039	6677	5378	0							
5	1812	6658576595	2656	i5|i40			3667.623	2954.039	6677	5378	0							
5	2052	6660578356	2656	i5|i40			3667.623	2954.039	6677	5378	0							
5	2292	6662580077	2656	i5|i40			3667.623	2954.039	6677	5378	0							
6	134	6664581997	2656	i5|i40			3667.623	2954.039	6677	5378	0							
6	1820	6678649569	2656	i2	0													
6	1874	6679100148	2656	i5|i40			3667.623	2954.039	6677	5378	0							
7	136	6684605396	2656	i5|i40			3667.623	2954.039	6677	5378	0							
7	976	6691612693	2656	i5|i40			3667.623	2954.039	6677	5378	0							
7	1936	6699619990	2656	i5|i40			3667.623	2954.039	6677	5378	0							
8	644	6708848319	2656	i5|i55			4257.058	22510.301	7750	40978	14							
8	1912	6719423522	2656	i5|i40			3667.623	2954.039	6677	5378	0							
9	234	6725429869	2656	i5|i40			3667.623	2954.039	6677	5378	0							
9	474	6727431644	2656	i5|i40			3667.623	2954.039	6677	5378	0							
9	714	6729433224	2656	i5|i40			3667.623	2954.039	6677	5378	0							
9	954	6731435402	2656	i5|i40			3667.623	2954.039	6677	5378	0							
9	1674	6737442973	2656	i5|i40			3667.623	2954.039	6677	5378	0							
9	1794	6738443170	2656	i5|i40			3667.623	2954.039	6677	5378	0							
10	476	6747451396	2656	i5|i40			3667.623	2954.039	6677	5378	0							
10	716	6749454708	2656	i5|i40			3667.623	2954.039	6677	5378	0							
10	956	6751457053	2656	i5|i40			3667.623	2954.039	6677	5378	0							
10	1196	6753458810	2656	i5|i40			3667.623	2954.039	6677	5378	0							
10	1496	6755961670	2656	i5|i40			3667.623	2954.039	6677	5378	0							
10	1930	6759582825	2656	i8|i34														280
10	2156	6761467586	2656	i5|i40			3667.623	2954.039	6677	5378	0							
11	478	6767472631	2656	i5|i40			3667.623	2954.039	6677	5378	0							
11	958	6771479340	2656	i5|i40			3667.623	2954.039	6677	5378	0							
11	1198	6773479387	2656	i5|i40			3667.623	2954.039	6677	5378	0							
11	1438	6775481630	2656	i5|i40			3667.623	2954.039	6677	5378	0							
11	1678	6777483579	2656	i5|i40			3667.623	2954.039	6677	5378	0							
11	1978	6779987647	2656	i5|i40			3667.623	2954.039	6677	5378	0							
11	1980	6780004545	2656	i5			2399.762	23062.930	4369	41984	2							
12	80	6784157975	2656	i4|i5		0	0.000	13.459	0	25	16							
12	1394	6795118619	2656	i2|i4|i27|i54	3													
12	1440	6795502644	2656	i5|i40			3667.623	2954.039	6677	5378	0							
12	1920	6799507078	2656	i5|i40			3667.623	2954.039	6677	5378	0							
12	2160	6801509688	2656	i5|i40			3667.623	2954.039	6677	5378	0							
12	2400	6803510860	2656	i5|i40			3667.623	2954.039	6677	5378	0							
13	962	6811518662	2656	i5|i40			3667.623	2954.039	6677	5378	0							
13	1202	6813520460	2656	i5|i40			3667.623	2954.039	6677	5378	0							
13	1442	6815523026	2656	i5|i40			3667.623	2954.039	6677	5378	0							
13	1682	6817523964	2656	i5|i40			3667.623	2954.039	6677	5378	0							
13	1922	6819526174	2656	i5|i40			3667.623	2954.039	6677	5378	0							
13	2162	6821529063	2656	i5|i40			3667.623	2954.039	6677	5378	0							
14	106	6824386256	2656	i2	4													
14	1804	6838546839	2656	i5|i40			3667.623	2954.039	6677	5378	0							
14	1920	6839513601	2656	i2|i34	3													
14	2164	6841549338	2656	i5|i40			3667.623	2954.039	6677	5378	0							
15	6	6843561809	2656	i5|i40			3667.623	2954.039	6677	5378	0							
15	246	6845553448	2656	i5|i40			3667.623	2954.039	6677	5378	0							
15	486	6847555212	2656	i5|i40			3667.623	2954.039	6677	5378	0							
15	578	6848323158	2656	i4														
15	966	6851560086	2656	i5|i40			3667.623	2954.039	6677	5378	0							
15	1686	6857565369	2656	i5|i40			3667.623	2954.039	6677	5378	0							
15	1986	6860068416	2656	i5|i40			3667.623	2954.039	6677	5378	0							
15	2166	6861569673	2656	i5|i40			3667.623	2954.039	6677	5378	0							
16	8	6863572112	2656	i5|i40			3667.623	2954.039	6677	5378	0							
16	248	6865573080	2656	i5|i40			3667.623	2954.039	6677	5378	0							
16	488	6867575633	2656	i5|i40			3667.623	2954.039	6677	5378	0							
16	1688	6877586169	2656	i5|i40			3667.623	2954.039	6677	5378	0							
16	1928	6879588014	2656	i5|i40			3667.623	2954.039	6677	5378	0							
16	2168	6881589612	2656	i5|i40			3667.623	2954.039	6677	5378	0							
16	2228	6882090197	2656	i5|i40			3667.623	2954.039	6677	5378	0							
16	2370	6883275176	2656	i6								16398	155	11				
17	730	6889598281	2656	i5|i40			3667.623	2954.039	6677	5378	0							
17	836	6890482272	2656	i5|i58			12506.942	22379.559	22768	40740	15							
17	970	6891599589	2656	i5|i40			3667.623	2954.039	6677	5378	0							
17	1150	6893101495	2656	i5|i40			3667.623	2954.039	6677	5378	0							
17	1210	6893601624	2656	i5|i40			3667.623	2954.039	6677	5378	0							
17	1450	6895604056	2656	i5|i40			3667.623	2954.039	6677	5378	0							
17	1690	6897605136	2656	i5|i40			3667.623	2954.039	6677	5378	0							
17	1930	6899607501	2656	i5|i40			3667.623	2954.039	6677	5378	0							
17	2050	6900608483	2656	i5|i40			3667.623	2954.039	6677	5378	0							
17	2170	6901609647	2656	i5|i40			3667.623	2954.039	6677	5378	0							
18	12	6903612373	2656	i5|i40			3667.623	2954.039	6677	5378	0							
18	252	6905616848	2656	i5|i40			3667.623	2954.039	6677	5378	0							
18	732	6909618320	2656	i5|i40			3667.623	2954.039	6677	5378	0							
18	2172	6921630115	2656	i5|i40			3667.623	2954.039	6677	5378	0							
18	2276	6922497981	2656	i4|i5		0	0.000	4.669	0	9	16							
19	494	6927636072	2656	i5|i40			3667.623	2954.039	6677	5378	0							
19	734	6929638185	2656	i5|i40			3667.623	2954.039	6677	5378	0							
19	974	6931640393	2656	i5|i40			3667.623	2954.039	6677	5378	0							
19	1214	6933642054	2656	i5|i40			3667.623	2954.039	6677	5378	0							
19	1454	6935644405	2656	i5|i40			3667.623	2954.039	6677	5378	0							
20	870	6950776548	2656	i6								23160	13603	28				
20	1298	6954346659	2656	i5|i40			3667.623	2954.039	6677	5378	0							
21	1180	6973368248	2656	i5|i40			3667.623	2954.039	6677	5378	0							
21	1678	6977522283	2656	i4|i39|i41		16												
22	1690	6997625331	2656	i2	0													
22	2086	7000929224	2656	i2	0													
22	2142	7001395946	2656	i5|i40			3667.623	2954.039	6677	5378	0							
23	1244	7013909030	2656	i5|i40			3667.623	2954.039	6677	5378	0							
24	1786	7038433511	2656	i5|i40			3667.623	2954.039	6677	5378	0							
26	336	7066345822	2656	i7											53553	9216	2	
26	1948	7079791802	2656	i5|i40			3667.623	2954.039	6677	5378	0							
26	2188	7081794215	2656	i5|i40			3667.623	2954.039	6677	5378	0							
27	750	7089803029	2656	i5|i40			3667.623	2954.039	6677	5378	0							
27	1710	7097809903	2656	i5|i40			3667.623	2954.039	6677	5378	0							
27	1950	7099811912	2656	i5|i40			3667.623	2954.039	6677	5378	0							
27	2190	7101815329	2656	i5|i40			3667.623	2954.039	6677	5378	0							
28	196	7105184206	2656	i4|i5		0	0.000	4.669	0	9	16							
28	272	7105818523	2656	i5|i40			3667.623	2954.039	6677	5378	0							
28	932	7111324012	2656	i5|i40			3667.623	2954.039	6677	5378	0							
28	1472	7115828471	2656	i5|i40			3667.623	2954.039	6677	5378	0							
28	1952	7119832458	2656	i5|i40			3667.623	2954.039	6677	5378	0							
28	2192	7121834744	2656	i5|i40			3667.623	2954.039	6677	5378	0							
29	514	7127841204	2656	i5|i40			3667.623	2954.039	6677	5378	0							
29	634	7128841130	2656	i5|i40			3667.623	2954.039	6677	5378	0							
