chunk	packet	t_us	slot	mask	state	round	rt_a	rt_b	rt_qa	rt_qb	rt_tail	sd_a	sd_b	sd_c	grace_a	grace_b	grace_c	cond
3	730	7343283516	6976	i8														810
3	732	7343300298	6976	i4														
5	2266	7396103653	6976	i8|i50														596
5	2268	7396120404	6976	i4|i50														
5	2270	7396136821	6976	i4|i50														
7	1804	7432256936	6976	i4		1												
7	1880	7432890776	6976	i3|i6								44098	2197	12				
9	1250	7467641963	6976	i4|i32														
10	856	7484358740	6976	i4|i32														
10	1676	7491199587	6976	i8|i13|i53														12
10	2224	7495770298	6976	i4		1												
12	138	7518382867	6976	i6								33	2037	7				
12	162	7518583817	6976	i8														0
12	364	7520268590	6976	i5			17334.482	8797.845	31556	16016	0							
12	846	7524288543	6976	i8|i50														584
12	1176	7527041954	6976	i4		0												
12	1178	7527058303	6976	i4		0												
12	1234	7527525682	6976	i4		0												
12	1486	7529629171	6976	i4		0												
13	1060	7546077910	6976	i3|i8|i34														36
13	1212	7547346312	6976	i4		1												
13	1538	7550066225	6976	i4		1												
13	1616	7550715941	6976	i8|i50														724
15	762	7583599837	6976	i2|i6|i59	1							21626	11474	0				
16	1536	7610059016	6976	i8|i50														794
16	2390	7617183014	6976	i4|i50														
20	374	7680380308	6976	i4|i32														
22	780	7723773787	6976	i4														
24	2318	7776612269	6976	i8|i21														756
26	1704	7811497641	6976	i5|i43			2412.946	23203.559	4393	42240	2							
27	1490	7829715611	6976	i4|i32		22												
29	2402	7877330520	6976	i4|i32														
30	6	7877358547	6976	i4|i32														
32	526	7921691466	6976	i4|i50														
33	678	7942964263	6976	i4														
33	2264	7956193783	6976	i4|i50														
35	270	7979566178	6976	i4|i32		22												
35	746	7983537396	6976	i8														123
35	1364	7988693049	6976	i4|i32		22												
35	1836	7992631166	6976	i4|i32		22												
35	1838	7992646765	6976	i4|i32		22												
35	1840	7992663786	6976	i4|i32		22												
35	1842	7992680098	6976	i4|i32		22												
35	1844	7992696552	6976	i4|i32		22												
35	1846	7992713108	6976	i4|i32		22												
35	1848	7992729780	6976	i4|i32		22												
35	1876	7992963544	6976	i4|i32		22												
35	1878	7992983751	6976	i4|i32		22												
35	1880	7992997086	6976	i4|i32		22												
35	1882	7993013624	6976	i4|i32		22												
35	1884	7993030391	6976	i4|i32		22												
35	1886	7993047200	6976	i4|i32		22												
35	1888	7993063896	6976	i4|i32		22												
35	1924	7993364087	6976	i4|i32		22												
37	200	8018990261	6976	i8														813
39	2156	8075313230	6976	i6								3908	25604	1				
