chunk	packet	t_us	slot	mask	state	round	rt_a	rt_b	rt_qa	rt_qb	rt_tail	sd_a	sd_b	sd_c	grace_a	grace_b	grace_c	cond
4	1470	3613185416	5952	i7|i61											40144	19194	2	
5	1468	3633172187	5952	i0|i2	0													
7	2368	3680687212	5952	i4		1												
8	132	3682038658	5952	i1|i5			5624.897	19500.504	10240	35499	4							
8	1490	3693380065	5952	i8|i13														598
10	1118	3730267247	5952	i4		19												
11	280	3743279881	5952	i0|i2	0													
11	1458	3753106903	5952	i8														768
11	1586	3754174552	5952	i8|i29														615
11	1654	3754741210	5952	i2|i29	4													
11	1656	3754757831	5952	i2|i29	4													
11	1788	3755859423	5952	i2	2													
12	484	3764986178	5952	i5			3732.993	27817.957	6796	50640	27							
12	652	3766391265	5952	i1|i6|i41								79	41758	11				
12	800	3767623874	5952	i4|i44		0												
13	1386	3792513157	5952	i4		0												
13	1606	3794348964	5952	i2	3													
13	1622	3794483092	5952	i8														0
13	1754	3795583108	5952	i8														0
13	1780	3795799947	5952	i8														0
13	1814	3796083757	5952	i6								2113	49360	7				
13	1918	3796950759	5952	i4		0												
13	1968	3797367916	5952	i6								33	1723	22				
13	2012	3797734763	5952	i8														0
13	2048	3798034932	5952	i8														0
13	2050	3798051684	5952	i8														0
13	2232	3799573293	5952	i8														0
13	2272	3799905154	5952	i4		4												
13	2338	3800454623	5952	i2	3													
13	2380	3800804640	5952	i4		4												
14	32	3801221965	5952	i6								65	34484	10				
14	104	3801822292	5952	i4		4												
14	292	3803392780	5952	i2	3													
14	574	3805743450	5952	i6								2113	55460	16				
14	598	3805943239	5952	i6								2113	55460	16				
14	614	3806077097	5952	i6								2113	55455	29				
14	962	3808980128	5952	i6								33	1726	14				
14	1002	3809316161	5952	i6								33	1738	26				
14	1096	3810099311	5952	i6								33	1754	30				
14	1370	3812384586	5952	i5|i12|i14			30601.428	9046.144	55707	16468	5							
14	1946	3817187564	5952	i6|i55|i57|i60								4221	64096	0				
14	2042	3817990611	5952	i5|i42			18000.275	1.373	32768	3	20							
15	736	3827097645	5952	i6								30359	41127	0				
15	1704	3835173578	5952	i0|i2	0													
16	624	3846173516	5952	i8														0
18	1958	3897306789	5952	i7|i47|i58											28951	62991	8	
